site_key,year,bleaching_all,env_type,summer_mean,summer_max,summer_min,days_above_29,days_above_30,days_above_31,cumulative_above_29,n_days,lat,vulnerability,region,dhw_logger,dhw_sat_corrected,bleached,bleached_severe
4_3,2020,0.5,外洋系,27.657483606557378,30.342,24.356,25,4,0,12.962999999999994,122,26.085917,1.1986505484275658,沖縄本島周辺,14.974785714285678,14.175714285714289,1,0
4_3,2021,0.0,外洋系,27.751622950819673,29.836,24.804,34,0,0,11.435,122,26.085917,1.1986505484275658,沖縄本島周辺,15.503428571428534,12.888571428571431,0,0
4_3,2022,10.0,外洋系,27.77222131147541,30.48,24.171,37,5,0,20.718000000000007,122,26.085917,1.1986505484275658,沖縄本島周辺,3.1524285714285596,1.6996428571428588,1,0
4_3,2023,0.0,外洋系,27.75032786885246,29.751,23.129,39,0,0,13.736,122,26.085917,1.1986505484275658,沖縄本島周辺,11.822214285714258,12.608571428571432,0,0
4_3,2024,80.0,外洋系,28.685081967213115,30.77,24.074,76,39,0,75.74600000000001,122,26.085917,1.1986505484275658,沖縄本島周辺,25.048714285714254,25.901428571428575,1,1
4_15,2021,0.0,外洋系,27.619778761061944,30.245,24.876,15,1,0,5.8530000000000015,113,26.384111,1.1659837333371412,沖縄本島周辺,13.831142857142847,12.226190476190476,0,0
4_15,2023,0.0,外洋系,27.93834426229508,29.69,24.177,52,0,0,20.891,122,26.384111,1.1659837333371412,沖縄本島周辺,13.93899999999999,10.378809523809524,0,0
4_15,2024,70.0,外洋系,28.75775409836065,31.117,24.663,78,37,4,76.759,122,26.384111,1.1659837333371412,沖縄本島周辺,28.26499999999999,26.43904761904762,1,1
4_26,2023,0.0,外洋系,27.453122950819676,29.636,22.905,15,0,0,4.509,122,26.865694,0.535665091981349,沖縄本島周辺,15.42880952380951,15.250000000000014,0,0
4_26,2024,20.0,外洋系,28.228409836065577,30.708,23.697,60,22,0,49.94100000000001,122,26.865694,0.535665091981349,沖縄本島周辺,19.90795238095237,17.345714285714305,1,0
5_14,2020,0.0,外洋系,28.29587704918033,29.57,24.957,22,0,0,5.739999999999998,122,26.438639,1.1781896064741526,沖縄本島周辺,10.701095238095226,10.695238095238077,0,0
5_14,2021,0.0,外洋系,27.61860655737705,29.616,25.257,6,0,0,2.2330000000000005,122,26.438639,1.1781896064741526,沖縄本島周辺,11.584952380952371,13.163809523809505,0,0
5_14,2022,0.0,外洋系,28.099090163934427,30.589,24.851,28,8,0,20.311,122,26.438639,1.1781896064741526,沖縄本島周辺,16.23095238095237,19.15952380952379,0,0
5_14,2024,80.0,外洋系,28.56122330097087,30.784,23.879,68,26,0,57.692999999999984,103,26.438639,1.1781896064741526,沖縄本島周辺,24.19309523809523,27.120952380952367,1,1
5_29,2020,0.0,外洋系,27.90699180327869,29.518,24.675,13,0,0,3.968,122,26.715278,0.9386349243276084,沖縄本島周辺,14.976571428571424,16.53952380952382,0,0
5_29,2021,0.0,外洋系,27.30865573770492,29.122,24.526,2,0,0,0.2330000000000005,122,26.715278,0.9386349243276084,沖縄本島周辺,13.284857142857138,14.22809523809525,0,0
5_29,2022,3.0,外洋系,27.73875409836066,30.662,24.212,17,9,0,16.742000000000004,122,26.715278,0.9386349243276084,沖縄本島周辺,18.283571428571427,21.75666666666668,1,0
5_29,2023,0.0,外洋系,27.603893442622947,30.374,24.269,11,1,0,3.525999999999996,122,26.715278,0.9386349243276084,沖縄本島周辺,12.105999999999996,14.45095238095239,0,0
5_29,2024,80.0,外洋系,28.27095614035088,30.803,23.615,61,18,0,50.669,114,26.715278,0.9386349243276084,沖縄本島周辺,24.775285714285708,27.720952380952394,1,1
6_5,2020,0.0,外洋系,28.07900819672131,29.831,24.834,15,0,0,6.615000000000002,122,26.734722,1.1657017246834565,沖縄本島周辺,13.51557142857143,13.43238095238094,0,0
6_5,2021,0.0,外洋系,27.578729508196723,29.479,25.042,12,0,0,2.480000000000004,122,26.734722,1.1657017246834565,沖縄本島周辺,6.498714285714286,5.800952380952375,0,0
6_5,2022,0.0,外洋系,27.917999999999996,30.464,24.339,33,10,0,18.843,122,26.734722,1.1657017246834565,沖縄本島周辺,15.467428571428568,15.2195238095238,0,0
6_5,2023,0.0,外洋系,27.733844262295083,29.633,24.532,23,0,0,5.722999999999992,122,26.734722,1.1657017246834565,沖縄本島周辺,12.536714285714284,14.96559523809523,0,0
6_5,2024,90.0,外洋系,28.2358085106383,30.856,23.855,52,20,0,46.512000000000015,94,26.734722,1.1657017246834565,沖縄本島周辺,24.188285714285712,27.365238095238087,1,1
7_5,2020,0.0,不明,27.914614754098363,29.606,24.745,26,0,0,6.233000000000008,122,26.202194,0.1506255803119454,沖縄本島周辺,9.036428571428589,7.838571428571418,0,0
7_5,2021,0.0,不明,27.406549180327875,29.149,25.332,5,0,0,0.3439999999999976,122,26.202194,0.1506255803119454,沖縄本島周辺,9.815142857142872,10.3842857142857,0,0
7_5,2022,0.0,不明,28.022491803278687,30.169,24.663,26,4,0,17.04000000000001,122,26.202194,0.1506255803119454,沖縄本島周辺,12.833857142857156,10.321785714285706,0,0
7_5,2023,0.0,不明,27.770434426229507,29.415,25.127,21,0,0,3.497,122,26.202194,0.1506255803119454,沖縄本島周辺,10.352928571428588,11.204642857142844,0,0
7_5,2024,10.0,不明,28.538081967213113,30.528,24.067,72,14,0,44.951,122,26.202194,0.1506255803119454,沖縄本島周辺,19.351428571428585,20.70999999999999,1,0
7_8,2020,0.0,中間系,28.12004098360655,29.732,25.031,25,0,0,6.299999999999997,122,26.1865,0.4174813351053085,沖縄本島周辺,13.96442857142861,13.829999999999965,0,0
7_8,2021,0.0,中間系,27.62139344262295,29.478,25.6,9,0,0,1.889000000000003,122,26.1865,0.4174813351053085,沖縄本島周辺,9.90142857142861,10.127142857142818,0,0
7_8,2022,0.0,中間系,28.037524590163933,30.224,24.723,23,4,0,11.171,122,26.1865,0.4174813351053085,沖縄本島周辺,12.72600000000004,13.72428571428568,0,0
7_8,2023,0.0,中間系,27.971409836065575,29.837,25.215,31,0,0,11.501,122,26.1865,0.4174813351053085,沖縄本島周辺,9.420642857142893,10.48285714285711,0,0
7_8,2024,30.0,中間系,28.74741803278689,30.656,24.235,81,26,0,63.636,122,26.1865,0.4174813351053085,沖縄本島周辺,20.84700000000004,22.252857142857117,1,0
9_1,2021,0.0,閉鎖系,28.771491803278693,29.817,26.742,61,0,0,16.631999999999994,122,24.941528,2.252014497343326,宮古八重山,10.120142857142858,8.45095238095237,0,0
9_1,2022,10.0,閉鎖系,28.9482131147541,30.875,26.846,63,41,0,69.90499999999999,122,24.941528,2.252014497343326,宮古八重山,0.2576071428571426,0.1733333333333325,1,0
