site_no,spot_no,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
1,20,2022,2023-01-12,20.0,30.0,20.0,20.0,20.0
1,20,2023,2023-10-25,30.0,0.0,0.0,0.0,0.0
1,20,2024,2024-11-05,30.0,50.0,80.0,20.0,60.0
2,1,2022,2022-08-22,20.0,60.0,60.0,1.0,1.0
2,2,2022,2022-08-21,60.0,40.0,40.0,1.0,1.0
2,3,2022,2022-08-22,40.0,10.0,10.0,1.0,1.0
2,4,2022,2022-08-22,50.0,10.0,10.0,1.0,1.0
2,5,2022,2022-08-22,50.0,30.0,30.0,1.0,1.0
2,6,2022,2022-08-22,70.0,40.0,40.0,0.0,0.0
2,7,2022,2022-08-22,10.0,0.0,0.0,0.0,0.0
2,9,2022,2022-08-17,30.0,40.0,40.0,1.0,1.0
2,10,2022,2022-08-17,60.0,20.0,20.0,1.0,1.0
2,11,2022,2022-08-25,10.0,60.0,60.0,1.0,1.0
2,12,2022,2022-08-25,30.0,40.0,40.0,0.0,0.0
2,13,2022,2022-08-25,50.0,50.0,10.0,1.0,0.0
2,15,2022,2022-08-22,20.0,70.0,70.0,1.0,1.0
2,19,2022,2022-08-17,70.0,20.0,20.0,1.0,1.0
2,20,2022,2022-08-27,40.0,80.0,50.0,10.0,1.0
2,21,2022,2022-08-27,70.0,80.0,70.0,5.0,5.0
2,24,2022,2022-08-21,70.0,80.0,80.0,5.0,5.0
2,25,2022,2022-08-17,80.0,40.0,40.0,1.0,1.0
2,26,2022,2022-08-25,40.0,40.0,10.0,1.0,0.0
2,27,2022,2022-08-27,80.0,10.0,10.0,1.0,1.0
2,28,2022,2022-08-27,80.0,60.0,60.0,5.0,1.0
2,29,2022,2022-08-27,80.0,60.0,60.0,1.0,1.0
2,30,2022,2022-08-27,20.0,30.0,30.0,1.0,1.0
2,31,2022,2022-08-28,70.0,80.0,80.0,1.0,1.0
3,1,2020,2020-11-17,40.0,0.0,0.0,0.0,0.0
3,1,2021,2021-09-09,50.0,0.0,0.0,0.0,0.0
3,1,2022,2022-11-10,50.0,0.0,0.0,0.0,0.0
3,1,2023,2023-10-24,50.0,0.0,0.0,0.0,0.0
3,1,2024,2024-10-18,,90.0,90.0,90.0,90.0
3,2,2020,2020-09-14,30.0,50.0,50.0,0.0,0.0
3,2,2021,2021-12-29,40.0,50.0,0.0,50.0,0.0
3,2,2022,2022-08-24,40.0,80.0,80.0,0.0,0.0
3,2,2023,2023-10-27,30.0,0.0,0.0,0.0,0.0
3,2,2024,2024-12-03,10.0,50.0,0.0,50.0,0.0
3,3,2020,2020-09-14,70.0,0.0,0.0,0.0,0.0
3,3,2021,2021-12-29,80.0,0.0,0.0,0.0,0.0
3,3,2022,2022-08-24,80.0,80.0,80.0,,
3,3,2023,2023-10-27,80.0,0.0,0.0,0.0,0.0
3,3,2024,2024-12-04,30.0,70.0,0.0,70.0,0.0
3,4,2020,2020-08-15,,0.0,0.0,0.0,0.0
3,4,2021,2021-12-29,2.5,0.0,0.0,0.0,0.0
3,4,2022,2022-10-03,,20.0,50.0,0.0,0.0
3,4,2023,2023-10-27,,0.0,0.0,0.0,0.0
3,4,2024,2024-12-04,,5.0,0.0,0.0,0.0
3,5,2020,2020-09-14,,0.0,0.0,0.0,0.0
3,5,2021,2021-12-29,2.5,0.0,0.0,0.0,0.0
3,5,2022,2022-10-03,,10.0,0.0,0.0,0.0
3,5,2023,2023-10-27,,0.0,0.0,0.0,0.0
3,5,2024,2024-12-02,,50.0,0.0,20.0,0.0
3,6,2020,2020-11-25,80.0,0.0,0.0,0.0,0.0
3,6,2021,2022-01-12,80.0,0.0,0.0,0.0,0.0
3,6,2022,2022-10-05,80.0,20.0,20.0,0.0,0.0
3,6,2023,2023-10-19,80.0,0.0,0.0,0.0,0.0
3,6,2024,2024-10-19,30.0,70.0,70.0,70.0,70.0
3,7,2020,2020-11-25,30.0,0.0,0.0,0.0,0.0
3,7,2021,2022-01-12,30.0,0.0,0.0,0.0,0.0
3,7,2022,2022-10-05,30.0,80.0,80.0,0.0,0.0
3,7,2023,2023-10-19,20.0,0.0,0.0,0.0,0.0
3,7,2024,2024-10-19,10.0,80.0,80.0,50.0,50.0
3,8,2020,2020-09-11,,0.0,50.0,0.0,0.0
3,8,2021,2021-09-24,2.5,0.0,0.0,0.0,0.0
3,8,2022,2022-10-02,,80.0,80.0,30.0,30.0
3,8,2023,2023-10-23,,0.0,0.0,0.0,0.0
3,8,2024,2024-09-11,,50.0,0.0,50.0,0.0
3,9,2020,2020-10-22,30.0,0.0,0.0,0.0,0.0
3,9,2021,2021-09-10,30.0,0.0,0.0,0.0,0.0
3,9,2022,2022-09-30,40.0,60.0,60.0,0.0,0.0
3,9,2023,2023-09-28,40.0,0.0,0.0,0.0,0.0
3,9,2024,2024-10-17,,90.0,90.0,90.0,90.0
3,10,2020,2020-10-22,30.0,0.0,0.0,0.0,0.0
3,10,2021,2021-09-10,50.0,0.0,0.0,0.0,0.0
3,10,2022,2022-09-30,60.0,50.0,50.0,0.0,0.0
3,10,2023,2023-09-28,70.0,0.0,0.0,0.0,0.0
3,10,2024,2024-10-17,60.0,70.0,70.0,15.0,15.0
3,11,2020,2020-09-09,20.0,50.0,50.0,0.0,0.0
3,11,2021,2021-12-29,20.0,0.0,0.0,0.0,0.0
3,11,2022,2022-10-03,30.0,80.0,50.0,0.0,0.0
3,11,2023,2023-10-29,30.0,0.0,0.0,0.0,0.0
3,11,2024,2024-12-01,,90.0,90.0,90.0,90.0
3,12,2020,2020-08-29,70.0,0.0,0.0,0.0,0.0
3,12,2021,2021-10-04,80.0,0.0,0.0,0.0,0.0
3,12,2022,2022-09-28,80.0,0.0,0.0,0.0,0.0
3,12,2023,2023-09-14,80.0,0.0,0.0,0.0,0.0
3,12,2024,2024-11-05,20.0,80.0,80.0,80.0,80.0
3,13,2020,2020-09-25,20.0,0.0,0.0,0.0,0.0
3,13,2021,2021-10-04,20.0,0.0,0.0,0.0,0.0
3,13,2022,2022-09-28,20.0,20.0,20.0,0.0,0.0
3,13,2023,2023-09-14,20.0,0.0,0.0,0.0,0.0
3,13,2024,2024-11-05,10.0,50.0,50.0,50.0,50.0
3,14,2020,2020-09-25,70.0,0.0,0.0,0.0,0.0
3,14,2021,2020-09-25,70.0,0.0,0.0,0.0,0.0
3,14,2022,2022-09-28,70.0,10.0,10.0,0.0,0.0
3,14,2023,2023-09-30,70.0,0.0,0.0,0.0,0.0
3,14,2024,2024-11-30,30.0,70.0,70.0,70.0,70.0
3,15,2020,2020-08-22,60.0,30.0,30.0,0.0,0.0
3,15,2021,2021-10-02,60.0,30.0,0.0,30.0,0.0
3,15,2022,2022-09-28,60.0,30.0,30.0,0.0,0.0
3,15,2023,2023-11-15,60.0,20.0,20.0,10.0,10.0
3,15,2024,2024-11-30,50.0,20.0,20.0,20.0,20.0
4,1,2020,2020-09-27,30.0,50.0,0.0,0.0,0.0
4,1,2021,2021-11-16,30.0,0.0,0.0,0.0,0.0
4,1,2022,2022-12-27,40.0,0.0,0.0,0.0,0.0
4,1,2023,2023-09-12,40.0,0.0,0.0,0.0,0.0
4,1,2024,2024-10-07,40.0,90.0,90.0,40.0,70.0
4,2,2020,2020-09-08,20.0,0.5,10.0,0.5,0.5
4,2,2021,2021-09-25,40.0,0.0,0.0,0.0,0.0
4,2,2022,2022-12-28,30.0,20.0,15.0,50.0,35.0
4,2,2023,2023-09-06,30.0,0.0,0.0,0.0,0.0
4,2,2024,2024-09-27,30.0,50.0,90.0,10.0,80.0
4,3,2020,2020-09-27,50.0,0.5,0.0,0.5,0.0
4,3,2021,2021-11-16,50.0,0.0,0.0,0.0,0.0
4,3,2022,2022-12-27,50.0,10.0,80.0,5.0,5.0
4,3,2023,2023-09-12,60.0,0.0,0.0,0.0,0.0
4,3,2024,2024-10-07,50.0,80.0,90.0,30.0,50.0
4,4,2020,2020-09-27,20.0,0.0,0.0,0.0,0.0
4,4,2021,2021-11-16,40.0,0.0,0.0,0.0,0.0
4,4,2022,2022-12-27,30.0,5.0,10.0,0.5,2.5
4,4,2023,2023-09-12,20.0,0.0,0.0,0.0,0.0
4,4,2024,2024-10-07,30.0,70.0,90.0,20.0,40.0
4,5,2020,2020-09-08,10.0,0.5,45.0,0.5,0.5
4,5,2021,2021-09-25,10.0,0.0,0.0,0.0,0.0
4,5,2022,2022-12-28,10.0,10.0,10.0,7.5,12.5
4,5,2023,2023-09-06,10.0,0.0,0.0,0.0,0.0
4,5,2024,2024-09-27,20.0,50.0,90.0,10.0,80.0
4,6,2020,2020-09-08,10.0,0.0,0.0,0.0,0.0
4,6,2021,2021-11-16,40.0,0.0,0.0,0.0,0.0
4,6,2022,2022-12-27,30.0,15.0,55.0,3.0,5.0
4,6,2023,2023-09-06,50.0,0.0,0.0,0.0,0.0
4,6,2024,2024-09-27,50.0,80.0,90.0,30.0,40.0
4,7,2020,2021-01-11,30.0,0.0,0.0,0.0,0.0
4,7,2021,2021-09-20,30.0,0.0,0.0,0.0,0.0
4,7,2022,2023-01-20,10.0,1.5,5.0,45.0,1.5
4,7,2023,2023-12-06,20.0,0.0,0.0,0.0,0.0
4,7,2024,2024-10-19,20.0,80.0,90.0,50.0,70.0
4,8,2020,2021-01-11,10.0,0.0,0.0,0.0,0.0
4,8,2021,2021-09-20,10.0,0.0,0.0,0.0,0.0
4,8,2022,2023-01-20,10.0,0.0,0.0,0.0,0.0
4,8,2023,2023-12-06,,0.0,0.0,0.0,0.0
4,8,2024,2024-10-19,10.0,90.0,90.0,50.0,50.0
4,9,2020,2021-01-11,20.0,0.0,0.0,0.0,0.0
4,9,2021,2021-09-20,20.0,0.5,50.0,0.0,0.0
4,9,2022,2023-01-20,10.0,0.0,0.0,0.0,0.0
4,9,2023,2023-12-06,20.0,0.0,0.0,0.0,0.0
4,9,2024,2024-10-19,20.0,90.0,90.0,40.0,60.0
4,10,2020,2021-01-11,20.0,0.0,0.0,0.0,0.0
4,10,2021,2021-09-20,30.0,0.0,0.0,0.0,0.0
4,10,2022,2023-01-20,30.0,0.0,0.0,0.0,0.0
4,10,2023,2023-12-06,40.0,0.0,0.0,0.0,0.0
4,10,2024,2024-10-19,40.0,60.0,70.0,40.0,40.0
4,11,2020,2021-01-11,10.0,0.0,0.0,0.0,0.0
4,11,2021,2021-09-20,10.0,0.0,0.0,0.0,0.0
4,11,2022,2023-01-20,20.0,0.0,0.0,0.0,0.0
4,11,2023,2023-12-06,30.0,0.0,0.0,0.0,0.0
4,11,2024,2024-10-19,20.0,80.0,90.0,70.0,80.0
4,12,2020,2021-01-11,,0.0,0.0,0.0,0.0
4,12,2021,2021-09-20,10.0,0.0,0.0,0.0,0.0
4,12,2024,2024-10-19,30.0,70.0,80.0,40.0,60.0
4,13,2020,2021-01-11,20.0,0.0,0.0,0.0,0.0
4,13,2021,2021-09-20,30.0,0.0,0.0,0.0,0.0
4,13,2022,2023-01-20,30.0,0.0,0.0,0.0,0.0
4,13,2023,2023-12-06,10.0,0.0,0.0,0.0,0.0
4,13,2024,2024-10-19,20.0,40.0,90.0,10.0,80.0
4,15,2020,2021-01-11,20.0,0.0,0.0,0.0,0.0
4,15,2021,2021-09-20,40.0,0.0,0.0,0.0,0.0
4,15,2022,2023-01-20,60.0,0.0,0.0,0.0,0.0
4,15,2023,2023-12-06,40.0,0.0,0.0,0.0,0.0
4,15,2024,2024-10-19,50.0,70.0,70.0,20.0,30.0
4,16,2020,2020-09-19,10.0,0.0,0.0,0.0,0.0
4,16,2021,2021-12-21,10.0,0.0,0.0,0.0,0.0
4,16,2022,2022-10-04,,4.0,6.5,0.0,0.0
4,16,2023,2023-09-17,,0.0,0.0,0.0,0.0
4,16,2024,2024-11-17,,40.0,50.0,20.0,50.0
4,17,2020,2020-12-13,40.0,0.0,0.0,0.0,0.0
4,17,2021,2021-09-07,40.0,0.0,0.0,0.0,0.0
4,17,2023,2023-09-17,40.0,1.5,1.5,1.5,1.5
4,17,2024,2024-10-17,40.0,80.0,80.0,20.0,20.0
4,18,2020,2020-12-13,60.0,0.0,0.0,0.0,0.0
4,18,2021,2021-09-07,60.0,1.5,0.0,0.0,0.0
4,18,2023,2023-09-17,60.0,0.0,0.0,0.0,0.0
4,18,2024,2024-10-17,50.0,80.0,80.0,30.0,20.0
4,19,2020,2020-12-13,40.0,0.0,0.0,0.0,0.0
4,19,2021,2021-09-07,40.0,0.0,0.0,0.0,0.0
4,19,2023,2023-09-17,40.0,0.0,0.0,0.0,0.0
4,19,2024,2024-10-17,20.0,80.0,90.0,20.0,20.0
4,20,2020,2020-12-13,30.0,0.0,0.0,0.0,0.0
4,20,2021,2021-09-07,40.0,0.0,0.0,0.0,0.0
4,20,2023,2023-09-17,30.0,2.5,45.0,0.5,45.0
4,20,2024,2024-10-17,30.0,80.0,80.0,10.0,20.0
4,21,2020,2020-12-13,40.0,0.0,0.0,0.0,0.0
4,21,2021,2021-09-07,50.0,0.0,0.0,0.0,0.0
4,21,2023,2023-09-17,50.0,0.0,0.0,0.0,0.0
4,21,2024,2024-10-17,40.0,80.0,80.0,20.0,30.0
4,22,2020,2020-12-13,50.0,0.0,0.0,0.0,0.0
4,22,2021,2021-09-07,50.0,0.0,0.0,0.0,0.0
4,22,2023,2023-09-17,50.0,0.0,0.0,0.0,0.0
4,22,2024,2024-10-17,50.0,80.0,70.0,10.0,20.0
4,23,2020,2020-09-19,20.0,2.5,0.0,0.0,0.0
4,23,2021,2021-12-21,20.0,0.0,0.0,0.0,0.0
4,23,2022,2022-10-04,20.0,10.0,45.0,2.0,1.5
4,23,2023,2023-11-16,20.0,0.0,0.0,0.0,0.0
4,23,2024,2024-11-17,20.0,30.0,20.0,20.0,10.0
4,24,2020,2020-09-19,40.0,0.0,0.0,0.0,0.0
4,24,2021,2021-12-21,60.0,0.0,0.0,0.0,0.0
4,24,2022,2022-10-04,50.0,25.0,15.0,1.5,1.5
4,24,2023,2023-11-16,60.0,0.0,0.0,0.0,0.0
4,24,2024,2024-11-17,60.0,20.0,10.0,10.0,5.0
4,25,2020,2020-09-19,40.0,0.0,0.0,0.0,0.0
4,25,2021,2021-12-21,60.0,0.0,0.0,0.0,0.0
4,25,2022,2022-10-04,50.0,10.0,40.0,2.0,2.0
4,25,2023,2023-11-16,60.0,0.0,0.0,0.0,0.0
4,25,2024,2024-11-17,50.0,20.0,10.0,10.0,5.0
4,26,2023,2023-11-16,70.0,0.0,0.0,0.0,0.0
4,26,2024,2024-11-17,60.0,20.0,10.0,5.0,5.0
4,27,2020,2020-12-13,60.0,0.0,0.0,0.0,0.0
4,27,2021,2021-09-07,70.0,0.0,0.0,0.0,0.0
4,27,2023,2023-09-17,60.0,0.0,0.0,0.0,0.0
4,27,2024,2024-10-17,60.0,70.0,50.0,10.0,10.0
4,28,2020,2020-09-19,60.0,4.0,35.0,0.0,0.0
4,28,2021,2021-09-07,60.0,0.5,0.0,0.0,0.0
4,28,2022,2022-10-04,80.0,3.0,10.0,0.0,0.0
4,28,2023,2023-09-17,70.0,0.0,0.0,0.0,0.0
4,28,2024,2024-10-17,40.0,90.0,90.0,40.0,50.0
4,33,2020,2020-09-27,60.0,0.5,50.0,0.0,0.0
4,33,2021,2021-11-16,50.0,0.0,0.0,0.0,0.0
4,33,2022,2022-12-27,60.0,0.0,0.0,0.0,0.0
4,33,2023,2023-09-12,40.0,0.0,0.0,0.0,0.0
4,33,2024,2024-10-07,40.0,80.0,90.0,60.0,70.0
4,35,2024,2024-10-07,20.0,70.0,90.0,20.0,30.0
4,39,2020,2020-09-19,70.0,2.5,0.0,0.5,0.0
4,39,2021,2021-12-21,60.0,0.0,0.0,0.0,0.0
4,39,2022,2022-10-04,60.0,7.5,11.5,1.5,0.5
4,40,2020,2021-01-11,70.0,0.0,0.0,0.0,0.0
4,40,2021,2021-09-20,70.0,0.0,0.0,0.0,0.0
4,40,2022,2023-01-20,70.0,0.0,0.0,0.0,0.0
4,40,2023,2023-12-06,70.0,0.0,0.0,0.0,0.0
4,40,2024,2024-10-19,70.0,40.0,60.0,10.0,10.0
4,42,2020,2021-01-11,30.0,0.0,0.0,0.0,0.0
4,43,2020,2020-12-13,10.0,0.0,0.0,0.0,0.0
4,44,2021,2021-09-20,60.0,0.0,0.0,0.0,0.0
4,44,2022,2023-01-20,20.0,0.0,0.0,0.0,0.0
4,44,2023,2023-12-06,30.0,0.0,0.0,0.0,0.0
4,45,2021,2021-09-07,50.0,0.5,0.0,0.0,0.0
4,46,2022,2023-01-20,50.0,0.0,0.0,0.0,0.0
4,47,2023,2023-10-23,30.0,0.0,0.0,0.0,0.0
4,48,2023,2023-10-23,20.0,0.0,0.0,0.0,0.0
4,48,2024,2024-06-05,30.0,0.0,0.0,0.0,0.0
4,49,2024,2024-06-05,30.0,0.0,0.0,0.0,0.0
4,50,2024,2024-06-05,40.0,0.0,0.0,0.0,0.0
4,51,2024,2024-06-05,,0.0,0.0,0.0,0.0
5,1,2020,2020-09-27,50.0,0.0,0.0,0.0,0.0
5,1,2021,2021-11-16,50.0,0.0,0.0,0.0,0.0
5,1,2022,2022-12-27,40.0,0.0,0.0,0.0,0.0
5,1,2023,2023-09-12,40.0,0.0,0.0,0.0,0.0
5,1,2024,2024-10-07,20.0,90.0,90.0,50.0,70.0
5,4,2020,2021-01-14,60.0,10.0,45.0,2.5,2.5
5,4,2021,2021-11-21,60.0,0.0,0.0,0.0,0.0
5,4,2022,2022-11-03,60.0,1.5,0.0,0.5,0.0
5,4,2023,2023-11-10,60.0,0.0,0.0,0.0,0.0
5,4,2024,2024-10-16,60.0,80.0,80.0,40.0,30.0
5,5,2020,2021-01-14,70.0,0.0,0.0,0.0,0.0
5,5,2021,2021-11-21,60.0,0.0,0.0,0.0,0.0
5,5,2022,2022-11-03,70.0,0.0,0.0,0.0,0.0
5,5,2023,2023-11-10,60.0,0.0,0.0,0.0,0.0
5,5,2024,2024-10-16,50.0,70.0,80.0,30.0,50.0
5,6,2020,2021-01-14,40.0,5.0,40.0,2.5,5.0
5,6,2021,2021-11-21,30.0,0.0,0.0,0.0,0.0
5,6,2023,2023-11-10,40.0,0.0,0.0,0.0,0.0
5,6,2024,2024-10-16,40.0,70.0,60.0,40.0,50.0
5,7,2020,2021-01-14,70.0,0.0,0.0,0.0,0.0
5,7,2021,2021-11-21,50.0,0.0,0.0,0.0,0.0
5,7,2022,2022-11-03,60.0,1.5,30.0,0.0,0.0
5,7,2023,2023-11-10,50.0,0.0,0.0,0.0,0.0
5,7,2024,2024-10-16,50.0,60.0,70.0,30.0,30.0
5,8,2020,2021-01-14,20.0,0.0,0.0,0.0,0.0
5,8,2021,2021-11-21,40.0,0.0,0.0,0.0,0.0
5,8,2022,2022-11-03,60.0,0.0,0.0,0.0,0.0
5,8,2023,2023-11-10,50.0,0.0,0.0,0.0,0.0
5,8,2024,2024-10-16,50.0,70.0,60.0,30.0,40.0
5,9,2020,2021-01-14,40.0,0.0,0.0,0.0,0.0
5,9,2021,2021-11-21,50.0,0.0,0.0,0.0,0.0
5,9,2022,2022-11-03,80.0,0.0,0.0,0.0,0.0
5,9,2023,2023-11-10,70.0,0.0,0.0,0.0,0.0
5,10,2020,2020-11-07,50.0,0.0,0.0,0.0,0.0
5,10,2021,2021-10-09,60.0,0.0,0.0,0.0,0.0
5,10,2022,2022-10-22,50.0,0.0,0.0,0.0,0.0
5,10,2023,2023-11-15,40.0,0.0,0.0,0.0,0.0
5,10,2024,2024-10-16,,90.0,100.0,80.0,95.0
5,11,2023,2023-11-15,50.0,0.0,0.0,0.0,0.0
5,11,2024,2024-09-11,30.0,90.0,90.0,20.0,30.0
5,12,2020,2020-11-07,20.0,0.0,0.0,0.0,0.0
5,12,2021,2021-10-09,40.0,0.0,0.0,0.0,0.0
5,12,2022,2022-10-22,40.0,0.0,0.0,0.0,0.0
5,12,2023,2023-11-15,30.0,0.0,0.0,0.0,0.0
5,12,2024,2024-09-11,20.0,90.0,90.0,20.0,30.0
5,13,2020,2021-01-21,10.0,1.5,1.5,0.0,0.0
5,13,2021,2021-09-25,20.0,0.0,0.0,0.0,0.0
5,13,2022,2023-01-14,20.0,0.0,0.0,0.0,0.0
5,13,2023,2023-09-06,30.0,0.0,0.0,0.0,0.0
5,13,2024,2024-09-05,10.0,90.0,100.0,50.0,80.0
5,14,2020,2020-11-07,40.0,0.0,0.0,0.0,0.0
5,14,2021,2021-10-09,40.0,0.0,0.0,0.0,0.0
5,14,2022,2022-10-22,40.0,0.0,0.0,0.0,0.0
5,14,2023,2023-09-05,30.0,0.0,0.0,0.0,0.0
5,14,2024,2024-09-11,40.0,80.0,80.0,20.0,10.0
5,15,2020,2020-09-08,10.0,5.0,0.0,0.0,0.0
5,15,2021,2021-09-25,10.0,0.0,0.0,0.0,0.0
5,15,2022,2023-01-14,10.0,0.0,0.0,0.0,0.0
5,15,2023,2023-09-06,10.0,0.0,0.0,0.0,0.0
5,15,2024,2024-09-05,10.0,80.0,80.0,10.0,10.0
5,16,2020,2021-01-16,60.0,0.0,0.0,0.0,0.0
5,16,2021,2021-10-05,60.0,0.0,0.0,0.0,0.0
5,16,2022,2022-11-23,60.0,0.0,0.0,0.0,0.0
5,16,2023,2023-09-05,50.0,0.0,0.0,0.0,0.0
5,16,2024,2024-09-13,50.0,70.0,80.0,3.0,3.0
5,17,2020,2020-09-17,60.0,0.0,0.0,0.0,0.0
5,17,2021,2021-10-05,70.0,0.5,50.0,0.0,0.0
5,17,2022,2022-12-21,50.0,0.0,0.0,0.0,0.0
5,17,2023,2023-09-05,40.0,0.0,0.0,0.0,0.0
5,17,2024,2024-09-13,50.0,70.0,95.0,60.0,90.0
5,18,2020,2020-09-17,70.0,0.0,0.0,0.0,0.0
5,18,2021,2021-10-05,80.0,0.0,0.0,0.0,0.0
