site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj,days30_logger,days30_mur_raw,days30_mur_corr,bleaching_binary,dhw_coraltemp_raw,dhw_coraltemp_corr,days30_coraltemp_raw,days30_coraltemp_corr,lat_band
6,5,2022,2022-11-13,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0,10.0,4.0,4.0,0,0.0,0.0,12.0,9.0,26-28°N (沖縄本島)
6,5,2023,2023-09-09,0.0,外洋系,26.734722,1.2257188940092132,0.6834101382488507,0.2094377880184344,0.6834101382488507,0.0,0.0,0.0,0,0.8400552995391725,0.8400552995391841,0.0,0.0,26-28°N (沖縄本島)
6,5,2024,2024-09-02,90.0,外洋系,26.734722,8.053124423963128,7.74295852534563,6.6034562211981624,9.028672811059918,20.0,32.0,32.0,1,7.917963133640558,7.917963133640588,40.0,33.0,26-28°N (沖縄本島)
7,5,2020,2020-11-07,0.0,中間系,26.202194,0.0026409523809515,0.0,0.0,0.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0,26-28°N (沖縄本島)
7,5,2021,2021-10-31,0.0,中間系,26.202194,0.5970390476190361,0.4731336405529924,0.1164055299539137,0.4731336405529924,0.0,0.0,0.0,0,0.3688110599078383,0.36881105990783275,0.0,0.0,26-28°N (沖縄本島)
7,5,2022,2022-11-13,0.0,中間系,26.202194,0.0810619047619022,0.0,0.0,0.0,4.0,5.0,5.0,0,0.0,0.0,13.0,10.0,26-28°N (沖縄本島)
7,5,2023,2023-11-19,0.0,中間系,26.202194,0.4587028571428528,0.3311981566820243,0.0458064516129016,0.3311981566820243,0.0,0.0,0.0,0,0.17987096774193848,0.17987096774193542,0.0,0.0,26-28°N (沖縄本島)
7,5,2024,2024-10-18,10.0,中間系,26.202194,3.43078857142855,2.6258064516128896,1.5655299539170389,2.797235023041462,8.0,23.0,23.0,0,2.573705069124437,2.5737050691244234,36.0,27.0,26-28°N (沖縄本島)
7,8,2020,2020-09-19,0.0,中間系,26.1865,1.6583253456221172,2.0640092165898674,1.1369769585253486,2.2354377880184244,0.0,3.0,3.0,0,0.9960645161290199,0.9960645161290336,0.0,0.0,26-28°N (沖縄本島)
7,8,2021,2021-11-05,0.0,中間系,26.1865,0.2899668202764976,0.2413917050691257,0.0899723502304153,0.2413917050691237,0.0,0.0,0.0,0,0.1545622119815643,0.15456221198156683,0.0,0.0,26-28°N (沖縄本島)
7,8,2022,2022-11-04,0.0,中間系,26.1865,0.0708423963133633,0.0,0.0,0.0,4.0,4.0,4.0,0,0.0,0.0,14.0,9.0,26-28°N (沖縄本島)
7,8,2023,2023-11-20,0.0,中間系,26.1865,0.2332709677419358,0.2627926267281114,0.0371152073732718,0.2627926267281079,0.0,0.0,0.0,0,0.12936405529953734,0.12936405529953937,0.0,0.0,26-28°N (沖縄本島)
7,8,2024,2024-10-18,30.0,中間系,26.1865,4.515002764976955,2.7539723502304234,1.6869124423963184,2.9254009216589787,19.0,23.0,23.0,1,2.8969769585253338,2.896976958525348,35.0,25.0,26-28°N (沖縄本島)
9,1,2020,2020-11-22,0.0,閉鎖系,24.941528,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,1,2021,2021-11-06,0.0,閉鎖系,24.941528,0.0289550691244236,0.0461059907834103,0.0,0.0461059907834103,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,1,2022,2022-12-27,10.0,閉鎖系,24.941528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,1,2023,2023-11-05,0.0,閉鎖系,24.941528,0.0,0.0845506912442393,0.0,0.0845506912442393,2.0,1.0,1.0,0,0.0,0.0,3.0,0.0,24-26°N (八重山)
9,1,2024,2024-12-01,70.0,閉鎖系,24.941528,0.0,0.0080529953917048,0.0,0.0080529953917048,13.0,8.0,8.0,1,0.0,0.0,14.0,11.0,24-26°N (八重山)
9,3,2020,2020-09-19,,外洋系,24.9005,0.3317315668202743,0.1714746543778729,0.1714746543778729,0.6420506912442383,48.0,18.0,18.0,0,0.03811059907834239,0.03811059907834036,4.0,0.0,24-26°N (八重山)
9,3,2021,2022-01-15,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,3,2022,2023-01-11,90.0,外洋系,24.9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,3,2023,2023-11-23,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0,0.0,0.0,2.0,0.0,24-26°N (八重山)
9,3,2024,2024-12-02,60.0,外洋系,24.9005,0.0,0.0,0.0,0.0,17.0,10.0,10.0,1,0.0,0.0,13.0,10.0,24-26°N (八重山)
9,5,2020,2020-10-04,10.0,外洋系,24.797806,0.6738184331797241,0.852479262672804,0.7706635944700412,1.3667649769585293,23.0,21.0,21.0,0,0.2859170506912453,0.2859170506912382,6.0,1.0,24-26°N (八重山)
9,5,2021,2021-12-29,0.0,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,5,2022,2023-01-10,,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,5,2023,2024-01-06,0.0,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,5,2024,2025-01-19,60.0,外洋系,24.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2020,2020-10-04,0.0,外洋系,24.719444,0.7525023041474783,0.9426820276497828,0.6990322580645228,1.371253456221223,30.0,27.0,27.0,0,0.3340829493087552,0.3340829493087623,4.0,1.0,24-26°N (八重山)
9,6,2021,2021-12-29,0.0,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2022,2023-01-10,,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2023,2024-01-06,0.0,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,6,2024,2025-01-19,70.0,外洋系,24.719444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
