site_no,spot_no,year,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
11,3,2021,2021-09-22,2.5,0,0,0,0
11,4,2021,2021-09-22,2.5,0,0,0,0
11,5,2021,2021-09-22,60,0,0,0,0
11,6,2021,2021-09-22,60,0,0,0,0
11,7,2021,2021-09-22,40,0,0,0,0
11,8,2021,2021-09-22,40,0,0,0,0
11,9,2021,2021-09-22,10,0,0,0,0
11,10,2021,2021-09-23,10,0,0,0,0
11,11,2021,2021-09-23,0.5,0,0,0,0
11,12,2021,2021-09-23,40,0,0,0,0
11,13,2021,2021-09-23,40,0,0,0,0
11,14,2021,2021-09-23,10,0,0,0,0
11,15,2021,2021-09-23,0.5,0,0,0,0
11,16,2021,2021-09-23,20,0,0,0,0
11,17,2021,2021-09-23,70,0,0,0,0
11,18,2021,2021-09-23,10,0,0,0,0
11,19,2021,2021-09-24,70,0,0,0,0
11,20,2021,2021-09-24,10,0,0,0,0
11,21,2021,2021-09-24,20,0,0,0,0
11,22,2021,2021-09-24,2.5,0,0,0,0
11,23,2021,2021-09-24,10,0,0,0,0
11,24,2021,2021-09-24,50,0,0,0,0
11,25,2021,2021-09-24,20,0,0,0,0
11,26,2021,2021-09-24,20,0,0,0,0
11,27,2021,2021-09-24,80,0,0,0,0
11,28,2021,2021-09-24,50,0,0,0,0
11,29,2021,2021-09-24,50,0,0,0,0
11,30,2021,2021-09-08,40,0,0,0,0
11,31,2021,2021-09-08,70,0,0,0,0
11,32,2021,2021-09-08,30,0,0,0,0
11,33,2021,2021-09-08,30,0,0,0,0
12,1,2021,2021-09-08,0.5,0,0,0,0
12,2,2021,2021-09-08,10,0,0,0,0
12,3,2021,2021-09-08,20,0,0,0,0
12,4,2021,2021-09-08,2.5,0,0,0,0
12,5,2021,2021-09-08,80,0,0,0,0
12,6,2021,2021-09-08,10,0,0,0,0
12,7,2021,2021-09-07,2.5,0,0,0,0
12,8,2021,2021-09-07,50,0,0,0,0
12,9,2021,2021-09-07,10,0,0,0,0
12,10,2021,2021-09-07,30,0,0,0,0
12,11,2021,2021-09-07,30,0,0,0,0
12,12,2021,2021-09-07,80,0,0,0,0
12,13,2021,2021-09-07,70,0,0,0,0
12,14,2021,2021-09-07,60,0,0,0,0
12,15,2021,2021-09-03,80,0,0,0,0
12,16,2021,2021-09-29,70,0,0,0,0
12,17,2021,2021-09-03,50,0,0,0,0
12,18,2021,2021-09-09,60,0,0,0,0
12,19,2021,2021-09-09,40,0,0,0,0
12,20,2021,2021-09-09,30,0,0,0,0
12,21,2021,2021-09-09,10,0,0,0,0
12,22,2021,2021-09-09,10,0,0,0,0
12,23,2021,2021-09-09,0.5,0,0,0,0
12,24,2021,2021-09-09,60,0,0,0,0
12,25,2021,2021-09-09,40,0,0,0,0
12,26,2021,2021-09-09,0.5,0,0,0,0
12,27,2021,2021-09-02,60,0,0,0,0
12,28,2021,2021-09-03,70,0,0,0,0
12,29,2021,2021-09-02,50,0,0,0,0
12,30,2021,2021-09-03,40,0,0,0,0
12,31,2021,2021-09-02,50,0,0,0,0
12,32,2021,2021-09-02,30,0,0,0,0
12,33,2021,2021-09-02,70,0,0,0,0
12,34,2021,2021-09-02,20,0,0,0,0
12,35,2021,2021-09-02,20,0,0,0,0
12,36,2021,2021-09-01,30,0,0,0,0
12,37,2021,2021-09-01,10,0,0,0,0
12,38,2021,2021-09-01,10,0,0,0,0
12,39,2021,2021-09-01,20,0,0,0,0
12,40,2021,2021-09-01,70,0,0,0,0
12,41,2021,2021-09-01,20,0,0,0,0
12,42,2021,2021-09-01,20,0,0,0,0
12,43,2021,2020-11-06,10,0,0,0,0
12,44,2021,2021-09-07,70,0,0,0,0
13,27,2021,2021-10-23,10,70,67.5,1,1.5
13,28,2021,2021-10-23,50,60.5,60,0,0
13,31,2021,2021-10-23,60,68.5,72.5,1.5,1.5
13,32,2021,2021-10-23,2.5,60,70,0,0
13,35,2021,2021-10-29,60,46,48,1,1
13,36,2021,2021-10-29,70,50,46,1,1
13,42,2021,2021-11-14,30,80,75,1,1
13,43,2021,2021-11-14,20,72.5,70,1,1
13,44,2021,2021-11-15,10,40.5,50.5,1,2.5
13,49,2021,2021-11-01,10,25,25.5,1,1.5
13,50,2021,2021-10-31,30,28,20,3.5,3.5
13,51,2021,2021-11-13,20,43,31.5,1,1
13,52,2021,2021-11-13,20,46,35.5,1,1
13,53,2021,2021-11-13,20,39,35,1,1.5
13,62,2021,2021-10-29,60,38.5,46,1.5,1.5
13,63,2021,2021-10-29,50,40,37.5,1,1
13,64,2021,2021-10-29,50,42.5,42.5,1.5,2
13,65,2021,2021-10-30,70,60.5,56,2,3.5
13,67,2021,2021-10-23,30,55,62.5,1,1
13,68,2021,2021-11-15,20,59.5,53.5,1.5,2
13,71,2021,2021-10-31,70,24,18,1,1
13,72,2021,2021-10-31,50,24,15.5,1,1
13,73,2021,2021-10-31,40,31,23,1,1
13,74,2021,2021-10-31,40,23,15.5,1,1
13,75,2021,2021-10-30,40,34.5,30,1.5,2
13,110,2021,2021-10-23,10,67.5,72.5,1.5,2
13,112,2021,2021-11-14,30,56,50.5,1,1
13,116,2021,2021-10-31,60,30.5,23,1,1
14,46,2021,2021-11-01,10,77.5,77.5,1.5,1
14,47,2021,2021-11-01,10,86,86,1,1
14,54,2021,2021-11-13,10,48.5,56,1,1
14,76,2021,2021-11-13,10,56.5,43,1,0.5
14,77,2021,2021-11-03,10,76.5,72.5,1,1
14,78,2021,2021-11-03,2.5,46,40,1,1
14,79,2021,2021-11-03,2.5,41,40.5,1,1
14,80,2021,2021-11-03,10,70,68.5,1,1
14,81,2021,2021-11-03,2.5,53.5,54,1,1
14,82,2021,2021-11-01,20,54,31.5,1.5,1
14,83,2021,2021-11-01,2.5,40,28.5,1,1
14,84,2021,2021-10-26,30,61.5,46.5,1.5,1.5
14,87,2021,2021-11-13,20,53.5,46.5,1,1
14,88,2021,2021-11-14,10,67.5,60,1,1
14,89,2021,2021-11-14,2.5,51,45.5,1,1
14,90,2021,2021-11-14,10,46,35.5,1,0.5
14,93,2021,2021-10-26,2.5,54,56,1.5,1
14,109,2021,2021-11-16,20,46,26,1,2
14,114,2021,2021-11-01,10,77,76.5,1.5,1
14,115,2021,2021-11-03,10,72.5,65,1.5,1.5
15,4,2021,2021-10-28,10,60,70,1,1
15,5,2021,2021-10-28,10,75,82.5,0.5,0.5
15,19,2021,2021-10-28,20,72.5,65,1.5,1.5
15,20,2021,2021-10-28,20,62.5,71.5,1.5,2.5
15,22,2021,2021-10-30,20,72.5,68,3,3
15,23,2021,2021-11-02,2.5,70,60,0,0
15,24,2021,2021-11-02,20,70,55.5,2.5,1
15,25,2021,2021-11-02,10,35,45,1.5,1.5
15,37,2021,2021-10-22,50,55,50,1,1
15,38,2021,2021-10-28,10,70.5,65,3,3
15,39,2021,2021-10-30,20,82.5,71.5,6.5,3
15,40,2021,2021-11-02,30,57.5,58,1,1
15,41,2021,2021-11-02,20,55.5,44.5,1.5,1
15,58,2021,2021-10-22,70,62.5,65,1.5,2.5
15,59,2021,2021-10-22,50,67.5,72.5,2,4.5
15,60,2021,2021-10-22,70,78,79,2,2.5
15,61,2021,2021-10-22,10,77.5,,2.5,
15,66,2021,2021-10-29,20,66.5,72.5,1.5,2.5
