site_no,spot_no,site_name,spot_name,lat,lon,prefecture,landform,substrate,has_logger
3,5,奄美大島,安木屋場,28.477667,129.609806,鹿児島県,礁池,砂／礫,False
3,6,奄美大島,崎原東,28.337556,129.567472,鹿児島県,離礁,サンゴ岩,False
3,7,奄美大島,崎原南,28.333389,129.554833,鹿児島県,やや内湾,砂／礫,False
3,8,奄美大島,摺子崎,28.412833,129.46125,鹿児島県,礁池,砂／礫,False
3,9,奄美大島,大浜,28.40225,129.453028,鹿児島県,礁原,サンゴ岩,False
3,10,奄美大島,徳浜,28.346111,129.312639,鹿児島県,礁原,サンゴ岩,False
3,11,奄美大島,和瀬,28.292611,129.475444,鹿児島県,礁原,サンゴ岩,True
3,12,奄美大島,実久,28.199806,129.202222,鹿児島県,礁原,サンゴ岩,False
3,13,奄美大島,デリキョンマ崎,28.188778,129.243833,鹿児島県,礁原,サンゴ岩,True
3,14,奄美大島,手安,28.160333,129.293083,鹿児島県,内湾,砂,False
3,15,奄美大島,安脚場,28.111722,129.347056,鹿児島県,礁原,サンゴ岩,False
4,1,東村～奥,荒崎西**,26.075806,127.674528,沖縄県,礁斜面,岩,False
4,2,東村～奥,大度海岸礁池,26.087778,127.709361,沖縄県,礁池,砂・岩・礫,False
4,3,東村～奥,大度海岸礁斜面,26.085917,127.706667,沖縄県,礁斜面,岩・礫・砂,True
4,4,東村～奥,摩文仁南礁斜面,26.087556,127.719389,沖縄県,礁斜面,岩・砂,False
4,5,東村～奥,奥武島南礁池,26.124806,127.772167,沖縄県,礁池,岩,False
4,6,東村～奥,奥武島南礁斜面,26.122861,127.772389,沖縄県,礁斜面,岩,False
4,7,東村～奥,クマカ島南,26.141556,127.851083,沖縄県,礁斜面,岩・礫・砂,False
4,8,東村～奥,久高島エラブ岩東,26.15125,127.888722,沖縄県,礁斜面,岩・礫・砂,False
4,9,東村～奥,ウガン岩南,26.17775,127.929194,沖縄県,礁斜面,岩・礫・砂,False
4,10,東村～奥,津堅島アギハマ東,26.242472,127.951222,沖縄県,礁斜面,岩・礫・砂,False
4,11,東村～奥,ギノギ岩北東,26.279556,127.961167,沖縄県,礁斜面,岩,False
4,12,東村～奥,南浮原南東,26.285056,127.982083,沖縄県,礁斜面,岩・礫・砂,False
4,13,東村～奥,浮原北東ヨコビシ,26.306306,128.002528,沖縄県,礁斜面,砂,False
4,14,東村～奥,伊計島東礁池,26.383528,128.000639,沖縄県,礁斜面/礁池,岩・砂・礫,False
4,15,東村～奥,伊計島東礁斜面,26.384111,128.003833,沖縄県,礁斜面,岩・礫・砂,True
4,16,東村～奥,慶佐次ウッパマ東礁池,26.600667,128.154556,沖縄県,礁斜面,岩・礫,False
