site_no,spot_no,site_name,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora,landform,env_type,lat,lon,logger_start,logger_end,lookback_start
11,19,平久保崎～宮良湾,2021,2021-09-24,70.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.515917,124.298611,2019-12-14,2025-01-07,2021-07-02
11,19,平久保崎～宮良湾,2022,2022-11-12,70.0,,50.0,,50.0,礁池,閉鎖系,24.515917,124.298611,2019-12-14,2025-01-07,2022-08-20
11,19,平久保崎～宮良湾,2023,2023-09-07,70.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.515917,124.298611,2019-12-14,2025-01-07,2023-06-15
11,19,平久保崎～宮良湾,2024,2025-01-07,70.0,,0.0,,0.0,礁池,閉鎖系,24.515917,124.298611,2019-12-14,2025-01-07,2024-10-15
12,3,川平～大崎,2020,2020-11-06,10.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.583722,124.300028,2019-11-24,2025-01-05,2020-08-14
12,3,川平～大崎,2021,2021-09-08,20.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.583722,124.300028,2019-11-24,2025-01-05,2021-06-16
12,3,川平～大崎,2022,2022-10-09,10.0,60.0,70.0,60.0,70.0,礁池,閉鎖系,24.583722,124.300028,2019-11-24,2025-01-05,2022-07-17
12,3,川平～大崎,2023,2023-11-22,20.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.583722,124.300028,2019-11-24,2025-01-05,2023-08-30
12,3,川平～大崎,2024,2025-01-05,30.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.583722,124.300028,2019-11-24,2025-01-05,2024-10-13
12,23,川平～大崎,2020,2020-11-15,,0.0,0.0,0.0,0.0,礁池・礁原,中間系,24.47275,124.144667,2019-12-09,2024-12-06,2020-08-23
12,23,川平～大崎,2021,2021-09-09,0.5,0.0,0.0,0.0,0.0,礁池・礁原,中間系,24.47275,124.144667,2019-12-09,2024-12-06,2021-06-17
12,23,川平～大崎,2022,2022-11-10,,5.0,10.0,5.0,10.0,礁池・礁原,中間系,24.47275,124.144667,2019-12-09,2024-12-06,2022-08-18
12,23,川平～大崎,2023,2023-10-16,,0.0,0.0,0.0,0.0,礁池・礁原,中間系,24.47275,124.144667,2019-12-09,2024-12-06,2023-07-24
12,23,川平～大崎,2024,2024-12-06,,0.0,0.0,0.0,0.0,礁池・礁原,中間系,24.47275,124.144667,2019-12-09,2024-12-06,2024-09-13
12,40,川平～大崎,2020,2020-12-17,70.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.327889,124.175861,2019-10-21,2024-10-17,2020-09-24
12,40,川平～大崎,2021,2021-09-01,70.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.327889,124.175861,2019-10-21,2024-10-17,2021-06-09
12,40,川平～大崎,2022,2022-11-09,70.0,10.0,80.0,10.0,80.0,礁池,閉鎖系,24.327889,124.175861,2019-10-21,2024-10-17,2022-08-17
12,40,川平～大崎,2023,2023-09-14,70.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.327889,124.175861,2019-10-21,2024-10-17,2023-06-22
12,40,川平～大崎,2024,2024-10-17,60.0,5.0,5.0,,5.0,礁池,閉鎖系,24.327889,124.175861,2019-10-21,2024-10-17,2024-07-25
13,42,小浜島周辺,2020,2020-11-13,20.0,52.5,40.0,1.0,1.5,離礁,外洋系,24.342278,124.032889,2019-10-16,2024-11-20,2020-08-21
13,42,小浜島周辺,2021,2021-11-14,30.0,80.0,75.0,1.0,1.0,離礁,外洋系,24.342278,124.032889,2019-10-16,2024-11-20,2021-08-22
