site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj
6,5,2020,2020-10-28,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0
6,5,2021,2021-12-12,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0
6,5,2022,2022-11-13,0.0,外洋系,26.734722,0.0,0.0,0.0,0.0
6,5,2023,2023-09-09,0.0,外洋系,26.734722,1.2257188940092132,0.6834101382488507,0.20943778801843443,0.6834101382488507
6,5,2024,2024-09-02,90.0,外洋系,26.734722,8.053124423963128,7.74295852534563,6.6034562211981624,9.028672811059918
7,5,2020,2020-11-07,0.0,中間系,26.202194,0.0026409523809515383,0.0,0.0,0.0
7,5,2021,2021-10-31,0.0,中間系,26.202194,0.5970390476190361,0.4731336405529924,0.1164055299539137,0.4731336405529924
7,5,2022,2022-11-13,0.0,中間系,26.202194,0.08106190476190227,0.0,0.0,0.0
7,5,2023,2023-11-19,0.0,中間系,26.202194,0.4587028571428528,0.33119815668202435,0.04580645161290166,0.33119815668202435
7,5,2024,2024-10-18,10.0,中間系,26.202194,3.43078857142855,2.6258064516128896,1.5655299539170389,2.797235023041462
7,8,2020,2020-09-19,0.0,中間系,26.1865,1.6583253456221172,2.0640092165898674,1.1369769585253486,2.2354377880184244
7,8,2021,2021-11-05,0.0,中間系,26.1865,0.2899668202764976,0.24139170506912574,0.08997235023041535,0.24139170506912372
7,8,2022,2022-11-04,0.0,中間系,26.1865,0.07084239631336331,0.0,0.0,0.0
7,8,2023,2023-11-20,0.0,中間系,26.1865,0.23327096774193581,0.26279262672811143,0.037115207373271834,0.2627926267281079
7,8,2024,2024-10-18,30.0,中間系,26.1865,4.515002764976955,2.7539723502304234,1.6869124423963184,2.9254009216589787
9,1,2020,2020-11-22,0.0,閉鎖系,24.941528,,,,
9,1,2021,2021-11-06,0.0,閉鎖系,24.941528,0.028955069124423614,0.04610599078341033,0.0,0.04610599078341033
9,1,2022,2022-12-27,10.0,閉鎖系,24.941528,0.0,0.0,0.0,0.0
9,1,2023,2023-11-05,0.0,閉鎖系,24.941528,0.0,0.08455069124423938,0.0,0.08455069124423938
9,1,2024,2024-12-01,70.0,閉鎖系,24.941528,0.0,0.008052995391704851,0.0,0.008052995391704851
9,3,2020,2020-09-19,,外洋系,24.9005,0.3317315668202743,0.17147465437787293,0.17147465437787293,0.6420506912442383
9,3,2021,2022-01-15,0.0,外洋系,24.9005,0.0,0.0,0.0,0.0
9,3,2022,2023-01-11,90.0,外洋系,24.9005,0.0,0.0,0.0,0.0
