year,site_no,spot_no,site_name,spot_name,survey_date,coral_cover_pct,bleaching_all_pct,bleaching_acropora_pct,mortality_all_pct,mortality_acropora_pct
2021,12,14,川平～大崎,浦底湾口西,2021-09-07,60,0,0,0,0
2021,12,15,川平～大崎,富野集落前,2021-09-03,80,0,0,0,0
2021,12,16,川平～大崎,米原ｷｬﾝﾌﾟ場,2021-09-29,70,0,0,0,0
2021,12,17,川平～大崎,ヤマバレー前,2021-09-03,50,0,0,0,0
2021,12,18,川平～大崎,ヤマバレー西,2021-09-09,60,0,0,0,0
2021,12,19,川平～大崎,川平小島東,2021-09-09,40,0,0,0,0
2021,12,20,川平～大崎,川平小島北,2021-09-09,30,0,0,0,0
2021,12,21,川平～大崎,川平水路東,2021-09-09,10,0,0,0,0
2021,12,22,川平～大崎,川平水路,2021-09-09,10,0,0,0,0
2021,12,23,川平～大崎,川平水路北西,2021-09-09,0.5,0,0,0,0
2021,12,24,川平～大崎,川平～石崎,2021-09-09,60,0,0,0,0
2021,12,25,川平～大崎,ｸﾗﾌﾞﾒｯﾄﾞ前,2021-09-09,40,0,0,0,0
2021,12,26,川平～大崎,川平石崎北,2021-09-09,0.5,0,0,0,0
2021,12,27,川平～大崎,川平石崎南,2021-09-02,60,0,0,0,0
2021,12,28,川平～大崎,底地ビーチ沖,2021-09-03,70,0,0,0,0
2021,12,29,川平～大崎,崎枝湾内,2021-09-02,50,0,0,0,0
2021,12,30,川平～大崎,崎枝湾口,2021-09-03,40,0,0,0,0
2021,12,31,川平～大崎,崎枝～御神,2021-09-02,50,0,0,0,0
2021,12,32,川平～大崎,御神崎,2021-09-02,30,0,0,0,0
2021,12,33,川平～大崎,御神～屋良部,2021-09-02,70,0,0,0,0
2021,12,34,川平～大崎,屋良部崎北,2021-09-02,20,0,0,0,0
2021,12,35,川平～大崎,屋良部崎南,2021-09-02,20,0,0,0,0
2021,12,36,川平～大崎,屋良部～大崎,2021-09-01,30,0,0,0,0
2021,12,37,川平～大崎,名蔵保護水面,2021-09-01,10,0,0,0,0
2021,12,38,川平～大崎,富崎小島前,2021-09-01,10,0,0,0,0
2021,12,39,川平～大崎,観音崎,2021-09-01,20,0,0,0,0
2021,12,40,川平～大崎,真栄里海岸前,2021-09-01,70,0,0,0,0
2021,12,41,川平～大崎,赤崎,2021-09-01,20,0,0,0,0
2021,12,42,川平～大崎,名蔵川河口,2021-09-01,20,0,0,0,0
2021,12,43,川平～大崎,明石西,2020-11-06,10,0,0,0,0
2021,12,44,川平～大崎,伊原間湾口,2021-09-07,70,0,0,0,0
2021,13,27,小浜島周辺,小浜島東沖,2021-10-23,10,70,67.5,1,1.5
