site_no,spot_no,date,sst,source
1,5,2019-09-03,28.64,nasa_mur
1,5,2019-09-04,29.05,nasa_mur
1,5,2019-09-05,29.07,nasa_mur
1,5,2019-09-06,29.1,nasa_mur
1,5,2019-09-07,29.34,nasa_mur
1,5,2019-09-08,29.4,nasa_mur
1,5,2019-09-09,29.4,nasa_mur
1,5,2019-09-10,29.18,nasa_mur
1,5,2019-09-11,29.21,nasa_mur
1,5,2019-09-12,29.2,nasa_mur
1,5,2019-09-13,28.6,nasa_mur
1,5,2019-09-14,28.62,nasa_mur
1,5,2019-09-15,28.67,nasa_mur
1,5,2019-09-16,28.61,nasa_mur
1,5,2019-09-17,28.46,nasa_mur
1,5,2019-09-18,28.25,nasa_mur
1,5,2019-09-19,28.1,nasa_mur
1,5,2019-09-20,27.96,nasa_mur
1,5,2019-09-21,27.83,nasa_mur
1,5,2019-09-22,27.97,nasa_mur
1,5,2019-09-23,28.07,nasa_mur
1,5,2019-09-24,28.11,nasa_mur
1,5,2019-09-25,28.04,nasa_mur
1,5,2019-09-26,27.77,nasa_mur
1,5,2019-09-27,27.58,nasa_mur
1,5,2019-09-28,27.73,nasa_mur
1,5,2019-09-29,27.88,nasa_mur
1,5,2019-09-30,27.91,nasa_mur
1,5,2019-10-01,27.59,nasa_mur
1,5,2019-10-02,27.23,nasa_mur
1,5,2019-10-03,27.17,nasa_mur
1,5,2019-10-04,27.29,nasa_mur
1,5,2019-10-05,27.47,nasa_mur
1,5,2019-10-06,27.34,nasa_mur
1,5,2019-10-07,27.29,nasa_mur
1,5,2019-10-08,27.23,nasa_mur
1,5,2019-10-09,27.15,nasa_mur
1,5,2019-10-10,26.68,nasa_mur
1,5,2019-10-11,26.15,nasa_mur
1,5,2019-10-12,25.89,nasa_mur
1,5,2019-10-13,25.73,nasa_mur
1,5,2019-10-14,25.86,nasa_mur
1,5,2019-10-15,25.62,nasa_mur
1,5,2019-10-16,25.89,nasa_mur
1,5,2019-10-17,25.99,nasa_mur
1,5,2019-10-18,26.01,nasa_mur
1,5,2019-10-19,26.04,nasa_mur
1,5,2019-10-20,26.11,nasa_mur
1,5,2019-10-21,26.16,nasa_mur
1,5,2019-10-22,26.09,nasa_mur
1,5,2019-10-23,26.03,nasa_mur
1,5,2019-10-24,25.85,nasa_mur
1,5,2019-10-25,25.85,nasa_mur
1,5,2019-10-26,25.95,nasa_mur
1,5,2019-10-27,26.08,nasa_mur
1,5,2019-10-28,26.13,nasa_mur
1,5,2019-10-29,26.03,nasa_mur
1,5,2019-10-30,25.52,nasa_mur
1,5,2019-10-31,25.55,nasa_mur
1,5,2019-11-01,25.48,nasa_mur
1,5,2019-11-02,25.77,nasa_mur
1,5,2019-11-03,25.7,nasa_mur
1,5,2019-11-04,25.24,nasa_mur
1,5,2019-11-05,24.89,nasa_mur
1,5,2019-11-06,24.99,nasa_mur
1,5,2019-11-07,25.34,nasa_mur
1,5,2019-11-08,25.12,nasa_mur
1,5,2019-11-09,24.85,nasa_mur
1,5,2019-11-10,24.73,nasa_mur
1,5,2019-11-11,24.73,nasa_mur
1,5,2019-11-12,24.8,nasa_mur
1,5,2019-11-13,24.59,nasa_mur
1,5,2019-11-14,24.35,nasa_mur
1,5,2019-11-15,24.04,nasa_mur
1,5,2019-11-16,23.65,nasa_mur
1,5,2019-11-17,23.76,nasa_mur
1,5,2019-11-18,23.87,nasa_mur
1,5,2019-11-19,23.7,nasa_mur
1,5,2019-11-20,22.62,nasa_mur
1,5,2019-11-21,23.08,nasa_mur
1,5,2019-11-22,24.08,nasa_mur
1,5,2019-11-23,24.24,nasa_mur
1,5,2019-11-24,24.2,nasa_mur
1,5,2019-11-25,24.12,nasa_mur
1,5,2019-11-26,24.2,nasa_mur
1,5,2019-11-27,24.21,nasa_mur
1,5,2019-11-28,24.11,nasa_mur
1,5,2019-11-29,24.0,nasa_mur
1,5,2019-11-30,23.95,nasa_mur
1,5,2019-12-01,24.09,nasa_mur
1,5,2019-12-02,23.86,nasa_mur
1,5,2019-12-03,23.72,nasa_mur
1,5,2019-12-04,23.66,nasa_mur
1,5,2019-12-05,23.47,nasa_mur
1,5,2019-12-06,23.61,nasa_mur
1,5,2019-12-07,23.64,nasa_mur
1,5,2019-12-08,23.66,nasa_mur
1,5,2019-12-09,23.62,nasa_mur
1,5,2019-12-10,23.32,nasa_mur
1,5,2019-12-11,23.08,nasa_mur
1,5,2019-12-12,22.84,nasa_mur
1,5,2019-12-13,23.06,nasa_mur
1,5,2019-12-14,23.19,nasa_mur
1,5,2019-12-15,23.29,nasa_mur
1,5,2019-12-16,22.94,nasa_mur
1,5,2019-12-17,22.11,nasa_mur
1,5,2019-12-18,22.18,nasa_mur
1,5,2019-12-19,22.26,nasa_mur
1,5,2019-12-20,22.1,nasa_mur
1,5,2019-12-21,21.55,nasa_mur
1,5,2019-12-22,21.49,nasa_mur
1,5,2019-12-23,21.43,nasa_mur
1,5,2019-12-24,21.49,nasa_mur
1,5,2019-12-25,21.63,nasa_mur
1,5,2019-12-26,21.45,nasa_mur
1,5,2019-12-27,21.38,nasa_mur
1,5,2019-12-28,21.25,nasa_mur
1,5,2019-12-29,21.22,nasa_mur
1,5,2019-12-30,21.86,nasa_mur
1,5,2019-12-31,22.16,nasa_mur
1,5,2020-01-01,21.56,nasa_mur
1,5,2020-01-02,22.09,nasa_mur
1,5,2020-01-03,22.42,nasa_mur
1,5,2020-01-04,22.02,nasa_mur
1,5,2020-01-05,21.65,nasa_mur
1,5,2020-01-06,22.17,nasa_mur
1,5,2020-01-07,22.46,nasa_mur
1,5,2020-01-08,22.42,nasa_mur
1,5,2020-01-09,21.88,nasa_mur
1,5,2020-01-10,21.8,nasa_mur
1,5,2020-01-11,21.56,nasa_mur
1,5,2020-01-12,22.03,nasa_mur
1,5,2020-01-13,22.04,nasa_mur
1,5,2020-01-14,22.03,nasa_mur
1,5,2020-01-15,22.08,nasa_mur
1,5,2020-01-16,21.68,nasa_mur
1,5,2020-01-17,21.0,nasa_mur
1,5,2020-01-18,21.03,nasa_mur
1,5,2020-01-19,21.03,nasa_mur
1,5,2020-01-20,21.07,nasa_mur
1,5,2020-01-21,20.99,nasa_mur
1,5,2020-01-22,20.75,nasa_mur
1,5,2020-01-23,20.86,nasa_mur
1,5,2020-01-24,21.42,nasa_mur
1,5,2020-01-25,21.27,nasa_mur
1,5,2020-01-26,21.09,nasa_mur
1,5,2020-01-27,20.81,nasa_mur
1,5,2020-01-28,20.7,nasa_mur
1,5,2020-01-29,20.69,nasa_mur
1,5,2020-01-30,20.71,nasa_mur
1,5,2020-01-31,20.91,nasa_mur
1,5,2020-02-01,20.99,nasa_mur
1,5,2020-02-02,21.33,nasa_mur
1,5,2020-02-03,21.14,nasa_mur
1,5,2020-02-04,20.73,nasa_mur
1,5,2020-02-05,20.58,nasa_mur
1,5,2020-02-06,20.38,nasa_mur
1,5,2020-02-07,20.23,nasa_mur
1,5,2020-02-08,20.16,nasa_mur
1,5,2020-02-09,20.14,nasa_mur
1,5,2020-02-10,19.89,nasa_mur
1,5,2020-02-11,19.19,nasa_mur
1,5,2020-02-12,19.47,nasa_mur
1,5,2020-02-13,20.99,nasa_mur
1,5,2020-02-14,20.46,nasa_mur
1,5,2020-02-15,20.57,nasa_mur
1,5,2020-02-16,20.51,nasa_mur
1,5,2020-02-17,20.37,nasa_mur
1,5,2020-02-18,19.58,nasa_mur
1,5,2020-02-19,19.34,nasa_mur
1,5,2020-02-20,19.3,nasa_mur
1,5,2020-02-21,19.35,nasa_mur
1,5,2020-02-22,19.41,nasa_mur
1,5,2020-02-23,18.69,nasa_mur
1,5,2020-02-24,18.69,nasa_mur
1,5,2020-02-25,18.85,nasa_mur
1,5,2020-02-26,19.19,nasa_mur
1,5,2020-02-27,19.27,nasa_mur
1,5,2020-02-28,19.3,nasa_mur
1,5,2020-02-29,19.88,nasa_mur
1,5,2020-03-01,21.77,nasa_mur
1,5,2020-03-02,22.16,nasa_mur
1,5,2020-03-03,22.55,nasa_mur
1,5,2020-03-04,22.28,nasa_mur
1,5,2020-03-05,21.41,nasa_mur
1,5,2020-03-06,21.35,nasa_mur
1,5,2020-03-07,21.16,nasa_mur
1,5,2020-03-08,20.89,nasa_mur
1,5,2020-03-09,20.0,nasa_mur
1,5,2020-03-10,20.17,nasa_mur
1,5,2020-03-11,20.23,nasa_mur
1,5,2020-03-12,20.23,nasa_mur
1,5,2020-03-13,20.04,nasa_mur
1,5,2020-03-14,18.71,nasa_mur
1,5,2020-03-15,18.63,nasa_mur
1,5,2020-03-16,18.62,nasa_mur
1,5,2020-03-17,18.59,nasa_mur
1,5,2020-03-18,19.91,nasa_mur
1,5,2020-03-19,21.15,nasa_mur
1,5,2020-03-20,21.35,nasa_mur
1,5,2020-03-21,21.27,nasa_mur
1,5,2020-03-22,20.86,nasa_mur
1,5,2020-03-23,20.54,nasa_mur
1,5,2020-03-24,20.17,nasa_mur
1,5,2020-03-25,20.29,nasa_mur
1,5,2020-03-26,20.36,nasa_mur
1,5,2020-03-27,20.65,nasa_mur
1,5,2020-03-28,21.4,nasa_mur
1,5,2020-03-29,21.48,nasa_mur
1,5,2020-03-30,21.03,nasa_mur
1,5,2020-03-31,20.95,nasa_mur
1,5,2020-04-01,20.95,nasa_mur
1,5,2020-04-02,21.52,nasa_mur
1,5,2020-04-03,21.56,nasa_mur
1,5,2020-04-04,21.59,nasa_mur
1,5,2020-04-05,21.42,nasa_mur
1,5,2020-04-06,21.24,nasa_mur
1,5,2020-04-07,20.94,nasa_mur
1,5,2020-04-08,20.79,nasa_mur
1,5,2020-04-09,20.2,nasa_mur
1,5,2020-04-10,20.26,nasa_mur
1,5,2020-04-11,20.34,nasa_mur
1,5,2020-04-12,19.94,nasa_mur
1,5,2020-04-13,19.63,nasa_mur
1,5,2020-04-14,19.75,nasa_mur
1,5,2020-04-15,19.54,nasa_mur
1,5,2020-04-16,19.45,nasa_mur
1,5,2020-04-17,19.71,nasa_mur
1,5,2020-04-18,20.2,nasa_mur
1,5,2020-04-19,20.88,nasa_mur
1,5,2020-04-20,20.63,nasa_mur
1,5,2020-04-21,20.57,nasa_mur
1,5,2020-04-22,20.94,nasa_mur
1,5,2020-04-23,21.77,nasa_mur
1,5,2020-04-24,21.75,nasa_mur
1,5,2020-04-25,21.38,nasa_mur
1,5,2020-04-26,20.99,nasa_mur
1,5,2020-04-27,20.59,nasa_mur
1,5,2020-04-28,20.63,nasa_mur
1,5,2020-04-29,20.79,nasa_mur
1,5,2020-04-30,20.73,nasa_mur
1,5,2020-05-01,20.48,nasa_mur
1,5,2020-05-02,20.5,nasa_mur
1,5,2020-05-03,20.57,nasa_mur
1,5,2020-05-04,21.57,nasa_mur
1,5,2020-05-05,23.12,nasa_mur
1,5,2020-05-06,22.88,nasa_mur
1,5,2020-05-07,22.6,nasa_mur
1,5,2020-05-08,22.98,nasa_mur
1,5,2020-05-09,24.27,nasa_mur
1,5,2020-05-10,24.86,nasa_mur
1,5,2020-05-11,24.66,nasa_mur
1,5,2020-05-12,24.15,nasa_mur
1,5,2020-05-13,24.01,nasa_mur
1,5,2020-05-14,23.94,nasa_mur
1,5,2020-05-15,23.99,nasa_mur
1,5,2020-05-16,23.96,nasa_mur
1,5,2020-05-17,23.55,nasa_mur
1,5,2020-05-18,24.67,nasa_mur
1,5,2020-05-19,24.87,nasa_mur
1,5,2020-05-20,24.88,nasa_mur
1,5,2020-05-21,24.8,nasa_mur
1,5,2020-05-22,23.94,nasa_mur
1,5,2020-05-23,23.54,nasa_mur
1,5,2020-05-24,23.54,nasa_mur
1,5,2020-05-25,23.75,nasa_mur
1,5,2020-05-26,23.7,nasa_mur
1,5,2020-05-27,23.46,nasa_mur
1,5,2020-05-28,24.35,nasa_mur
1,5,2020-05-29,24.19,nasa_mur
1,5,2020-05-30,24.39,nasa_mur
1,5,2020-05-31,24.52,nasa_mur
1,5,2020-06-01,24.2,nasa_mur
1,5,2020-06-02,24.27,nasa_mur
1,5,2020-06-03,24.31,nasa_mur
1,5,2020-06-04,23.97,nasa_mur
1,5,2020-06-05,25.2,nasa_mur
1,5,2020-06-06,25.35,nasa_mur
1,5,2020-06-07,25.23,nasa_mur
1,5,2020-06-08,25.25,nasa_mur
1,5,2020-06-09,25.2,nasa_mur
1,5,2020-06-10,24.83,nasa_mur
1,5,2020-06-11,25.4,nasa_mur
1,5,2020-06-12,25.5,nasa_mur
1,5,2020-06-13,25.53,nasa_mur
1,5,2020-06-14,25.53,nasa_mur
1,5,2020-06-15,25.56,nasa_mur
1,5,2020-06-16,26.66,nasa_mur
1,5,2020-06-17,25.13,nasa_mur
1,5,2020-06-18,25.19,nasa_mur
1,5,2020-06-19,25.73,nasa_mur
1,5,2020-06-20,26.05,nasa_mur
1,5,2020-06-21,25.92,nasa_mur
1,5,2020-06-22,25.87,nasa_mur
1,5,2020-06-23,26.12,nasa_mur
1,5,2020-06-24,26.31,nasa_mur
1,5,2020-06-25,26.71,nasa_mur
1,5,2020-06-26,27.15,nasa_mur
1,5,2020-06-27,27.46,nasa_mur
1,5,2020-06-28,26.64,nasa_mur
1,5,2020-06-29,26.36,nasa_mur
1,5,2020-06-30,26.31,nasa_mur
1,5,2020-07-01,26.13,nasa_mur
1,5,2020-07-02,26.1,nasa_mur
1,5,2020-07-03,26.39,nasa_mur
1,5,2020-07-04,27.14,nasa_mur
