中ブロック,サイトNo,サイト名,spotNo,地名,調査日,調査者,観察手段,観察時間,被度,白化率_全体,白化率_ミドリイシ,死滅率_全体,死滅率_ミドリイシ,生育型,年度,site_code,dhw_satellite
沖縄島西岸,5.0,恩納村～残波岬,29,古宇利島北礁斜面**,2020-09-29,長田智史,scuba,20,80.0,70.0,68.33333333333333,0.0,,0,2020,sesoko,1.418571428571429
沖縄島西岸,5.0,恩納村～残波岬,31,大嶺崎大瀬,2020-09-27,長田智史,skin,15,50.0,20.0,18.333333333333332,0.5,,0,2020,sesoko,1.5957142857142863
沖縄島西岸,5.0,恩納村～残波岬,32,水釜*,2020-09-08,長田智史,skin,15,20.0,10.0,27.5,35.0,,5,2020,sesoko,2.785714285714287
沖縄島西岸,5.0,恩納村～残波岬,33,水釜礁斜面*,2020-09-08,長田智史,skin,15,20.0,20.0,21.666666666666668,2.5,,5,2020,sesoko,2.785714285714287
沖縄島西岸,5.0,恩納村～残波岬,43,真栄田岬西大礁池,2020-09-08,長田智史,skin,15,20.0,20.0,18.333333333333332,0.5,,60,2020,sesoko,2.785714285714287
沖縄島西岸,5.0,恩納村～残波岬,44,砂辺*,2021-01-21,長田智史,skin,15,30.0,30.0,10.0,10.0,,45,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,45,チービシ神山北,2021-01-14,長田智史,skin,15,70.0,70.0,63.333333333333336,0.0,,0,2020,sesoko,0.0
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,1,安室南,2020-10-03,豊島正彦,skin,15,20.0,30.0,22.40277777777778,0.0,0.0,0,2020,kerama,1.6442857142857146
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2,座間味アゴノウラ,2020-10-03,豊島正彦,skin,15,10.0,10.0,8.653846153846153,0.0,0.0,0,2020,kerama,1.6442857142857146
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,3,座間味ニタ,2020-10-04,豊島正彦,skin,15,30.0,30.0,23.00802139037433,0.0,0.0,0,2020,kerama,1.585714285714286
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,4,嘉比南,2020-11-07,豊島正彦,skin,15,40.0,30.0,20.166666666666664,0.0,0.0,0,2020,kerama,0.0
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,5,阿嘉ニシハマ,2020-11-07,豊島正彦,skin,15,20.0,30.0,18.92857142857143,0.0,0.0,0,2020,kerama,0.0
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,6,阿嘉クシバル,2020-09-19,豊島正彦,skin,15,50.0,40.0,38.53409090909091,,0.0,0,2020,kerama,2.478571428571428
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,7,阿嘉アグ,2020-11-07,豊島正彦,skin,15,50.0,50.0,57.22727272727273,0.0,0.0,0,2020,kerama,0.0
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,8,阿嘉マエノハマ,2020-09-19,豊島正彦,skin,15,20.0,20.0,17.75,0.0,0.0,0,2020,kerama,2.478571428571428
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,9,屋嘉比東,2020-09-19,豊島正彦,skin,15,20.0,30.0,23.944444444444443,0.0,0.0,0,2020,kerama,2.478571428571428
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,10,久場北西,2020-10-04,豊島正彦,skin,15,20.0,20.0,20.84375,0.0,0.0,0,2020,kerama,1.585714285714286
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,11,渡嘉敷アリガー,2020-10-03,豊島正彦,skin,15,30.0,40.0,29.166666666666664,,0.0,0,2020,kerama,1.6442857142857146
慶良間諸島,7.0,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,12,渡嘉敷アハレン,2020-10-03,豊島正彦,skin,15,40.0,30.0,29.5,,,0,2020,kerama,1.6442857142857146
石垣島東岸,11.0,平久保～宮良湾,1,大浜小前,2020-10-05,吉田,skin,15,10.0,2.5,,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,2,宮良川河口,2020-10-05,吉田,skin,15,30.0,30.0,20.0,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,3,宮良集落前,2020-10-05,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,4,白保集落前,2020-10-05,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,5,白保ｱｵｻﾝｺﾞ,2020-10-05,吉田,skin,15,60.0,60.0,60.0,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,6,白保第１ﾎﾟｰﾙ,2020-10-05,吉田,skin,15,60.0,60.0,50.0,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,7,白保～轟川,2020-10-05,吉田,skin,15,30.0,30.0,25.0,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,8,轟川河口,2020-10-05,吉田,skin,15,40.0,40.0,30.0,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,9,モリヤマグチ,2020-10-05,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,2.238571428571429
石垣島東岸,11.0,平久保～宮良湾,10,スムジグチ,2020-11-02,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,11,採石場前,2020-11-02,吉田,skin,15,,0.5,,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,12,通路川南,2020-11-02,吉田,skin,15,40.0,40.0,30.0,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,13,通路川水路北,2020-11-02,吉田,skin,15,20.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,14,野原崎,2020-11-02,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,15,伊野田漁港前,2020-11-02,吉田,skin,15,,0.5,,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,16,大野牧場前,2020-11-02,吉田,skin,15,20.0,20.0,10.0,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,17,玉取崎南,2020-11-02,吉田,skin,15,70.0,70.0,70.0,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,18,玉取崎東,2020-11-02,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,0.6571428571428584
石垣島東岸,11.0,平久保～宮良湾,19,伊原間牧場前,2020-11-22,吉田,skin,15,70.0,60.0,55.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,20,トムル崎南,2020-11-22,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,21,トムル崎,2020-11-22,吉田,skin,15,10.0,10.0,10.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,22,ﾊﾟﾗﾜｰﾙﾄﾞ前,2020-11-22,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,23,明石～安良崎,2020-11-22,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,24,安良崎南,2020-11-22,吉田,skin,15,50.0,60.0,60.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,25,安良崎,2020-11-22,吉田,skin,15,20.0,20.0,20.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,26,安良グチ北,2020-11-22,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,27,岩崎南,2020-11-22,吉田,skin,15,70.0,70.0,60.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,28,岩崎,2020-11-22,吉田,skin,15,40.0,30.0,20.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,29,岩崎～浦崎,2020-11-22,吉田,skin,15,40.0,40.0,40.0,0.0,0.0,0,2020,sekisei,0.0
石垣島東岸,11.0,平久保～宮良湾,30,浦崎沖,2020-11-06,吉田,skin,15,40.0,40.0,60.0,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島東岸,11.0,平久保～宮良湾,31,浦崎前,2020-11-06,吉田,skin,15,60.0,50.0,40.0,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島東岸,11.0,平久保～宮良湾,32,平野集落前,2020-11-06,吉田,skin,15,20.0,20.0,10.0,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島東岸,11.0,平久保～宮良湾,33,平久保灯台北,2020-11-06,吉田,skin,15,20.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,1,平久保灯台西,2020-11-06,吉田,skin,15,,0.5,,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,2,平久保川北,2020-11-06,吉田,skin,15,10.0,2.5,,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,3,平久保集落南,2020-11-06,吉田,skin,15,10.0,2.5,,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,4,嘉良川前,2020-11-06,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,5,ダテフ崎北,2020-11-06,吉田,skin,15,60.0,40.0,15.0,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,6,ダテフ崎南,2020-11-06,吉田,skin,15,,0.5,,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,7,野底石崎,2020-11-17,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,8,栄集落前,2020-11-17,吉田,skin,15,40.0,20.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,9,野底集落前,2020-11-17,吉田,skin,15,10.0,10.0,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,10,野底崎,2020-11-17,吉田,skin,15,20.0,20.0,15.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,11,伊土名北,2020-11-17,吉田,skin,15,30.0,10.0,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,12,伊土名南,2020-11-17,吉田,skin,15,70.0,50.0,25.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,13,浦底湾口北,2020-11-17,吉田,skin,15,70.0,40.0,20.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,14,浦底湾口西,2020-11-17,吉田,skin,15,40.0,30.0,10.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,15,富野集落前,2020-11-17,吉田,skin,15,70.0,30.0,15.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,16,米原ｷｬﾝﾌﾟ場,2020-12-07,吉田,skin,15,60.0,60.0,50.0,0.0,,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,17,ヤマバレー前,2020-11-07,吉田,skin,15,50.0,40.0,20.0,0.0,0.0,0,2020,sekisei,0.5442857142857151
石垣島西岸,12.0,川平～大崎,18,ヤマバレー西,2020-11-15,吉田,skin,15,60.0,60.0,50.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,19,川平小島東,2020-11-15,吉田,skin,15,30.0,20.0,15.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,20,川平小島北,2020-11-15,吉田,skin,15,50.0,50.0,40.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,21,川平水路東,2020-11-15,吉田,skin,15,50.0,10.0,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,22,川平水路,2020-11-15,吉田,skin,15,10.0,2.5,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,23,川平水路北西,2020-11-15,吉田,skin,15,,0.5,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,24,川平～石崎,2020-11-15,吉田,skin,15,60.0,60.0,60.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,25,ｸﾗﾌﾞﾒｯﾄﾞ前,2020-11-15,吉田,skin,15,30.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,26,川平石崎北,2020-11-15,吉田,skin,15,,0.5,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,27,川平石崎南,2020-11-07,吉田,skin,15,60.0,20.0,5.0,0.0,0.0,0,2020,sekisei,0.5442857142857151
石垣島西岸,12.0,川平～大崎,28,底地ビーチ沖,2020-11-07,吉田,skin,15,70.0,30.0,20.0,0.0,0.0,0,2020,sekisei,0.5442857142857151
石垣島西岸,12.0,川平～大崎,29,崎枝湾内,2021-01-25,吉田,skin,15,40.0,20.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,30,崎枝湾口,2021-01-25,吉田,skin,15,30.0,20.0,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,31,崎枝～御神,2021-01-25,吉田,skin,15,50.0,30.0,10.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,32,御神崎,2021-01-25,吉田,skin,15,20.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,33,御神～屋良部,2020-12-23,吉田,skin,15,60.0,30.0,10.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,34,屋良部崎北,2020-12-23,吉田,skin,15,20.0,10.0,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,35,屋良部崎南,2020-11-21,吉田,skin,15,20.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,36,屋良部～大崎,2020-12-23,吉田,skin,15,30.0,20.0,20.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,37,名蔵保護水面,2020-11-21,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,38,富崎小島前,2020-12-17,吉田,skin,15,10.0,2.5,,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,39,観音崎,2020-12-17,吉田,skin,15,10.0,10.0,5.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,40,真栄里海岸前,2020-12-17,吉田,skin,15,70.0,70.0,70.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,41,赤崎,2020-11-21,吉田,skin,15,20.0,10.0,10.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,42,名蔵川河口,2020-11-21,吉田,skin,15,20.0,20.0,15.0,0.0,0.0,0,2020,sekisei,0.0
石垣島西岸,12.0,川平～大崎,43,明石西,2020-11-06,吉田,skin,15,,2.5,,0.0,0.0,0,2020,sekisei,0.5942857142857153
石垣島西岸,12.0,川平～大崎,44,伊原間湾口,2020-11-06,吉田,skin,15,70.0,50.0,20.0,0.0,0.0,0,2020,sekisei,0.5942857142857153
石西礁湖北部,13.0,小浜島周辺,27,小浜島東沖,2020-11-15,木村,skin,15,10.0,10.0,7.666666666666667,22.0,10.0,22.5,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,28,嘉弥真島南岸礁縁,2020-11-15,木村,skin,15,50.0,40.0,18.333333333333332,36.5,10.0,26.5,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,31,嘉弥真島南西岸礁池内,2020-11-15,木村,skin,15,70.0,60.0,57.5,29.5,7.5,31,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,32,小浜島北東岸礁縁,2020-11-15,木村,skin,15,,2.5,,12.5,5.0,7.5,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,35,ヨナラ水道南礁縁,2020-11-06,木村,skin,15,60.0,50.0,41.666666666666664,27.5,12.5,32,2020,sekisei,0.5942857142857153
石西礁湖北部,13.0,小浜島周辺,36,ヨナラ水道南①,2020-11-08,木村,skin,15,60.0,60.0,65.0,22.5,7.5,23.5,2020,sekisei,0.471428571428572
石西礁湖北部,13.0,小浜島周辺,42,小浜島東沖礁湖内①,2020-11-13,木村,skin,15,20.0,20.0,18.333333333333332,52.5,27.5,40,2020,sekisei,0.0971428571428576
石西礁湖北部,13.0,小浜島周辺,43,小浜島東沖礁湖内②,2020-11-13,木村,skin,15,20.0,20.0,19.166666666666668,45.0,15.0,45,2020,sekisei,0.0971428571428576
石西礁湖北部,13.0,小浜島周辺,44,嘉弥真島東沖礁湖内,2020-11-13,木村,skin,15,10.0,10.0,10.0,39.5,20.0,42,2020,sekisei,0.0971428571428576
石西礁湖北部,13.0,小浜島周辺,49,竹富島西沖離礁礁縁,2020-11-08,木村,skin,15,10.0,10.0,5.166666666666667,29.0,15.0,24.5,2020,sekisei,0.471428571428572
石西礁湖北部,13.0,小浜島周辺,50,竹富島西沖離礁外縁,2020-11-07,木村,skin,15,40.0,10.0,6.333333333333333,15.25,12.5,17.75,2020,sekisei,0.5442857142857151
石西礁湖北部,13.0,小浜島周辺,51,竹富島北岸礁外縁,2020-11-18,木村,skin,15,10.0,2.5,,23.5,15.0,20.5,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,52,竹富島北東岸礁外縁,2020-11-18,木村,skin,15,20.0,10.0,10.5,30.0,12.5,22.5,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,53,竹富島北東沖礁縁,2020-11-18,木村,skin,15,20.0,20.0,16.666666666666668,35.0,10.0,32,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,62,ヨナラ水道南②,2020-11-06,木村,skin,15,50.0,50.0,36.666666666666664,25.5,7.5,25,2020,sekisei,0.5942857142857153
石西礁湖北部,13.0,小浜島周辺,63,ヨナラ水道南部,2020-11-06,木村,skin,15,50.0,50.0,43.333333333333336,24.5,10.0,29.5,2020,sekisei,0.5942857142857153
石西礁湖北部,13.0,小浜島周辺,64,ヨナラ水道中央部①,2020-11-06,木村,skin,15,50.0,50.0,42.5,20.5,7.5,21,2020,sekisei,0.5942857142857153
石西礁湖北部,13.0,小浜島周辺,65,ヨナラ水道北部,2020-11-06,木村,skin,15,60.0,70.0,54.166666666666664,23.5,15.0,28.5,2020,sekisei,0.5942857142857153
石西礁湖北部,13.0,小浜島周辺,67,小浜島東沖離礁①,2020-11-13,木村,skin,15,20.0,20.0,20.0,52.5,15.0,47.5,2020,sekisei,0.0971428571428576
石西礁湖北部,13.0,小浜島周辺,68,嘉弥真島東沖礁内縁,2020-11-15,木村,skin,15,30.0,20.0,28.333333333333332,27.5,12.5,22.5,2020,sekisei,0.0
石西礁湖北部,13.0,小浜島周辺,71,嘉弥真島東沖礁外縁,2020-10-28,木村,skin,15,70.0,40.0,36.666666666666664,20.0,10.0,15,2020,sekisei,0.6571428571428584
石西礁湖北部,13.0,小浜島周辺,72,嘉弥真島北岸礁外縁①,2020-10-28,木村,skin,15,50.0,50.0,30.0,25.0,7.5,18.5,2020,sekisei,0.6571428571428584
石西礁湖北部,13.0,小浜島周辺,73,嘉弥真島北岸礁外縁②,2020-10-28,木村,skin,15,40.0,30.0,10.0,21.0,10.0,12.5,2020,sekisei,0.6571428571428584
石西礁湖北部,13.0,小浜島周辺,74,小浜島北岸礁外縁,2020-10-28,木村,skin,15,40.0,20.0,13.333333333333334,23.0,10.0,17,2020,sekisei,0.6571428571428584
