プロット タイトル: site13_spot042_2022,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155732, SEN S/N: 21155732)",カプラー取り外し (LGR S/N: 21155732),カプラー取り付け (LGR S/N: 21155732),停止済み (LGR S/N: 21155732),ファイルの終わり (LGR S/N: 21155732)
35,11/14/21 06:00:00 午後,25.234,,,,
36,11/14/21 07:00:00 午後,25.234,,,,
37,11/14/21 08:00:00 午後,25.72,,,,
38,11/14/21 09:00:00 午後,25.817,,,,
39,11/14/21 10:00:00 午後,25.841,,,,
40,11/14/21 11:00:00 午後,25.817,,,,
41,11/15/21 12:00:00 午前,25.671,,,,
42,11/15/21 01:00:00 午前,25.404,,,,
43,11/15/21 02:00:00 午前,25.404,,,,
44,11/15/21 03:00:00 午前,25.283,,,,
45,11/15/21 04:00:00 午前,25.065,,,,
46,11/15/21 05:00:00 午前,24.726,,,,
47,11/15/21 06:00:00 午前,24.339,,,,
48,11/15/21 07:00:00 午前,24.557,,,,
49,11/15/21 08:00:00 午前,24.75,,,,
50,11/15/21 09:00:00 午前,24.798,,,,
51,11/15/21 10:00:00 午前,25.016,,,,
52,11/15/21 11:00:00 午前,25.162,,,,
53,11/15/21 12:00:00 午後,25.307,,,,
54,11/15/21 01:00:00 午後,24.992,,,,
55,11/15/21 02:00:00 午後,25.065,,,,
56,11/15/21 03:00:00 午後,24.992,,,,
57,11/15/21 04:00:00 午後,24.798,,,,
58,11/15/21 05:00:00 午後,24.75,,,,
59,11/15/21 06:00:00 午後,24.702,,,,
60,11/15/21 07:00:00 午後,24.726,,,,
61,11/15/21 08:00:00 午後,24.653,,,,
62,11/15/21 09:00:00 午後,24.774,,,,
63,11/15/21 10:00:00 午後,25.016,,,,
64,11/15/21 11:00:00 午後,25.089,,,,
65,11/16/21 12:00:00 午前,24.992,,,,
66,11/16/21 01:00:00 午前,24.532,,,,
67,11/16/21 02:00:00 午前,24.726,,,,
68,11/16/21 03:00:00 午前,24.847,,,,
69,11/16/21 04:00:00 午前,24.677,,,,
70,11/16/21 05:00:00 午前,24.436,,,,
71,11/16/21 06:00:00 午前,24.726,,,,
72,11/16/21 07:00:00 午前,24.823,,,,
73,11/16/21 08:00:00 午前,24.629,,,,
74,11/16/21 09:00:00 午前,24.581,,,,
75,11/16/21 10:00:00 午前,24.532,,,,
76,11/16/21 11:00:00 午前,24.653,,,,
77,11/16/21 12:00:00 午後,24.823,,,,
78,11/16/21 01:00:00 午後,24.968,,,,
79,11/16/21 02:00:00 午後,24.944,,,,
80,11/16/21 03:00:00 午後,24.968,,,,
81,11/16/21 04:00:00 午後,24.871,,,,
82,11/16/21 05:00:00 午後,25.258,,,,
83,11/16/21 06:00:00 午後,25.404,,,,
84,11/16/21 07:00:00 午後,25.55,,,,
85,11/16/21 08:00:00 午後,25.21,,,,
86,11/16/21 09:00:00 午後,25.113,,,,
87,11/16/21 10:00:00 午後,24.895,,,,
88,11/16/21 11:00:00 午後,24.726,,,,
89,11/17/21 12:00:00 午前,24.605,,,,
90,11/17/21 01:00:00 午前,24.774,,,,
91,11/17/21 02:00:00 午前,24.798,,,,
92,11/17/21 03:00:00 午前,24.992,,,,
93,11/17/21 04:00:00 午前,24.919,,,,
94,11/17/21 05:00:00 午前,25.137,,,,
95,11/17/21 06:00:00 午前,25.307,,,,
96,11/17/21 07:00:00 午前,25.453,,,,
97,11/17/21 08:00:00 午前,25.404,,,,
98,11/17/21 09:00:00 午前,25.283,,,,
99,11/17/21 10:00:00 午前,25.186,,,,
100,11/17/21 11:00:00 午前,25.113,,,,
101,11/17/21 12:00:00 午後,25.21,,,,
102,11/17/21 01:00:00 午後,25.55,,,,
103,11/17/21 02:00:00 午後,25.501,,,,
104,11/17/21 03:00:00 午後,25.623,,,,
105,11/17/21 04:00:00 午後,25.598,,,,
106,11/17/21 05:00:00 午後,25.598,,,,
107,11/17/21 06:00:00 午後,25.914,,,,
108,11/17/21 07:00:00 午後,25.914,,,,
109,11/17/21 08:00:00 午後,25.914,,,,
110,11/17/21 09:00:00 午後,25.744,,,,
111,11/17/21 10:00:00 午後,25.768,,,,
112,11/17/21 11:00:00 午後,25.671,,,,
113,11/18/21 12:00:00 午前,25.525,,,,
114,11/18/21 01:00:00 午前,25.38,,,,
115,11/18/21 02:00:00 午前,25.501,,,,
116,11/18/21 03:00:00 午前,25.477,,,,
117,11/18/21 04:00:00 午前,25.574,,,,
118,11/18/21 05:00:00 午前,25.574,,,,
119,11/18/21 06:00:00 午前,25.72,,,,
120,11/18/21 07:00:00 午前,25.671,,,,
121,11/18/21 08:00:00 午前,25.695,,,,
122,11/18/21 09:00:00 午前,25.623,,,,
123,11/18/21 10:00:00 午前,25.744,,,,
124,11/18/21 11:00:00 午前,25.671,,,,
125,11/18/21 12:00:00 午後,25.574,,,,
126,11/18/21 01:00:00 午後,25.55,,,,
127,11/18/21 02:00:00 午後,25.647,,,,
128,11/18/21 03:00:00 午後,25.623,,,,
129,11/18/21 04:00:00 午後,25.671,,,,
130,11/18/21 05:00:00 午後,25.744,,,,
131,11/18/21 06:00:00 午後,25.793,,,,
132,11/18/21 07:00:00 午後,25.817,,,,
133,11/18/21 08:00:00 午後,25.841,,,,
134,11/18/21 09:00:00 午後,25.817,,,,
135,11/18/21 10:00:00 午後,25.793,,,,
136,11/18/21 11:00:00 午後,25.768,,,,
137,11/19/21 12:00:00 午前,25.671,,,,
138,11/19/21 01:00:00 午前,25.623,,,,
139,11/19/21 02:00:00 午前,25.671,,,,
140,11/19/21 03:00:00 午前,25.647,,,,
141,11/19/21 04:00:00 午前,25.671,,,,
142,11/19/21 05:00:00 午前,25.72,,,,
143,11/19/21 06:00:00 午前,25.744,,,,
144,11/19/21 07:00:00 午前,25.866,,,,
145,11/19/21 08:00:00 午前,25.914,,,,
146,11/19/21 09:00:00 午前,25.939,,,,
147,11/19/21 10:00:00 午前,25.939,,,,
148,11/19/21 11:00:00 午前,25.963,,,,
149,11/19/21 12:00:00 午後,25.987,,,,
150,11/19/21 01:00:00 午後,26.109,,,,
151,11/19/21 02:00:00 午後,26.451,,,,
152,11/19/21 03:00:00 午後,26.573,,,,
153,11/19/21 04:00:00 午後,26.329,,,,
154,11/19/21 05:00:00 午後,26.256,,,,
155,11/19/21 06:00:00 午後,26.134,,,,
156,11/19/21 07:00:00 午後,26.134,,,,
157,11/19/21 08:00:00 午後,26.231,,,,
158,11/19/21 09:00:00 午後,26.207,,,,
159,11/19/21 10:00:00 午後,26.134,,,,
160,11/19/21 11:00:00 午後,25.963,,,,
161,11/20/21 12:00:00 午前,25.914,,,,
162,11/20/21 01:00:00 午前,25.841,,,,
163,11/20/21 02:00:00 午前,25.793,,,,
164,11/20/21 03:00:00 午前,25.841,,,,
165,11/20/21 04:00:00 午前,25.793,,,,
166,11/20/21 05:00:00 午前,25.89,,,,
167,11/20/21 06:00:00 午前,25.89,,,,
168,11/20/21 07:00:00 午前,25.987,,,,
169,11/20/21 08:00:00 午前,25.987,,,,
170,11/20/21 09:00:00 午前,26.061,,,,
171,11/20/21 10:00:00 午前,25.914,,,,
172,11/20/21 11:00:00 午前,26.109,,,,
173,11/20/21 12:00:00 午後,25.963,,,,
174,11/20/21 01:00:00 午後,25.963,,,,
175,11/20/21 02:00:00 午後,26.329,,,,
176,11/20/21 03:00:00 午後,26.72,,,,
177,11/20/21 04:00:00 午後,26.231,,,,
178,11/20/21 05:00:00 午後,26.353,,,,
179,11/20/21 06:00:00 午後,26.085,,,,
180,11/20/21 07:00:00 午後,26.158,,,,
181,11/20/21 08:00:00 午後,26.231,,,,
182,11/20/21 09:00:00 午後,26.256,,,,
183,11/20/21 10:00:00 午後,26.207,,,,
184,11/20/21 11:00:00 午後,26.158,,,,
185,11/21/21 12:00:00 午前,26.061,,,,
186,11/21/21 01:00:00 午前,25.939,,,,
187,11/21/21 02:00:00 午前,25.817,,,,
188,11/21/21 03:00:00 午前,25.841,,,,
189,11/21/21 04:00:00 午前,25.914,,,,
190,11/21/21 05:00:00 午前,25.841,,,,
191,11/21/21 06:00:00 午前,25.963,,,,
192,11/21/21 07:00:00 午前,25.939,,,,
193,11/21/21 08:00:00 午前,26.036,,,,
194,11/21/21 09:00:00 午前,25.963,,,,
195,11/21/21 10:00:00 午前,26.085,,,,
196,11/21/21 11:00:00 午前,26.134,,,,
197,11/21/21 12:00:00 午後,26.182,,,,
198,11/21/21 01:00:00 午後,26.256,,,,
199,11/21/21 02:00:00 午後,26.329,,,,
200,11/21/21 03:00:00 午後,26.378,,,,
201,11/21/21 04:00:00 午後,26.524,,,,
202,11/21/21 05:00:00 午後,26.451,,,,
203,11/21/21 06:00:00 午後,26.524,,,,
204,11/21/21 07:00:00 午後,26.353,,,,
205,11/21/21 08:00:00 午後,26.304,,,,
206,11/21/21 09:00:00 午後,26.329,,,,
207,11/21/21 10:00:00 午後,26.304,,,,
208,11/21/21 11:00:00 午後,26.28,,,,
209,11/22/21 12:00:00 午前,26.256,,,,
210,11/22/21 01:00:00 午前,26.207,,,,
211,11/22/21 02:00:00 午前,26.207,,,,
212,11/22/21 03:00:00 午前,26.182,,,,
213,11/22/21 04:00:00 午前,26.158,,,,
214,11/22/21 05:00:00 午前,26.182,,,,
215,11/22/21 06:00:00 午前,26.182,,,,
216,11/22/21 07:00:00 午前,26.231,,,,
217,11/22/21 08:00:00 午前,26.329,,,,
218,11/22/21 09:00:00 午前,26.402,,,,
219,11/22/21 10:00:00 午前,26.475,,,,
220,11/22/21 11:00:00 午前,26.329,,,,
221,11/22/21 12:00:00 午後,26.256,,,,
222,11/22/21 01:00:00 午後,26.134,,,,
223,11/22/21 02:00:00 午後,26.012,,,,
224,11/22/21 03:00:00 午後,26.231,,,,
225,11/22/21 04:00:00 午後,26.158,,,,
226,11/22/21 05:00:00 午後,26.061,,,,
227,11/22/21 06:00:00 午後,26.061,,,,
228,11/22/21 07:00:00 午後,26.109,,,,
229,11/22/21 08:00:00 午後,26.158,,,,
230,11/22/21 09:00:00 午後,26.158,,,,
231,11/22/21 10:00:00 午後,26.158,,,,
232,11/22/21 11:00:00 午後,26.134,,,,
233,11/23/21 12:00:00 午前,26.085,,,,
234,11/23/21 01:00:00 午前,26.012,,,,
235,11/23/21 02:00:00 午前,25.914,,,,
236,11/23/21 03:00:00 午前,25.793,,,,
237,11/23/21 04:00:00 午前,25.647,,,,
238,11/23/21 05:00:00 午前,25.501,,,,
239,11/23/21 06:00:00 午前,25.38,,,,
240,11/23/21 07:00:00 午前,25.355,,,,
241,11/23/21 08:00:00 午前,25.331,,,,
242,11/23/21 09:00:00 午前,25.234,,,,
243,11/23/21 10:00:00 午前,25.647,,,,
244,11/23/21 11:00:00 午前,25.89,,,,
245,11/23/21 12:00:00 午後,25.963,,,,
246,11/23/21 01:00:00 午後,25.939,,,,
247,11/23/21 02:00:00 午後,25.914,,,,
248,11/23/21 03:00:00 午後,25.841,,,,
249,11/23/21 04:00:00 午後,25.768,,,,
250,11/23/21 05:00:00 午後,25.671,,,,
251,11/23/21 06:00:00 午後,25.623,,,,
252,11/23/21 07:00:00 午後,25.574,,,,
253,11/23/21 08:00:00 午後,25.574,,,,
254,11/23/21 09:00:00 午後,25.55,,,,
255,11/23/21 10:00:00 午後,25.598,,,,
256,11/23/21 11:00:00 午後,25.647,,,,
257,11/24/21 12:00:00 午前,25.671,,,,
258,11/24/21 01:00:00 午前,25.671,,,,
259,11/24/21 02:00:00 午前,25.598,,,,
260,11/24/21 03:00:00 午前,25.501,,,,
261,11/24/21 04:00:00 午前,25.38,,,,
262,11/24/21 05:00:00 午前,25.065,,,,
263,11/24/21 06:00:00 午前,25.162,,,,
264,11/24/21 07:00:00 午前,25.234,,,,
265,11/24/21 08:00:00 午前,25.234,,,,
266,11/24/21 09:00:00 午前,25.137,,,,
267,11/24/21 10:00:00 午前,25.113,,,,
268,11/24/21 11:00:00 午前,25.162,,,,
269,11/24/21 12:00:00 午後,25.137,,,,
270,11/24/21 01:00:00 午後,25.016,,,,
271,11/24/21 02:00:00 午後,25.137,,,,
272,11/24/21 03:00:00 午後,25.137,,,,
273,11/24/21 04:00:00 午後,24.774,,,,
274,11/24/21 05:00:00 午後,25.016,,,,
275,11/24/21 06:00:00 午後,24.847,,,,
276,11/24/21 07:00:00 午後,24.895,,,,
277,11/24/21 08:00:00 午後,24.847,,,,
278,11/24/21 09:00:00 午後,24.823,,,,
279,11/24/21 10:00:00 午後,24.557,,,,
280,11/24/21 11:00:00 午後,24.557,,,,
281,11/25/21 12:00:00 午前,24.508,,,,
282,11/25/21 01:00:00 午前,24.508,,,,
283,11/25/21 02:00:00 午前,24.484,,,,
284,11/25/21 03:00:00 午前,24.484,,,,
285,11/25/21 04:00:00 午前,24.436,,,,
286,11/25/21 05:00:00 午前,24.363,,,,
287,11/25/21 06:00:00 午前,24.219,,,,
288,11/25/21 07:00:00 午前,24.243,,,,
289,11/25/21 08:00:00 午前,24.267,,,,
290,11/25/21 09:00:00 午前,24.291,,,,
291,11/25/21 10:00:00 午前,24.219,,,,
292,11/25/21 11:00:00 午前,24.122,,,,
293,11/25/21 12:00:00 午後,24.219,,,,
294,11/25/21 01:00:00 午後,24.243,,,,
295,11/25/21 02:00:00 午後,24.267,,,,
296,11/25/21 03:00:00 午後,24.339,,,,
297,11/25/21 04:00:00 午後,24.508,,,,
298,11/25/21 05:00:00 午後,25.113,,,,
299,11/25/21 06:00:00 午後,25.234,,,,
300,11/25/21 07:00:00 午後,25.234,,,,
301,11/25/21 08:00:00 午後,25.04,,,,
302,11/25/21 09:00:00 午後,25.234,,,,
303,11/25/21 10:00:00 午後,24.919,,,,
304,11/25/21 11:00:00 午後,24.581,,,,
305,11/26/21 12:00:00 午前,24.388,,,,
306,11/26/21 01:00:00 午前,24.363,,,,
307,11/26/21 02:00:00 午前,24.557,,,,
308,11/26/21 03:00:00 午前,24.508,,,,
309,11/26/21 04:00:00 午前,24.363,,,,
310,11/26/21 05:00:00 午前,24.46,,,,
311,11/26/21 06:00:00 午前,24.363,,,,
312,11/26/21 07:00:00 午前,24.436,,,,
313,11/26/21 08:00:00 午前,24.412,,,,
314,11/26/21 09:00:00 午前,24.315,,,,
315,11/26/21 10:00:00 午前,24.243,,,,
316,11/26/21 11:00:00 午前,24.122,,,,
317,11/26/21 12:00:00 午後,24.195,,,,
318,11/26/21 01:00:00 午後,24.363,,,,
319,11/26/21 02:00:00 午後,24.291,,,,
320,11/26/21 03:00:00 午後,24.171,,,,
321,11/26/21 04:00:00 午後,24.146,,,,
322,11/26/21 05:00:00 午後,24.219,,,,
323,11/26/21 06:00:00 午後,24.508,,,,
324,11/26/21 07:00:00 午後,24.726,,,,
325,11/26/21 08:00:00 午後,24.774,,,,
326,11/26/21 09:00:00 午後,24.895,,,,
327,11/26/21 10:00:00 午後,24.726,,,,
328,11/26/21 11:00:00 午後,24.363,,,,
329,11/27/21 12:00:00 午前,24.219,,,,
330,11/27/21 01:00:00 午前,24.581,,,,
331,11/27/21 02:00:00 午前,24.122,,,,
332,11/27/21 03:00:00 午前,24.532,,,,
333,11/27/21 04:00:00 午前,24.436,,,,
334,11/27/21 05:00:00 午前,24.46,,,,
335,11/27/21 06:00:00 午前,24.339,,,,
336,11/27/21 07:00:00 午前,24.267,,,,
337,11/27/21 08:00:00 午前,24.171,,,,
338,11/27/21 09:00:00 午前,24.074,,,,
339,11/27/21 10:00:00 午前,24.171,,,,
340,11/27/21 11:00:00 午前,23.905,,,,
341,11/27/21 12:00:00 午後,24.026,,,,
342,11/27/21 01:00:00 午後,24.05,,,,
343,11/27/21 02:00:00 午後,24.05,,,,
344,11/27/21 03:00:00 午後,23.905,,,,
345,11/27/21 04:00:00 午後,24.171,,,,
346,11/27/21 05:00:00 午後,24.026,,,,
347,11/27/21 06:00:00 午後,24.75,,,,
348,11/27/21 07:00:00 午後,24.919,,,,
349,11/27/21 08:00:00 午後,24.847,,,,
350,11/27/21 09:00:00 午後,24.798,,,,
351,11/27/21 10:00:00 午後,24.605,,,,
352,11/27/21 11:00:00 午後,24.532,,,,
353,11/28/21 12:00:00 午前,24.46,,,,
354,11/28/21 01:00:00 午前,24.363,,,,
355,11/28/21 02:00:00 午前,24.243,,,,
356,11/28/21 03:00:00 午前,24.171,,,,
357,11/28/21 04:00:00 午前,24.267,,,,
358,11/28/21 05:00:00 午前,24.823,,,,
359,11/28/21 06:00:00 午前,24.847,,,,
360,11/28/21 07:00:00 午前,24.702,,,,
361,11/28/21 08:00:00 午前,24.46,,,,
362,11/28/21 09:00:00 午前,24.605,,,,
363,11/28/21 10:00:00 午前,24.557,,,,
364,11/28/21 11:00:00 午前,24.122,,,,
365,11/28/21 12:00:00 午後,23.689,,,,
366,11/28/21 01:00:00 午後,23.978,,,,
367,11/28/21 02:00:00 午後,24.05,,,,
368,11/28/21 03:00:00 午後,24.002,,,,
369,11/28/21 04:00:00 午後,24.074,,,,
370,11/28/21 05:00:00 午後,24.074,,,,
371,11/28/21 06:00:00 午後,23.978,,,,
372,11/28/21 07:00:00 午後,24.315,,,,
373,11/28/21 08:00:00 午後,24.557,,,,
374,11/28/21 09:00:00 午後,24.605,,,,
375,11/28/21 10:00:00 午後,24.315,,,,
376,11/28/21 11:00:00 午後,24.629,,,,
377,11/29/21 12:00:00 午前,24.436,,,,
378,11/29/21 01:00:00 午前,23.954,,,,
379,11/29/21 02:00:00 午前,23.641,,,,
380,11/29/21 03:00:00 午前,23.857,,,,
381,11/29/21 04:00:00 午前,23.954,,,,
382,11/29/21 05:00:00 午前,23.857,,,,
383,11/29/21 06:00:00 午前,23.833,,,,
384,11/29/21 07:00:00 午前,24.146,,,,
385,11/29/21 08:00:00 午前,23.857,,,,
386,11/29/21 09:00:00 午前,23.978,,,,
387,11/29/21 10:00:00 午前,23.905,,,,
388,11/29/21 11:00:00 午前,23.809,,,,
389,11/29/21 12:00:00 午後,23.713,,,,
390,11/29/21 01:00:00 午後,23.641,,,,
391,11/29/21 02:00:00 午後,23.857,,,,
392,11/29/21 03:00:00 午後,24.026,,,,
393,11/29/21 04:00:00 午後,24.002,,,,
394,11/29/21 05:00:00 午後,23.665,,,,
395,11/29/21 06:00:00 午後,23.689,,,,
396,11/29/21 07:00:00 午後,23.737,,,,
397,11/29/21 08:00:00 午後,23.833,,,,
398,11/29/21 09:00:00 午後,24.074,,,,
399,11/29/21 10:00:00 午後,24.895,,,,
400,11/29/21 11:00:00 午後,25.089,,,,
401,11/30/21 12:00:00 午前,24.774,,,,
402,11/30/21 01:00:00 午前,24.944,,,,
403,11/30/21 02:00:00 午前,24.605,,,,
404,11/30/21 03:00:00 午前,24.122,,,,
405,11/30/21 04:00:00 午前,24.002,,,,
406,11/30/21 05:00:00 午前,23.93,,,,
407,11/30/21 06:00:00 午前,24.074,,,,
408,11/30/21 07:00:00 午前,24.074,,,,
409,11/30/21 08:00:00 午前,24.219,,,,
410,11/30/21 09:00:00 午前,24.581,,,,
411,11/30/21 10:00:00 午前,24.871,,,,
412,11/30/21 11:00:00 午前,25.016,,,,
413,11/30/21 12:00:00 午後,24.847,,,,
414,11/30/21 01:00:00 午後,24.653,,,,
415,11/30/21 02:00:00 午後,24.363,,,,
416,11/30/21 03:00:00 午後,24.195,,,,
417,11/30/21 04:00:00 午後,24.243,,,,
418,11/30/21 05:00:00 午後,24.605,,,,
419,11/30/21 06:00:00 午後,25.089,,,,
420,11/30/21 07:00:00 午後,25.914,,,,
421,11/30/21 08:00:00 午後,25.866,,,,
422,11/30/21 09:00:00 午後,25.768,,,,
423,11/30/21 10:00:00 午後,25.671,,,,
424,11/30/21 11:00:00 午後,25.525,,,,
425,12/01/21 12:00:00 午前,25.404,,,,
426,12/01/21 01:00:00 午前,25.307,,,,
427,12/01/21 02:00:00 午前,25.38,,,,
428,12/01/21 03:00:00 午前,25.525,,,,
429,12/01/21 04:00:00 午前,25.623,,,,
430,12/01/21 05:00:00 午前,25.671,,,,
431,12/01/21 06:00:00 午前,25.695,,,,
432,12/01/21 07:00:00 午前,25.647,,,,
433,12/01/21 08:00:00 午前,25.623,,,,
434,12/01/21 09:00:00 午前,25.574,,,,
435,12/01/21 10:00:00 午前,25.525,,,,
436,12/01/21 11:00:00 午前,25.428,,,,
437,12/01/21 12:00:00 午後,25.428,,,,
438,12/01/21 01:00:00 午後,25.404,,,,
439,12/01/21 02:00:00 午後,25.355,,,,
440,12/01/21 03:00:00 午後,25.574,,,,
441,12/01/21 04:00:00 午後,25.623,,,,
442,12/01/21 05:00:00 午後,25.647,,,,
443,12/01/21 06:00:00 午後,25.623,,,,
444,12/01/21 07:00:00 午後,25.598,,,,
445,12/01/21 08:00:00 午後,25.574,,,,
446,12/01/21 09:00:00 午後,25.525,,,,
447,12/01/21 10:00:00 午後,25.428,,,,
448,12/01/21 11:00:00 午後,25.283,,,,
449,12/02/21 12:00:00 午前,25.137,,,,
450,12/02/21 01:00:00 午前,25.016,,,,
451,12/02/21 02:00:00 午前,24.895,,,,
452,12/02/21 03:00:00 午前,24.798,,,,
453,12/02/21 04:00:00 午前,24.726,,,,
454,12/02/21 05:00:00 午前,24.412,,,,
455,12/02/21 06:00:00 午前,24.992,,,,
456,12/02/21 07:00:00 午前,25.307,,,,
457,12/02/21 08:00:00 午前,25.404,,,,
458,12/02/21 09:00:00 午前,25.428,,,,
459,12/02/21 10:00:00 午前,25.428,,,,
460,12/02/21 11:00:00 午前,25.453,,,,
461,12/02/21 12:00:00 午後,25.477,,,,
462,12/02/21 01:00:00 午後,25.525,,,,
463,12/02/21 02:00:00 午後,25.428,,,,
464,12/02/21 03:00:00 午後,25.355,,,,
465,12/02/21 04:00:00 午後,25.234,,,,
466,12/02/21 05:00:00 午後,25.137,,,,
467,12/02/21 06:00:00 午後,25.113,,,,
468,12/02/21 07:00:00 午後,24.992,,,,
469,12/02/21 08:00:00 午後,25.065,,,,
470,12/02/21 09:00:00 午後,24.992,,,,
471,12/02/21 10:00:00 午後,25.016,,,,
472,12/02/21 11:00:00 午後,24.992,,,,
473,12/03/21 12:00:00 午前,24.871,,,,
474,12/03/21 01:00:00 午前,24.605,,,,
475,12/03/21 02:00:00 午前,24.484,,,,
476,12/03/21 03:00:00 午前,24.532,,,,
477,12/03/21 04:00:00 午前,24.484,,,,
478,12/03/21 05:00:00 午前,24.436,,,,
479,12/03/21 06:00:00 午前,24.291,,,,
480,12/03/21 07:00:00 午前,23.905,,,,
481,12/03/21 08:00:00 午前,23.881,,,,
482,12/03/21 09:00:00 午前,24.074,,,,
483,12/03/21 10:00:00 午前,23.954,,,,
484,12/03/21 11:00:00 午前,24.677,,,,
485,12/03/21 12:00:00 午後,24.968,,,,
486,12/03/21 01:00:00 午後,24.968,,,,
487,12/03/21 02:00:00 午後,24.944,,,,
488,12/03/21 03:00:00 午後,24.871,,,,
489,12/03/21 04:00:00 午後,24.581,,,,
490,12/03/21 05:00:00 午後,24.339,,,,
491,12/03/21 06:00:00 午後,23.641,,,,
492,12/03/21 07:00:00 午後,23.617,,,,
493,12/03/21 08:00:00 午後,23.448,,,,
494,12/03/21 09:00:00 午後,23.641,,,,
495,12/03/21 10:00:00 午後,23.954,,,,
496,12/03/21 11:00:00 午後,24.074,,,,
497,12/04/21 12:00:00 午前,23.833,,,,
498,12/04/21 01:00:00 午前,23.689,,,,
499,12/04/21 02:00:00 午前,23.448,,,,
500,12/04/21 03:00:00 午前,23.4,,,,
501,12/04/21 04:00:00 午前,23.4,,,,
502,12/04/21 05:00:00 午前,23.28,,,,
503,12/04/21 06:00:00 午前,22.992,,,,
504,12/04/21 07:00:00 午前,22.705,,,,
505,12/04/21 08:00:00 午前,22.609,,,,
506,12/04/21 09:00:00 午前,22.776,,,,
507,12/04/21 10:00:00 午前,22.92,,,,
508,12/04/21 11:00:00 午前,23.641,,,,
509,12/04/21 12:00:00 午後,24.75,,,,
510,12/04/21 01:00:00 午後,24.823,,,,
511,12/04/21 02:00:00 午後,24.871,,,,
512,12/04/21 03:00:00 午後,24.895,,,,
513,12/04/21 04:00:00 午後,24.605,,,,
514,12/04/21 05:00:00 午後,24.363,,,,
515,12/04/21 06:00:00 午後,23.905,,,,
516,12/04/21 07:00:00 午後,23.448,,,,
517,12/04/21 08:00:00 午後,23.064,,,,
518,12/04/21 09:00:00 午後,23.016,,,,
519,12/04/21 10:00:00 午後,23.184,,,,
520,12/04/21 11:00:00 午後,23.472,,,,
521,12/05/21 12:00:00 午前,23.593,,,,
522,12/05/21 01:00:00 午前,23.809,,,,
523,12/05/21 02:00:00 午前,23.761,,,,
524,12/05/21 03:00:00 午前,23.016,,,,
525,12/05/21 04:00:00 午前,23.208,,,,
526,12/05/21 05:00:00 午前,23.064,,,,
527,12/05/21 06:00:00 午前,22.896,,,,
528,12/05/21 07:00:00 午前,22.633,,,,
529,12/05/21 08:00:00 午前,22.872,,,,
530,12/05/21 09:00:00 午前,22.8,,,,
531,12/05/21 10:00:00 午前,22.896,,,,
532,12/05/21 11:00:00 午前,22.705,,,,
533,12/05/21 12:00:00 午後,22.944,,,,
534,12/05/21 01:00:00 午後,24.46,,,,
535,12/05/21 02:00:00 午後,25.016,,,,
536,12/05/21 03:00:00 午後,25.137,,,,
537,12/05/21 04:00:00 午後,24.75,,,,
538,12/05/21 05:00:00 午後,24.726,,,,
539,12/05/21 06:00:00 午後,23.881,,,,
540,12/05/21 07:00:00 午後,23.16,,,,
541,12/05/21 08:00:00 午後,23.28,,,,
542,12/05/21 09:00:00 午後,23.521,,,,
543,12/05/21 10:00:00 午後,23.713,,,,
544,12/05/21 11:00:00 午後,23.521,,,,
545,12/06/21 12:00:00 午前,23.208,,,,
546,12/06/21 01:00:00 午前,22.92,,,,
547,12/06/21 02:00:00 午前,22.681,,,,
