プロット タイトル: 一湊 site01_spot005(-25)_2023,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011409, SEN S/N: 21011409)",カプラー取り外し (LGR S/N: 21011409),カプラー取り付け (LGR S/N: 21011409),停止済み (LGR S/N: 21011409),ファイルの終わり (LGR S/N: 21011409)
179,01/19/23 01:00:00 午前,22.417,,,,
180,01/19/23 02:00:00 午前,22.369,,,,
181,01/19/23 03:00:00 午前,22.321,,,,
182,01/19/23 04:00:00 午前,22.393,,,,
183,01/19/23 05:00:00 午前,22.369,,,,
184,01/19/23 06:00:00 午前,22.393,,,,
185,01/19/23 07:00:00 午前,22.369,,,,
186,01/19/23 08:00:00 午前,22.321,,,,
187,01/19/23 09:00:00 午前,22.345,,,,
188,01/19/23 10:00:00 午前,22.345,,,,
189,01/19/23 11:00:00 午前,22.369,,,,
190,01/19/23 12:00:00 午後,22.345,,,,
191,01/19/23 01:00:00 午後,22.369,,,,
192,01/19/23 02:00:00 午後,22.369,,,,
193,01/19/23 03:00:00 午後,22.369,,,,
194,01/19/23 04:00:00 午後,22.345,,,,
195,01/19/23 05:00:00 午後,22.345,,,,
196,01/19/23 06:00:00 午後,22.369,,,,
197,01/19/23 07:00:00 午後,22.393,,,,
198,01/19/23 08:00:00 午後,22.393,,,,
199,01/19/23 09:00:00 午後,22.369,,,,
200,01/19/23 10:00:00 午後,22.393,,,,
201,01/19/23 11:00:00 午後,22.393,,,,
202,01/20/23 12:00:00 午前,22.369,,,,
203,01/20/23 01:00:00 午前,22.369,,,,
204,01/20/23 02:00:00 午前,22.393,,,,
205,01/20/23 03:00:00 午前,22.345,,,,
206,01/20/23 04:00:00 午前,22.417,,,,
207,01/20/23 05:00:00 午前,22.441,,,,
208,01/20/23 06:00:00 午前,22.489,,,,
209,01/20/23 07:00:00 午前,22.537,,,,
210,01/20/23 08:00:00 午前,22.345,,,,
211,01/20/23 09:00:00 午前,22.345,,,,
212,01/20/23 10:00:00 午前,22.393,,,,
213,01/20/23 11:00:00 午前,22.369,,,,
214,01/20/23 12:00:00 午後,22.441,,,,
215,01/20/23 01:00:00 午後,22.441,,,,
216,01/20/23 02:00:00 午後,22.465,,,,
217,01/20/23 03:00:00 午後,22.489,,,,
218,01/20/23 04:00:00 午後,22.489,,,,
219,01/20/23 05:00:00 午後,22.489,,,,
220,01/20/23 06:00:00 午後,22.417,,,,
221,01/20/23 07:00:00 午後,22.417,,,,
222,01/20/23 08:00:00 午後,22.417,,,,
223,01/20/23 09:00:00 午後,22.321,,,,
224,01/20/23 10:00:00 午後,22.369,,,,
225,01/20/23 11:00:00 午後,22.465,,,,
226,01/21/23 12:00:00 午前,22.465,,,,
227,01/21/23 01:00:00 午前,22.441,,,,
228,01/21/23 02:00:00 午前,22.441,,,,
229,01/21/23 03:00:00 午前,22.489,,,,
230,01/21/23 04:00:00 午前,22.441,,,,
231,01/21/23 05:00:00 午前,22.489,,,,
232,01/21/23 06:00:00 午前,22.489,,,,
233,01/21/23 07:00:00 午前,22.489,,,,
234,01/21/23 08:00:00 午前,22.489,,,,
235,01/21/23 09:00:00 午前,22.489,,,,
236,01/21/23 10:00:00 午前,22.345,,,,
237,01/21/23 11:00:00 午前,22.321,,,,
238,01/21/23 12:00:00 午後,22.321,,,,
239,01/21/23 01:00:00 午後,22.417,,,,
240,01/21/23 02:00:00 午後,22.441,,,,
241,01/21/23 03:00:00 午後,22.393,,,,
242,01/21/23 04:00:00 午後,22.393,,,,
243,01/21/23 05:00:00 午後,22.369,,,,
244,01/21/23 06:00:00 午後,22.441,,,,
245,01/21/23 07:00:00 午後,22.441,,,,
246,01/21/23 08:00:00 午後,22.393,,,,
247,01/21/23 09:00:00 午後,22.417,,,,
248,01/21/23 10:00:00 午後,22.465,,,,
249,01/21/23 11:00:00 午後,22.441,,,,
250,01/22/23 12:00:00 午前,22.417,,,,
251,01/22/23 01:00:00 午前,22.393,,,,
252,01/22/23 02:00:00 午前,22.298,,,,
253,01/22/23 03:00:00 午前,22.393,,,,
254,01/22/23 04:00:00 午前,22.441,,,,
255,01/22/23 05:00:00 午前,22.537,,,,
256,01/22/23 06:00:00 午前,22.489,,,,
257,01/22/23 07:00:00 午前,22.465,,,,
258,01/22/23 08:00:00 午前,22.465,,,,
259,01/22/23 09:00:00 午前,22.489,,,,
260,01/22/23 10:00:00 午前,22.465,,,,
261,01/22/23 11:00:00 午前,22.489,,,,
262,01/22/23 12:00:00 午後,22.489,,,,
263,01/22/23 01:00:00 午後,22.489,,,,
264,01/22/23 02:00:00 午後,22.489,,,,
265,01/22/23 03:00:00 午後,22.465,,,,
266,01/22/23 04:00:00 午後,22.489,,,,
267,01/22/23 05:00:00 午後,22.489,,,,
268,01/22/23 06:00:00 午後,22.513,,,,
269,01/22/23 07:00:00 午後,22.513,,,,
270,01/22/23 08:00:00 午後,22.513,,,,
271,01/22/23 09:00:00 午後,22.441,,,,
272,01/22/23 10:00:00 午後,22.417,,,,
273,01/22/23 11:00:00 午後,22.369,,,,
274,01/23/23 12:00:00 午前,22.321,,,,
275,01/23/23 01:00:00 午前,22.321,,,,
276,01/23/23 02:00:00 午前,22.417,,,,
277,01/23/23 03:00:00 午前,22.441,,,,
278,01/23/23 04:00:00 午前,22.441,,,,
279,01/23/23 05:00:00 午前,22.441,,,,
280,01/23/23 06:00:00 午前,22.441,,,,
281,01/23/23 07:00:00 午前,22.441,,,,
282,01/23/23 08:00:00 午前,22.441,,,,
283,01/23/23 09:00:00 午前,22.441,,,,
284,01/23/23 10:00:00 午前,22.441,,,,
285,01/23/23 11:00:00 午前,22.441,,,,
286,01/23/23 12:00:00 午後,22.417,,,,
287,01/23/23 01:00:00 午後,22.417,,,,
288,01/23/23 02:00:00 午後,22.417,,,,
289,01/23/23 03:00:00 午後,22.441,,,,
290,01/23/23 04:00:00 午後,22.393,,,,
291,01/23/23 05:00:00 午後,22.393,,,,
292,01/23/23 06:00:00 午後,22.369,,,,
293,01/23/23 07:00:00 午後,22.369,,,,
294,01/23/23 08:00:00 午後,22.369,,,,
295,01/23/23 09:00:00 午後,22.369,,,,
296,01/23/23 10:00:00 午後,22.345,,,,
297,01/23/23 11:00:00 午後,22.345,,,,
298,01/24/23 12:00:00 午前,22.345,,,,
299,01/24/23 01:00:00 午前,22.321,,,,
300,01/24/23 02:00:00 午前,22.298,,,,
301,01/24/23 03:00:00 午前,22.298,,,,
302,01/24/23 04:00:00 午前,22.298,,,,
303,01/24/23 05:00:00 午前,22.226,,,,
304,01/24/23 06:00:00 午前,22.202,,,,
305,01/24/23 07:00:00 午前,22.25,,,,
306,01/24/23 08:00:00 午前,22.202,,,,
307,01/24/23 09:00:00 午前,22.178,,,,
308,01/24/23 10:00:00 午前,22.13,,,,
309,01/24/23 11:00:00 午前,22.082,,,,
310,01/24/23 12:00:00 午後,22.034,,,,
311,01/24/23 01:00:00 午後,21.963,,,,
312,01/24/23 02:00:00 午後,21.915,,,,
313,01/24/23 03:00:00 午後,21.963,,,,
314,01/24/23 04:00:00 午後,21.963,,,,
315,01/24/23 05:00:00 午後,21.963,,,,
316,01/24/23 06:00:00 午後,21.939,,,,
317,01/24/23 07:00:00 午後,21.915,,,,
318,01/24/23 08:00:00 午後,21.915,,,,
319,01/24/23 09:00:00 午後,21.867,,,,
320,01/24/23 10:00:00 午後,21.724,,,,
321,01/24/23 11:00:00 午後,21.819,,,,
322,01/25/23 12:00:00 午前,21.843,,,,
323,01/25/23 01:00:00 午前,21.867,,,,
324,01/25/23 02:00:00 午前,21.867,,,,
325,01/25/23 03:00:00 午前,21.843,,,,
326,01/25/23 04:00:00 午前,21.843,,,,
327,01/25/23 05:00:00 午前,21.795,,,,
328,01/25/23 06:00:00 午前,21.795,,,,
329,01/25/23 07:00:00 午前,21.867,,,,
330,01/25/23 08:00:00 午前,21.891,,,,
331,01/25/23 09:00:00 午前,21.891,,,,
332,01/25/23 10:00:00 午前,21.891,,,,
333,01/25/23 11:00:00 午前,21.604,,,,
334,01/25/23 12:00:00 午後,21.533,,,,
335,01/25/23 01:00:00 午後,21.151,,,,
336,01/25/23 02:00:00 午後,21.27,,,,
337,01/25/23 03:00:00 午後,21.246,,,,
338,01/25/23 04:00:00 午後,21.079,,,,
339,01/25/23 05:00:00 午後,21.27,,,,
340,01/25/23 06:00:00 午後,21.437,,,,
341,01/25/23 07:00:00 午後,21.39,,,,
342,01/25/23 08:00:00 午後,21.628,,,,
343,01/25/23 09:00:00 午後,21.795,,,,
344,01/25/23 10:00:00 午後,21.795,,,,
345,01/25/23 11:00:00 午後,21.843,,,,
346,01/26/23 12:00:00 午前,21.867,,,,
347,01/26/23 01:00:00 午前,21.867,,,,
348,01/26/23 02:00:00 午前,21.795,,,,
349,01/26/23 03:00:00 午前,21.891,,,,
350,01/26/23 04:00:00 午前,21.939,,,,
351,01/26/23 05:00:00 午前,21.772,,,,
352,01/26/23 06:00:00 午前,21.676,,,,
353,01/26/23 07:00:00 午前,21.795,,,,
354,01/26/23 08:00:00 午前,21.867,,,,
355,01/26/23 09:00:00 午前,21.867,,,,
356,01/26/23 10:00:00 午前,21.819,,,,
357,01/26/23 11:00:00 午前,21.891,,,,
358,01/26/23 12:00:00 午後,21.939,,,,
359,01/26/23 01:00:00 午後,22.011,,,,
360,01/26/23 02:00:00 午後,22.011,,,,
361,01/26/23 03:00:00 午後,22.034,,,,
362,01/26/23 04:00:00 午後,22.034,,,,
363,01/26/23 05:00:00 午後,22.034,,,,
364,01/26/23 06:00:00 午後,22.011,,,,
365,01/26/23 07:00:00 午後,22.011,,,,
366,01/26/23 08:00:00 午後,22.106,,,,
367,01/26/23 09:00:00 午後,22.13,,,,
368,01/26/23 10:00:00 午後,22.106,,,,
369,01/26/23 11:00:00 午後,22.058,,,,
370,01/27/23 12:00:00 午前,22.058,,,,
371,01/27/23 01:00:00 午前,22.058,,,,
372,01/27/23 02:00:00 午前,22.058,,,,
373,01/27/23 03:00:00 午前,22.011,,,,
374,01/27/23 04:00:00 午前,22.011,,,,
375,01/27/23 05:00:00 午前,22.034,,,,
376,01/27/23 06:00:00 午前,21.987,,,,
377,01/27/23 07:00:00 午前,21.963,,,,
378,01/27/23 08:00:00 午前,21.915,,,,
379,01/27/23 09:00:00 午前,21.867,,,,
380,01/27/23 10:00:00 午前,21.867,,,,
381,01/27/23 11:00:00 午前,21.867,,,,
382,01/27/23 12:00:00 午後,21.819,,,,
383,01/27/23 01:00:00 午後,21.748,,,,
384,01/27/23 02:00:00 午後,21.676,,,,
385,01/27/23 03:00:00 午後,21.628,,,,
386,01/27/23 04:00:00 午後,21.676,,,,
387,01/27/23 05:00:00 午後,21.676,,,,
388,01/27/23 06:00:00 午後,21.7,,,,
389,01/27/23 07:00:00 午後,21.772,,,,
390,01/27/23 08:00:00 午後,21.748,,,,
391,01/27/23 09:00:00 午後,21.7,,,,
392,01/27/23 10:00:00 午後,21.724,,,,
393,01/27/23 11:00:00 午後,21.7,,,,
394,01/28/23 12:00:00 午前,21.724,,,,
395,01/28/23 01:00:00 午前,21.724,,,,
396,01/28/23 02:00:00 午前,21.676,,,,
397,01/28/23 03:00:00 午前,21.676,,,,
398,01/28/23 04:00:00 午前,21.604,,,,
399,01/28/23 05:00:00 午前,21.581,,,,
400,01/28/23 06:00:00 午前,21.652,,,,
401,01/28/23 07:00:00 午前,21.676,,,,
402,01/28/23 08:00:00 午前,21.7,,,,
403,01/28/23 09:00:00 午前,21.676,,,,
404,01/28/23 10:00:00 午前,21.676,,,,
405,01/28/23 11:00:00 午前,21.772,,,,
406,01/28/23 12:00:00 午後,21.772,,,,
407,01/28/23 01:00:00 午後,21.795,,,,
408,01/28/23 02:00:00 午後,21.772,,,,
409,01/28/23 03:00:00 午後,21.772,,,,
410,01/28/23 04:00:00 午後,21.748,,,,
411,01/28/23 05:00:00 午後,21.7,,,,
412,01/28/23 06:00:00 午後,21.676,,,,
413,01/28/23 07:00:00 午後,21.604,,,,
414,01/28/23 08:00:00 午後,21.628,,,,
415,01/28/23 09:00:00 午後,21.652,,,,
416,01/28/23 10:00:00 午後,21.724,,,,
417,01/28/23 11:00:00 午後,21.748,,,,
418,01/29/23 12:00:00 午前,21.724,,,,
419,01/29/23 01:00:00 午前,21.652,,,,
420,01/29/23 02:00:00 午前,21.676,,,,
421,01/29/23 03:00:00 午前,21.724,,,,
422,01/29/23 04:00:00 午前,21.652,,,,
423,01/29/23 05:00:00 午前,21.652,,,,
424,01/29/23 06:00:00 午前,21.676,,,,
425,01/29/23 07:00:00 午前,21.7,,,,
426,01/29/23 08:00:00 午前,21.724,,,,
427,01/29/23 09:00:00 午前,21.7,,,,
428,01/29/23 10:00:00 午前,21.628,,,,
429,01/29/23 11:00:00 午前,21.581,,,,
430,01/29/23 12:00:00 午後,21.581,,,,
431,01/29/23 01:00:00 午後,21.628,,,,
432,01/29/23 02:00:00 午後,21.652,,,,
433,01/29/23 03:00:00 午後,21.557,,,,
434,01/29/23 04:00:00 午後,21.294,,,,
435,01/29/23 05:00:00 午後,21.39,,,,
436,01/29/23 06:00:00 午後,21.437,,,,
437,01/29/23 07:00:00 午後,21.39,,,,
438,01/29/23 08:00:00 午後,21.413,,,,
439,01/29/23 09:00:00 午後,21.39,,,,
440,01/29/23 10:00:00 午後,21.39,,,,
441,01/29/23 11:00:00 午後,21.485,,,,
442,01/30/23 12:00:00 午前,21.366,,,,
443,01/30/23 01:00:00 午前,21.366,,,,
444,01/30/23 02:00:00 午前,21.342,,,,
445,01/30/23 03:00:00 午前,21.413,,,,
446,01/30/23 04:00:00 午前,21.39,,,,
447,01/30/23 05:00:00 午前,21.342,,,,
448,01/30/23 06:00:00 午前,21.342,,,,
449,01/30/23 07:00:00 午前,21.342,,,,
450,01/30/23 08:00:00 午前,21.342,,,,
451,01/30/23 09:00:00 午前,21.342,,,,
452,01/30/23 10:00:00 午前,21.318,,,,
453,01/30/23 11:00:00 午前,21.318,,,,
454,01/30/23 12:00:00 午後,21.27,,,,
455,01/30/23 01:00:00 午後,21.318,,,,
456,01/30/23 02:00:00 午後,21.294,,,,
457,01/30/23 03:00:00 午後,21.294,,,,
458,01/30/23 04:00:00 午後,21.27,,,,
459,01/30/23 05:00:00 午後,21.294,,,,
460,01/30/23 06:00:00 午後,21.27,,,,
461,01/30/23 07:00:00 午後,21.175,,,,
462,01/30/23 08:00:00 午後,21.223,,,,
463,01/30/23 09:00:00 午後,21.151,,,,
464,01/30/23 10:00:00 午後,21.223,,,,
465,01/30/23 11:00:00 午後,21.27,,,,
466,01/31/23 12:00:00 午前,21.366,,,,
467,01/31/23 01:00:00 午前,21.437,,,,
468,01/31/23 02:00:00 午前,21.509,,,,
469,01/31/23 03:00:00 午前,21.533,,,,
470,01/31/23 04:00:00 午前,21.581,,,,
471,01/31/23 05:00:00 午前,21.557,,,,
472,01/31/23 06:00:00 午前,21.533,,,,
473,01/31/23 07:00:00 午前,21.533,,,,
474,01/31/23 08:00:00 午前,21.557,,,,
475,01/31/23 09:00:00 午前,21.39,,,,
476,01/31/23 10:00:00 午前,21.39,,,,
477,01/31/23 11:00:00 午前,21.437,,,,
478,01/31/23 12:00:00 午後,21.437,,,,
479,01/31/23 01:00:00 午後,21.509,,,,
480,01/31/23 02:00:00 午後,21.533,,,,
481,01/31/23 03:00:00 午後,21.557,,,,
482,01/31/23 04:00:00 午後,21.533,,,,
483,01/31/23 05:00:00 午後,21.533,,,,
484,01/31/23 06:00:00 午後,21.557,,,,
485,01/31/23 07:00:00 午後,21.533,,,,
486,01/31/23 08:00:00 午後,21.509,,,,
487,01/31/23 09:00:00 午後,21.533,,,,
488,01/31/23 10:00:00 午後,21.533,,,,
489,01/31/23 11:00:00 午後,21.533,,,,
490,02/01/23 12:00:00 午前,21.557,,,,
491,02/01/23 01:00:00 午前,21.509,,,,
492,02/01/23 02:00:00 午前,21.533,,,,
493,02/01/23 03:00:00 午前,21.533,,,,
494,02/01/23 04:00:00 午前,21.533,,,,
495,02/01/23 05:00:00 午前,21.533,,,,
496,02/01/23 06:00:00 午前,21.533,,,,
497,02/01/23 07:00:00 午前,21.533,,,,
498,02/01/23 08:00:00 午前,21.533,,,,
499,02/01/23 09:00:00 午前,21.509,,,,
500,02/01/23 10:00:00 午前,21.509,,,,
501,02/01/23 11:00:00 午前,21.485,,,,
502,02/01/23 12:00:00 午後,21.485,,,,
503,02/01/23 01:00:00 午後,21.461,,,,
504,02/01/23 02:00:00 午後,21.461,,,,
505,02/01/23 03:00:00 午後,21.485,,,,
506,02/01/23 04:00:00 午後,21.509,,,,
507,02/01/23 05:00:00 午後,21.533,,,,
508,02/01/23 06:00:00 午後,21.533,,,,
509,02/01/23 07:00:00 午後,21.294,,,,
510,02/01/23 08:00:00 午後,21.294,,,,
511,02/01/23 09:00:00 午後,21.39,,,,
512,02/01/23 10:00:00 午後,21.39,,,,
513,02/01/23 11:00:00 午後,21.413,,,,
514,02/02/23 12:00:00 午前,21.413,,,,
515,02/02/23 01:00:00 午前,21.437,,,,
516,02/02/23 02:00:00 午前,21.413,,,,
517,02/02/23 03:00:00 午前,21.413,,,,
518,02/02/23 04:00:00 午前,21.39,,,,
519,02/02/23 05:00:00 午前,21.413,,,,
520,02/02/23 06:00:00 午前,21.413,,,,
521,02/02/23 07:00:00 午前,21.413,,,,
522,02/02/23 08:00:00 午前,21.39,,,,
523,02/02/23 09:00:00 午前,21.39,,,,
524,02/02/23 10:00:00 午前,21.39,,,,
525,02/02/23 11:00:00 午前,21.413,,,,
526,02/02/23 12:00:00 午後,21.413,,,,
527,02/02/23 01:00:00 午後,21.413,,,,
528,02/02/23 02:00:00 午後,21.413,,,,
529,02/02/23 03:00:00 午後,21.413,,,,
530,02/02/23 04:00:00 午後,21.413,,,,
531,02/02/23 05:00:00 午後,21.437,,,,
532,02/02/23 06:00:00 午後,21.413,,,,
533,02/02/23 07:00:00 午後,21.39,,,,
534,02/02/23 08:00:00 午後,21.413,,,,
535,02/02/23 09:00:00 午後,21.413,,,,
536,02/02/23 10:00:00 午後,21.413,,,,
537,02/02/23 11:00:00 午後,21.413,,,,
538,02/03/23 12:00:00 午前,21.39,,,,
539,02/03/23 01:00:00 午前,21.413,,,,
540,02/03/23 02:00:00 午前,21.461,,,,
541,02/03/23 03:00:00 午前,21.509,,,,
542,02/03/23 04:00:00 午前,21.509,,,,
543,02/03/23 05:00:00 午前,21.581,,,,
544,02/03/23 06:00:00 午前,21.652,,,,
545,02/03/23 07:00:00 午前,21.676,,,,
546,02/03/23 08:00:00 午前,21.724,,,,
