プロット タイトル: site12_spot040_2020,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054373, SEN S/N: 20054373)",カプラー取り外し (LGR S/N: 20054373),ファイルの終わり (LGR S/N: 20054373)
182,10/21/19 12:00:00 午後,27.014,,
183,10/21/19 12:00:00 午後,26.867,,
184,10/21/19 12:00:00 午後,26.818,,
185,10/21/19 12:00:00 午後,26.72,,
186,10/21/19 12:00:00 午後,26.378,,
187,10/21/19 12:00:00 午後,26.695,,
188,10/21/19 12:00:00 午後,26.72,,
189,10/21/19 12:00:00 午後,26.744,,
190,10/21/19 12:00:00 午後,26.793,,
191,10/21/19 12:00:00 午後,26.965,,
192,10/21/19 12:00:00 午後,26.916,,
193,10/21/19 12:00:00 午後,27.063,,
194,10/21/19 12:00:00 午後,27.235,,
195,10/21/19 12:00:00 午後,27.186,,
196,10/21/19 12:00:00 午後,27.112,,
197,10/21/19 12:00:00 午後,27.112,,
198,10/21/19 12:00:00 午後,26.842,,
199,10/21/19 12:00:00 午後,26.744,,
200,10/21/19 12:00:00 午後,26.72,,
201,10/21/19 12:00:00 午後,26.671,,
202,10/21/19 12:00:00 午後,26.622,,
203,10/21/19 12:00:00 午後,26.549,,
204,10/21/19 12:00:00 午後,26.451,,
205,10/21/19 12:00:00 午後,26.402,,
206,10/21/19 12:00:00 午後,26.231,,
207,10/21/19 12:00:00 午後,26.158,,
208,10/21/19 12:00:00 午後,25.987,,
209,10/21/19 12:00:00 午後,26.061,,
210,10/21/19 12:00:00 午後,26.012,,
211,10/21/19 12:00:00 午後,25.841,,
212,10/21/19 12:00:00 午後,26.378,,
213,10/21/19 12:00:00 午後,26.426,,
214,10/21/19 12:00:00 午後,26.402,,
215,10/21/19 12:00:00 午後,25.598,,
216,10/21/19 12:00:00 午後,25.574,,
217,10/21/19 12:00:00 午後,25.963,,
218,10/21/19 12:00:00 午後,26.451,,
219,10/21/19 12:00:00 午後,26.451,,
220,10/21/19 12:00:00 午後,26.426,,
221,10/21/19 12:00:00 午後,26.085,,
222,10/21/19 12:00:00 午後,26.451,,
223,10/21/19 12:00:00 午後,26.549,,
224,10/21/19 12:00:00 午後,26.549,,
225,10/21/19 12:00:00 午後,26.524,,
226,10/21/19 12:00:00 午後,26.329,,
227,10/21/19 12:00:00 午後,26.158,,
228,10/21/19 12:00:00 午後,26.134,,
229,10/21/19 12:00:00 午後,26.085,,
230,10/21/19 12:00:00 午後,26.012,,
231,10/21/19 12:00:00 午後,25.866,,
232,10/21/19 12:00:00 午後,25.768,,
233,10/21/19 12:00:00 午後,25.671,,
234,10/21/19 12:00:00 午後,25.647,,
235,10/21/19 12:00:00 午後,25.647,,
236,10/21/19 12:00:00 午後,25.987,,
237,10/21/19 12:00:00 午後,26.304,,
238,10/21/19 12:00:00 午後,26.378,,
239,10/21/19 12:00:00 午後,26.353,,
240,10/21/19 12:00:00 午後,26.182,,
241,10/21/19 12:00:00 午後,26.5,,
242,10/21/19 12:00:00 午後,26.549,,
243,10/21/19 12:00:00 午後,26.549,,
244,10/21/19 12:00:00 午後,26.646,,
245,10/21/19 12:00:00 午後,26.426,,
246,10/21/19 12:00:00 午後,26.744,,
247,10/21/19 12:00:00 午後,26.793,,
248,10/21/19 12:00:00 午後,26.524,,
249,10/21/19 12:00:00 午後,26.5,,
250,10/21/19 12:00:00 午後,26.475,,
251,10/21/19 12:00:00 午後,26.329,,
252,10/21/19 12:00:00 午後,26.207,,
253,10/21/19 12:00:00 午後,26.134,,
254,10/21/19 12:00:00 午後,26.085,,
255,10/21/19 12:00:00 午後,26.012,,
256,10/21/19 12:00:00 午後,25.914,,
257,10/21/19 12:00:00 午後,25.768,,
258,10/21/19 12:00:00 午後,25.72,,
259,10/21/19 12:00:00 午後,25.695,,
260,10/21/19 12:00:00 午後,25.453,,
261,10/21/19 12:00:00 午後,26.158,,
262,10/21/19 12:00:00 午後,26.475,,
263,10/21/19 12:00:00 午後,26.646,,
264,10/21/19 12:00:00 午後,26.744,,
265,10/21/19 12:00:00 午後,26.769,,
266,10/21/19 12:00:00 午後,27.087,,
267,10/21/19 12:00:00 午後,27.161,,
268,10/21/19 12:00:00 午後,27.014,,
269,10/21/19 12:00:00 午後,27.087,,
270,10/21/19 12:00:00 午後,26.965,,
271,10/21/19 12:00:00 午後,26.549,,
272,10/21/19 12:00:00 午後,26.475,,
273,10/21/19 12:00:00 午後,26.5,,
274,10/21/19 12:00:00 午後,26.5,,
275,10/21/19 12:00:00 午後,26.451,,
276,10/21/19 12:00:00 午後,26.353,,
277,10/21/19 12:00:00 午後,26.134,,
278,10/21/19 12:00:00 午後,25.987,,
279,10/21/19 12:00:00 午後,25.914,,
280,10/21/19 12:00:00 午後,25.841,,
281,10/21/19 12:00:00 午後,25.841,,
282,10/21/19 12:00:00 午後,25.817,,
283,10/21/19 12:00:00 午後,25.793,,
284,10/21/19 12:00:00 午後,25.55,,
285,10/21/19 12:00:00 午後,25.793,,
286,10/21/19 12:00:00 午後,26.451,,
287,10/21/19 12:00:00 午後,26.622,,
288,10/21/19 12:00:00 午後,26.916,,
289,10/21/19 12:00:00 午後,27.161,,
290,10/21/19 12:00:00 午後,27.284,,
291,10/21/19 12:00:00 午後,27.186,,
292,10/21/19 12:00:00 午後,26.842,,
293,10/21/19 12:00:00 午後,26.695,,
294,10/21/19 12:00:00 午後,26.549,,
295,10/21/19 12:00:00 午後,26.72,,
296,10/21/19 12:00:00 午後,26.744,,
297,10/21/19 12:00:00 午後,26.549,,
298,10/21/19 12:00:00 午後,26.524,,
299,10/21/19 12:00:00 午後,26.524,,
300,10/21/19 12:00:00 午後,26.475,,
301,10/21/19 12:00:00 午後,26.378,,
302,10/21/19 12:00:00 午後,26.231,,
303,10/21/19 12:00:00 午後,26.231,,
304,10/21/19 12:00:00 午後,26.182,,
305,10/21/19 12:00:00 午後,26.158,,
306,10/21/19 12:00:00 午後,26.158,,
307,10/21/19 12:00:00 午後,26.158,,
308,10/21/19 12:00:00 午後,26.158,,
309,10/21/19 12:00:00 午後,25.987,,
310,10/21/19 12:00:00 午後,26.28,,
311,10/21/19 12:00:00 午後,26.818,,
312,10/21/19 12:00:00 午後,27.014,,
313,10/21/19 12:00:00 午後,26.916,,
314,10/21/19 12:00:00 午後,26.965,,
315,10/21/19 12:00:00 午後,26.965,,
316,10/21/19 12:00:00 午後,27.087,,
317,10/21/19 12:00:00 午後,27.063,,
318,10/21/19 12:00:00 午後,27.038,,
319,10/21/19 12:00:00 午後,26.94,,
320,10/21/19 12:00:00 午後,26.94,,
321,10/21/19 12:00:00 午後,26.867,,
322,10/21/19 12:00:00 午後,26.646,,
323,10/21/19 12:00:00 午後,26.646,,
324,10/21/19 12:00:00 午後,26.573,,
325,10/21/19 12:00:00 午後,26.475,,
326,10/21/19 12:00:00 午後,26.304,,
327,10/21/19 12:00:00 午後,26.134,,
328,10/21/19 12:00:00 午後,26.085,,
329,10/21/19 12:00:00 午後,26.012,,
330,10/21/19 12:00:00 午後,25.939,,
331,10/21/19 12:00:00 午後,25.793,,
332,10/21/19 12:00:00 午後,25.793,,
333,10/21/19 12:00:00 午後,25.671,,
334,10/21/19 12:00:00 午後,25.72,,
335,10/21/19 12:00:00 午後,25.817,,
336,10/21/19 12:00:00 午後,26.256,,
337,10/21/19 12:00:00 午後,26.426,,
338,10/21/19 12:00:00 午後,26.426,,
339,10/21/19 12:00:00 午後,26.353,,
340,10/21/19 12:00:00 午後,26.329,,
