Plot Title: site19_spot001_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054360, SEN S/N: 20054360)",カプラー取り外し (LGR S/N: 20054360),カプラー取り付け (LGR S/N: 20054360),ホスト接続 (LGR S/N: 20054360),停止済み (LGR S/N: 20054360),ファイルの終わり (LGR S/N: 20054360)
242,11/17/19 06:07:26 午後,21.915,,,,,
243,11/17/19 07:07:26 午後,21.891,,,,,
244,11/17/19 08:07:26 午後,21.867,,,,,
245,11/17/19 09:07:26 午後,21.843,,,,,
246,11/17/19 10:07:26 午後,21.819,,,,,
247,11/17/19 11:07:26 午後,21.772,,,,,
248,11/18/19 12:07:26 午前,21.7,,,,,
249,11/18/19 01:07:26 午前,21.628,,,,,
250,11/18/19 02:07:26 午前,21.533,,,,,
251,11/18/19 03:07:26 午前,21.461,,,,,
252,11/18/19 04:07:26 午前,21.437,,,,,
253,11/18/19 05:07:26 午前,21.437,,,,,
254,11/18/19 06:07:26 午前,21.437,,,,,
255,11/18/19 07:07:26 午前,21.461,,,,,
256,11/18/19 08:07:26 午前,21.461,,,,,
257,11/18/19 09:07:26 午前,21.461,,,,,
258,11/18/19 10:07:26 午前,21.461,,,,,
259,11/18/19 11:07:26 午前,21.485,,,,,
260,11/18/19 12:07:26 午後,21.676,,,,,
261,11/18/19 01:07:26 午後,21.939,,,,,
262,11/18/19 02:07:26 午後,22.13,,,,,
263,11/18/19 03:07:26 午後,22.298,,,,,
264,11/18/19 04:07:26 午後,22.321,,,,,
265,11/18/19 05:07:26 午後,22.298,,,,,
266,11/18/19 06:07:26 午後,22.13,,,,,
267,11/18/19 07:07:26 午後,21.963,,,,,
268,11/18/19 08:07:26 午後,21.843,,,,,
269,11/18/19 09:07:26 午後,21.772,,,,,
270,11/18/19 10:07:26 午後,21.748,,,,,
271,11/18/19 11:07:26 午後,21.7,,,,,
272,11/19/19 12:07:26 午前,21.628,,,,,
273,11/19/19 01:07:26 午前,21.533,,,,,
274,11/19/19 02:07:26 午前,21.413,,,,,
275,11/19/19 03:07:26 午前,21.342,,,,,
276,11/19/19 04:07:26 午前,21.39,,,,,
277,11/19/19 05:07:26 午前,21.461,,,,,
