site19_spot001_2024,,
no,time,temp
903,11/29/23 07:00:00 午後,18.39
904,11/29/23 08:00:00 午後,18.652
905,11/29/23 09:00:00 午後,18.628
906,11/29/23 10:00:00 午後,18.58
907,11/29/23 11:00:00 午後,18.675
908,11/30/23 12:00:00 午前,18.485
909,11/30/23 01:00:00 午前,17.962
910,11/30/23 02:00:00 午前,17.629
911,11/30/23 03:00:00 午前,17.605
912,11/30/23 04:00:00 午前,17.748
913,11/30/23 05:00:00 午前,17.629
914,11/30/23 06:00:00 午前,17.344
915,11/30/23 07:00:00 午前,17.51
916,11/30/23 08:00:00 午前,17.058
917,11/30/23 09:00:00 午前,17.153
918,11/30/23 10:00:00 午前,17.106
919,11/30/23 11:00:00 午前,17.225
920,11/30/23 12:00:00 午後,17.415
921,11/30/23 01:00:00 午後,17.534
922,11/30/23 02:00:00 午後,17.653
923,11/30/23 03:00:00 午後,17.962
924,11/30/23 04:00:00 午後,18.366
925,11/30/23 05:00:00 午後,18.485
926,11/30/23 06:00:00 午後,18.557
927,11/30/23 07:00:00 午後,18.604
928,11/30/23 08:00:00 午後,18.699
929,11/30/23 09:00:00 午後,18.723
930,11/30/23 10:00:00 午後,18.699
931,11/30/23 11:00:00 午後,18.723
932,12/01/23 12:00:00 午前,18.723
933,12/01/23 01:00:00 午前,18.652
934,12/01/23 02:00:00 午前,18.533
935,12/01/23 03:00:00 午前,18.438
936,12/01/23 04:00:00 午前,18.39
937,12/01/23 05:00:00 午前,18.366
938,12/01/23 06:00:00 午前,18.366
939,12/01/23 07:00:00 午前,18.39
940,12/01/23 08:00:00 午前,18.438
941,12/01/23 09:00:00 午前,18.485
942,12/01/23 10:00:00 午前,18.557
943,12/01/23 11:00:00 午前,18.604
944,12/01/23 12:00:00 午後,18.675
945,12/01/23 01:00:00 午後,18.699
946,12/01/23 02:00:00 午後,18.628
947,12/01/23 03:00:00 午後,18.295
948,12/01/23 04:00:00 午後,18.152
949,12/01/23 05:00:00 午後,18.105
950,12/01/23 06:00:00 午後,18.081
951,12/01/23 07:00:00 午後,18.01
952,12/01/23 08:00:00 午後,17.915
953,12/01/23 09:00:00 午後,17.772
954,12/01/23 10:00:00 午後,17.653
955,12/01/23 11:00:00 午後,17.582
956,12/02/23 12:00:00 午前,17.486
957,12/02/23 01:00:00 午前,17.415
958,12/02/23 02:00:00 午前,17.415
959,12/02/23 03:00:00 午前,17.439
960,12/02/23 04:00:00 午前,17.439
961,12/02/23 05:00:00 午前,17.439
962,12/02/23 06:00:00 午前,17.534
963,12/02/23 07:00:00 午前,17.534
964,12/02/23 08:00:00 午前,17.51
965,12/02/23 09:00:00 午前,17.534
966,12/02/23 10:00:00 午前,17.558
967,12/02/23 11:00:00 午前,17.653
968,12/02/23 12:00:00 午後,17.796
969,12/02/23 01:00:00 午後,17.962
970,12/02/23 02:00:00 午後,18.033
971,12/02/23 03:00:00 午後,18.057
972,12/02/23 04:00:00 午後,18.081
973,12/02/23 05:00:00 午後,18.081
974,12/02/23 06:00:00 午後,18.081
975,12/02/23 07:00:00 午後,18.057
976,12/02/23 08:00:00 午後,18.033
977,12/02/23 09:00:00 午後,17.986
978,12/02/23 10:00:00 午後,17.938
979,12/02/23 11:00:00 午後,17.915
980,12/03/23 12:00:00 午前,17.796
981,12/03/23 01:00:00 午前,17.772
982,12/03/23 02:00:00 午前,17.701
983,12/03/23 03:00:00 午前,17.677
984,12/03/23 04:00:00 午前,17.653
985,12/03/23 05:00:00 午前,17.629
986,12/03/23 06:00:00 午前,17.582
987,12/03/23 07:00:00 午前,17.582
988,12/03/23 08:00:00 午前,17.605
989,12/03/23 09:00:00 午前,17.629
990,12/03/23 10:00:00 午前,17.677
991,12/03/23 11:00:00 午前,17.724
992,12/03/23 12:00:00 午後,17.605
993,12/03/23 01:00:00 午後,17.486
994,12/03/23 02:00:00 午後,17.296
995,12/03/23 03:00:00 午後,17.272
996,12/03/23 04:00:00 午後,17.344
997,12/03/23 05:00:00 午後,17.32
998,12/03/23 06:00:00 午後,17.272
999,12/03/23 07:00:00 午後,17.201
1000,12/03/23 08:00:00 午後,17.534
1001,12/03/23 09:00:00 午後,18.01
1002,12/03/23 10:00:00 午後,18.366
1003,12/03/23 11:00:00 午後,18.747
1004,12/04/23 12:00:00 午前,19.032
1005,12/04/23 01:00:00 午前,19.246
1006,12/04/23 02:00:00 午前,19.318
1007,12/04/23 03:00:00 午前,19.365
1008,12/04/23 04:00:00 午前,19.389
1009,12/04/23 05:00:00 午前,19.436
1010,12/04/23 06:00:00 午前,19.413
1011,12/04/23 07:00:00 午前,19.365
1012,12/04/23 08:00:00 午前,19.341
1013,12/04/23 09:00:00 午前,19.294
1014,12/04/23 10:00:00 午前,19.341
1015,12/04/23 11:00:00 午前,19.389
1016,12/04/23 12:00:00 午後,19.436
1017,12/04/23 01:00:00 午後,19.508
1018,12/04/23 02:00:00 午後,19.555
1019,12/04/23 03:00:00 午後,19.579
1020,12/04/23 04:00:00 午後,19.579
1021,12/04/23 05:00:00 午後,19.579
1022,12/04/23 06:00:00 午後,19.555
1023,12/04/23 07:00:00 午後,19.532
1024,12/04/23 08:00:00 午後,19.46
1025,12/04/23 09:00:00 午後,19.341
1026,12/04/23 10:00:00 午後,19.27
1027,12/04/23 11:00:00 午後,19.246
1028,12/05/23 12:00:00 午前,19.246
1029,12/05/23 01:00:00 午前,19.222
1030,12/05/23 02:00:00 午前,19.199
1031,12/05/23 03:00:00 午前,19.199
1032,12/05/23 04:00:00 午前,19.175
1033,12/05/23 05:00:00 午前,19.127
1034,12/05/23 06:00:00 午前,19.08
1035,12/05/23 07:00:00 午前,19.056
1036,12/05/23 08:00:00 午前,18.961
1037,12/05/23 09:00:00 午前,18.937
1038,12/05/23 10:00:00 午前,18.913
1039,12/05/23 11:00:00 午前,18.961
1040,12/05/23 12:00:00 午後,18.985
1041,12/05/23 01:00:00 午後,18.985
1042,12/05/23 02:00:00 午後,19.008
1043,12/05/23 03:00:00 午後,18.985
1044,12/05/23 04:00:00 午後,18.961
1045,12/05/23 05:00:00 午後,18.913
1046,12/05/23 06:00:00 午後,18.889
1047,12/05/23 07:00:00 午後,18.889
1048,12/05/23 08:00:00 午後,18.913
1049,12/05/23 09:00:00 午後,18.913
1050,12/05/23 10:00:00 午後,18.889
1051,12/05/23 11:00:00 午後,18.866
1052,12/06/23 12:00:00 午前,18.866
1053,12/06/23 01:00:00 午前,18.866
1054,12/06/23 02:00:00 午前,18.866
1055,12/06/23 03:00:00 午前,18.794
1056,12/06/23 04:00:00 午前,18.794
1057,12/06/23 05:00:00 午前,18.771
1058,12/06/23 06:00:00 午前,18.771
1059,12/06/23 07:00:00 午前,18.699
1060,12/06/23 08:00:00 午前,18.675
1061,12/06/23 09:00:00 午前,18.652
1062,12/06/23 10:00:00 午前,18.652
1063,12/06/23 11:00:00 午前,18.723
1064,12/06/23 12:00:00 午後,18.794
1065,12/06/23 01:00:00 午後,18.866
1066,12/06/23 02:00:00 午後,18.889
1067,12/06/23 03:00:00 午後,18.889
1068,12/06/23 04:00:00 午後,18.889
1069,12/06/23 05:00:00 午後,18.866
1070,12/06/23 06:00:00 午後,18.866
1071,12/06/23 07:00:00 午後,18.842
1072,12/06/23 08:00:00 午後,18.818
1073,12/06/23 09:00:00 午後,18.771
1074,12/06/23 10:00:00 午後,18.675
1075,12/06/23 11:00:00 午後,18.533
1076,12/07/23 12:00:00 午前,18.485
1077,12/07/23 01:00:00 午前,18.461
1078,12/07/23 02:00:00 午前,18.366
1079,12/07/23 03:00:00 午前,18.295
1080,12/07/23 04:00:00 午前,18.224
1081,12/07/23 05:00:00 午前,18.2
1082,12/07/23 06:00:00 午前,18.224
1083,12/07/23 07:00:00 午前,18.2
1084,12/07/23 08:00:00 午前,18.152
1085,12/07/23 09:00:00 午前,18.081
1086,12/07/23 10:00:00 午前,18.01
1087,12/07/23 11:00:00 午前,17.915
1088,12/07/23 12:00:00 午後,18.01
1089,12/07/23 01:00:00 午後,18.057
1090,12/07/23 02:00:00 午後,18.033
1091,12/07/23 03:00:00 午後,18.033
1092,12/07/23 04:00:00 午後,18.01
1093,12/07/23 05:00:00 午後,17.915
1094,12/07/23 06:00:00 午後,17.772
1095,12/07/23 07:00:00 午後,17.629
1096,12/07/23 08:00:00 午後,17.629
1097,12/07/23 09:00:00 午後,17.582
1098,12/07/23 10:00:00 午後,17.534
1099,12/07/23 11:00:00 午後,17.724
1100,12/08/23 12:00:00 午前,17.867
1101,12/08/23 01:00:00 午前,17.915
1102,12/08/23 02:00:00 午前,17.915
1103,12/08/23 03:00:00 午前,17.938
1104,12/08/23 04:00:00 午前,17.938
1105,12/08/23 05:00:00 午前,17.867
1106,12/08/23 06:00:00 午前,17.772
1107,12/08/23 07:00:00 午前,17.701
1108,12/08/23 08:00:00 午前,17.629
1109,12/08/23 09:00:00 午前,17.605
1110,12/08/23 10:00:00 午前,17.582
1111,12/08/23 11:00:00 午前,17.677
1112,12/08/23 12:00:00 午後,17.843
1113,12/08/23 01:00:00 午後,17.938
1114,12/08/23 02:00:00 午後,18.01
1115,12/08/23 03:00:00 午後,18.105
1116,12/08/23 04:00:00 午後,18.129
1117,12/08/23 05:00:00 午後,18.129
1118,12/08/23 06:00:00 午後,18.129
1119,12/08/23 07:00:00 午後,18.129
1120,12/08/23 08:00:00 午後,18.105
1121,12/08/23 09:00:00 午後,18.081
1122,12/08/23 10:00:00 午後,18.057
1123,12/08/23 11:00:00 午後,18.033
1124,12/09/23 12:00:00 午前,18.01
1125,12/09/23 01:00:00 午前,17.986
1126,12/09/23 02:00:00 午前,17.962
1127,12/09/23 03:00:00 午前,17.938
1128,12/09/23 04:00:00 午前,17.915
1129,12/09/23 05:00:00 午前,17.843
1130,12/09/23 06:00:00 午前,17.772
1131,12/09/23 07:00:00 午前,17.748
1132,12/09/23 08:00:00 午前,17.677
1133,12/09/23 09:00:00 午前,17.724
1134,12/09/23 10:00:00 午前,17.796
1135,12/09/23 11:00:00 午前,17.867
1136,12/09/23 12:00:00 午後,17.915
1137,12/09/23 01:00:00 午後,17.915
1138,12/09/23 02:00:00 午後,17.915
1139,12/09/23 03:00:00 午後,17.867
1140,12/09/23 04:00:00 午後,17.748
1141,12/09/23 05:00:00 午後,17.724
1142,12/09/23 06:00:00 午後,17.724
1143,12/09/23 07:00:00 午後,17.701
1144,12/09/23 08:00:00 午後,17.677
1145,12/09/23 09:00:00 午後,17.629
1146,12/09/23 10:00:00 午後,17.605
1147,12/09/23 11:00:00 午後,17.629
1148,12/10/23 12:00:00 午前,17.582
1149,12/10/23 01:00:00 午前,17.629
1150,12/10/23 02:00:00 午前,17.677
1151,12/10/23 03:00:00 午前,17.701
1152,12/10/23 04:00:00 午前,17.724
1153,12/10/23 05:00:00 午前,17.724
1154,12/10/23 06:00:00 午前,17.724
1155,12/10/23 07:00:00 午前,17.701
1156,12/10/23 08:00:00 午前,17.701
1157,12/10/23 09:00:00 午前,17.701
1158,12/10/23 10:00:00 午前,17.701
1159,12/10/23 11:00:00 午前,17.724
1160,12/10/23 12:00:00 午後,18.271
1161,12/10/23 01:00:00 午後,18.58
1162,12/10/23 02:00:00 午後,18.747
1163,12/10/23 03:00:00 午後,18.842
1164,12/10/23 04:00:00 午後,18.866
1165,12/10/23 05:00:00 午後,18.866
1166,12/10/23 06:00:00 午後,18.818
1167,12/10/23 07:00:00 午後,18.771
1168,12/10/23 08:00:00 午後,18.723
1169,12/10/23 09:00:00 午後,18.699
1170,12/10/23 10:00:00 午後,18.652
1171,12/10/23 11:00:00 午後,18.628
1172,12/11/23 12:00:00 午前,18.652
1173,12/11/23 01:00:00 午前,18.771
1174,12/11/23 02:00:00 午前,18.889
1175,12/11/23 03:00:00 午前,18.961
1176,12/11/23 04:00:00 午前,18.913
1177,12/11/23 05:00:00 午前,18.866
1178,12/11/23 06:00:00 午前,18.937
1179,12/11/23 07:00:00 午前,19.008
1180,12/11/23 08:00:00 午前,19.032
1181,12/11/23 09:00:00 午前,19.032
1182,12/11/23 10:00:00 午前,19.056
1183,12/11/23 11:00:00 午前,19.127
1184,12/11/23 12:00:00 午後,19.246
1185,12/11/23 01:00:00 午後,19.365
1186,12/11/23 02:00:00 午後,19.436
1187,12/11/23 03:00:00 午後,19.436
1188,12/11/23 04:00:00 午後,19.436
1189,12/11/23 05:00:00 午後,19.436
1190,12/11/23 06:00:00 午後,19.413
1191,12/11/23 07:00:00 午後,19.413
1192,12/11/23 08:00:00 午後,19.413
1193,12/11/23 09:00:00 午後,19.413
1194,12/11/23 10:00:00 午後,19.389
1195,12/11/23 11:00:00 午後,19.365
1196,12/12/23 12:00:00 午前,19.318
1197,12/12/23 01:00:00 午前,19.294
1198,12/12/23 02:00:00 午前,19.27
1199,12/12/23 03:00:00 午前,19.27
1200,12/12/23 04:00:00 午前,19.246
1201,12/12/23 05:00:00 午前,19.246
1202,12/12/23 06:00:00 午前,19.222
1203,12/12/23 07:00:00 午前,19.222
1204,12/12/23 08:00:00 午前,19.222
1205,12/12/23 09:00:00 午前,19.199
1206,12/12/23 10:00:00 午前,19.151
1207,12/12/23 11:00:00 午前,19.151
1208,12/12/23 12:00:00 午後,19.151
1209,12/12/23 01:00:00 午後,19.127
1210,12/12/23 02:00:00 午後,19.127
1211,12/12/23 03:00:00 午後,19.103
1212,12/12/23 04:00:00 午後,19.08
1213,12/12/23 05:00:00 午後,19.056
1214,12/12/23 06:00:00 午後,19.056
1215,12/12/23 07:00:00 午後,19.08
1216,12/12/23 08:00:00 午後,19.056
1217,12/12/23 09:00:00 午後,19.032
1218,12/12/23 10:00:00 午後,19.008
1219,12/12/23 11:00:00 午後,18.913
1220,12/13/23 12:00:00 午前,18.771
1221,12/13/23 01:00:00 午前,18.628
1222,12/13/23 02:00:00 午前,18.557
1223,12/13/23 03:00:00 午前,18.557
1224,12/13/23 04:00:00 午前,18.533
1225,12/13/23 05:00:00 午前,18.604
1226,12/13/23 06:00:00 午前,18.628
1227,12/13/23 07:00:00 午前,18.58
1228,12/13/23 08:00:00 午前,18.533
1229,12/13/23 09:00:00 午前,18.557
1230,12/13/23 10:00:00 午前,18.604
1231,12/13/23 11:00:00 午前,18.628
1232,12/13/23 12:00:00 午後,18.628
1233,12/13/23 01:00:00 午後,18.652
1234,12/13/23 02:00:00 午後,18.675
1235,12/13/23 03:00:00 午後,18.675
1236,12/13/23 04:00:00 午後,18.699
1237,12/13/23 05:00:00 午後,18.652
1238,12/13/23 06:00:00 午後,18.628
1239,12/13/23 07:00:00 午後,18.652
1240,12/13/23 08:00:00 午後,18.652
1241,12/13/23 09:00:00 午後,18.604
1242,12/13/23 10:00:00 午後,18.557
1243,12/13/23 11:00:00 午後,18.438
1244,12/14/23 12:00:00 午前,18.343
1245,12/14/23 01:00:00 午前,18.604
1246,12/14/23 02:00:00 午前,18.913
1247,12/14/23 03:00:00 午前,19.056
