プロット タイトル: site01_spot005(-8)_2023,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011404, SEN S/N: 21011404)",カプラー取り外し (LGR S/N: 21011404),カプラー取り付け (LGR S/N: 21011404),停止済み (LGR S/N: 21011404),ファイルの終わり (LGR S/N: 21011404)
191,01/19/23 01:00:00 午後,22.345,,,,
192,01/19/23 02:00:00 午後,22.345,,,,
193,01/19/23 03:00:00 午後,22.369,,,,
194,01/19/23 04:00:00 午後,22.369,,,,
195,01/19/23 05:00:00 午後,22.369,,,,
196,01/19/23 06:00:00 午後,22.369,,,,
197,01/19/23 07:00:00 午後,22.345,,,,
198,01/19/23 08:00:00 午後,22.321,,,,
199,01/19/23 09:00:00 午後,22.298,,,,
200,01/19/23 10:00:00 午後,22.25,,,,
201,01/19/23 11:00:00 午後,22.154,,,,
202,01/20/23 12:00:00 午前,22.202,,,,
203,01/20/23 01:00:00 午前,22.226,,,,
204,01/20/23 02:00:00 午前,22.154,,,,
205,01/20/23 03:00:00 午前,22.202,,,,
206,01/20/23 04:00:00 午前,22.226,,,,
207,01/20/23 05:00:00 午前,22.274,,,,
208,01/20/23 06:00:00 午前,22.178,,,,
209,01/20/23 07:00:00 午前,22.178,,,,
210,01/20/23 08:00:00 午前,22.226,,,,
211,01/20/23 09:00:00 午前,22.274,,,,
212,01/20/23 10:00:00 午前,22.274,,,,
213,01/20/23 11:00:00 午前,22.226,,,,
214,01/20/23 12:00:00 午後,22.082,,,,
215,01/20/23 01:00:00 午後,22.226,,,,
216,01/20/23 02:00:00 午後,22.321,,,,
217,01/20/23 03:00:00 午後,22.369,,,,
218,01/20/23 04:00:00 午後,22.417,,,,
219,01/20/23 05:00:00 午後,22.417,,,,
220,01/20/23 06:00:00 午後,22.441,,,,
221,01/20/23 07:00:00 午後,22.465,,,,
222,01/20/23 08:00:00 午後,22.393,,,,
223,01/20/23 09:00:00 午後,22.154,,,,
224,01/20/23 10:00:00 午後,22.178,,,,
225,01/20/23 11:00:00 午後,21.795,,,,
226,01/21/23 12:00:00 午前,21.652,,,,
227,01/21/23 01:00:00 午前,21.533,,,,
228,01/21/23 02:00:00 午前,21.748,,,,
229,01/21/23 03:00:00 午前,21.939,,,,
230,01/21/23 04:00:00 午前,22.034,,,,
231,01/21/23 05:00:00 午前,22.082,,,,
232,01/21/23 06:00:00 午前,22.13,,,,
233,01/21/23 07:00:00 午前,22.154,,,,
234,01/21/23 08:00:00 午前,22.178,,,,
235,01/21/23 09:00:00 午前,21.843,,,,
236,01/21/23 10:00:00 午前,21.676,,,,
237,01/21/23 11:00:00 午前,21.963,,,,
238,01/21/23 12:00:00 午後,22.154,,,,
239,01/21/23 01:00:00 午後,22.011,,,,
240,01/21/23 02:00:00 午後,21.915,,,,
241,01/21/23 03:00:00 午後,21.867,,,,
242,01/21/23 04:00:00 午後,22.106,,,,
243,01/21/23 05:00:00 午後,22.106,,,,
244,01/21/23 06:00:00 午後,22.106,,,,
245,01/21/23 07:00:00 午後,22.106,,,,
246,01/21/23 08:00:00 午後,22.13,,,,
247,01/21/23 09:00:00 午後,22.13,,,,
248,01/21/23 10:00:00 午後,22.25,,,,
249,01/21/23 11:00:00 午後,22.25,,,,
250,01/22/23 12:00:00 午前,21.939,,,,
251,01/22/23 01:00:00 午前,21.795,,,,
252,01/22/23 02:00:00 午前,21.509,,,,
253,01/22/23 03:00:00 午前,21.342,,,,
254,01/22/23 04:00:00 午前,21.533,,,,
255,01/22/23 05:00:00 午前,22.058,,,,
256,01/22/23 06:00:00 午前,22.034,,,,
257,01/22/23 07:00:00 午前,22.226,,,,
258,01/22/23 08:00:00 午前,22.25,,,,
259,01/22/23 09:00:00 午前,22.298,,,,
260,01/22/23 10:00:00 午前,22.321,,,,
261,01/22/23 11:00:00 午前,22.393,,,,
262,01/22/23 12:00:00 午後,22.417,,,,
263,01/22/23 01:00:00 午後,22.417,,,,
264,01/22/23 02:00:00 午後,22.465,,,,
265,01/22/23 03:00:00 午後,22.441,,,,
266,01/22/23 04:00:00 午後,22.465,,,,
267,01/22/23 05:00:00 午後,22.465,,,,
268,01/22/23 06:00:00 午後,22.465,,,,
269,01/22/23 07:00:00 午後,22.465,,,,
270,01/22/23 08:00:00 午後,22.465,,,,
271,01/22/23 09:00:00 午後,22.465,,,,
272,01/22/23 10:00:00 午後,22.321,,,,
273,01/22/23 11:00:00 午後,22.369,,,,
274,01/23/23 12:00:00 午前,22.25,,,,
275,01/23/23 01:00:00 午前,22.25,,,,
276,01/23/23 02:00:00 午前,22.202,,,,
277,01/23/23 03:00:00 午前,22.25,,,,
278,01/23/23 04:00:00 午前,22.321,,,,
279,01/23/23 05:00:00 午前,22.345,,,,
280,01/23/23 06:00:00 午前,22.393,,,,
281,01/23/23 07:00:00 午前,22.393,,,,
282,01/23/23 08:00:00 午前,22.417,,,,
283,01/23/23 09:00:00 午前,22.369,,,,
284,01/23/23 10:00:00 午前,22.369,,,,
285,01/23/23 11:00:00 午前,22.369,,,,
286,01/23/23 12:00:00 午後,22.369,,,,
287,01/23/23 01:00:00 午後,22.393,,,,
288,01/23/23 02:00:00 午後,22.369,,,,
289,01/23/23 03:00:00 午後,22.345,,,,
290,01/23/23 04:00:00 午後,22.345,,,,
291,01/23/23 05:00:00 午後,22.369,,,,
292,01/23/23 06:00:00 午後,22.369,,,,
293,01/23/23 07:00:00 午後,22.393,,,,
294,01/23/23 08:00:00 午後,22.393,,,,
295,01/23/23 09:00:00 午後,22.345,,,,
296,01/23/23 10:00:00 午後,22.321,,,,
297,01/23/23 11:00:00 午後,22.298,,,,
298,01/24/23 12:00:00 午前,22.25,,,,
299,01/24/23 01:00:00 午前,22.202,,,,
300,01/24/23 02:00:00 午前,22.202,,,,
301,01/24/23 03:00:00 午前,22.226,,,,
302,01/24/23 04:00:00 午前,22.274,,,,
303,01/24/23 05:00:00 午前,22.25,,,,
304,01/24/23 06:00:00 午前,22.202,,,,
305,01/24/23 07:00:00 午前,22.298,,,,
306,01/24/23 08:00:00 午前,22.25,,,,
307,01/24/23 09:00:00 午前,21.843,,,,
308,01/24/23 10:00:00 午前,21.843,,,,
309,01/24/23 11:00:00 午前,21.843,,,,
310,01/24/23 12:00:00 午後,21.724,,,,
311,01/24/23 01:00:00 午後,21.628,,,,
312,01/24/23 02:00:00 午後,21.557,,,,
313,01/24/23 03:00:00 午後,21.581,,,,
314,01/24/23 04:00:00 午後,21.533,,,,
315,01/24/23 05:00:00 午後,21.557,,,,
316,01/24/23 06:00:00 午後,21.604,,,,
317,01/24/23 07:00:00 午後,21.604,,,,
318,01/24/23 08:00:00 午後,21.628,,,,
