プロット タイトル:site22_spot006_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20481320, SEN S/N: 20481320)",カプラー取り外し (LGR S/N: 20481320),カプラー取り付け (LGR S/N: 20481320),ホスト接続 (LGR S/N: 20481320),停止済み (LGR S/N: 20481320),ファイルの終わり (LGR S/N: 20481320)
162,11/27/20 03:00:00 午前,21.795,,,,,
163,11/27/20 04:00:00 午前,21.724,,,,,
164,11/27/20 05:00:00 午前,21.628,,,,,
165,11/27/20 06:00:00 午前,21.604,,,,,
166,11/27/20 07:00:00 午前,21.628,,,,,
167,11/27/20 08:00:00 午前,21.557,,,,,
168,11/27/20 09:00:00 午前,21.581,,,,,
169,11/27/20 10:00:00 午前,21.772,,,,,
170,11/27/20 11:00:00 午前,21.939,,,,,
171,11/27/20 12:00:00 午後,22.178,,,,,
172,11/27/20 01:00:00 午後,22.226,,,,,
173,11/27/20 02:00:00 午後,22.298,,,,,
174,11/27/20 03:00:00 午後,22.298,,,,,
175,11/27/20 04:00:00 午後,22.298,,,,,
176,11/27/20 05:00:00 午後,22.274,,,,,
177,11/27/20 06:00:00 午後,22.226,,,,,
178,11/27/20 07:00:00 午後,22.13,,,,,
179,11/27/20 08:00:00 午後,22.106,,,,,
180,11/27/20 09:00:00 午後,21.987,,,,,
181,11/27/20 10:00:00 午後,21.867,,,,,
182,11/27/20 11:00:00 午後,21.748,,,,,
183,11/28/20 12:00:00 午前,21.581,,,,,
184,11/28/20 01:00:00 午前,21.485,,,,,
185,11/28/20 02:00:00 午前,21.437,,,,,
186,11/28/20 03:00:00 午前,21.437,,,,,
187,11/28/20 04:00:00 午前,21.39,,,,,
188,11/28/20 05:00:00 午前,21.366,,,,,
189,11/28/20 06:00:00 午前,21.223,,,,,
190,11/28/20 07:00:00 午前,21.294,,,,,
191,11/28/20 08:00:00 午前,21.246,,,,,
192,11/28/20 09:00:00 午前,21.175,,,,,
193,11/28/20 10:00:00 午前,21.223,,,,,
194,11/28/20 11:00:00 午前,21.485,,,,,
195,11/28/20 12:00:00 午後,21.557,,,,,
196,11/28/20 01:00:00 午後,21.581,,,,,
197,11/28/20 02:00:00 午後,21.628,,,,,
198,11/28/20 03:00:00 午後,21.652,,,,,
199,11/28/20 04:00:00 午後,21.628,,,,,
200,11/28/20 05:00:00 午後,21.437,,,,,
201,11/28/20 06:00:00 午後,21.39,,,,,
202,11/28/20 07:00:00 午後,21.413,,,,,
203,11/28/20 08:00:00 午後,21.413,,,,,
204,11/28/20 09:00:00 午後,21.318,,,,,
205,11/28/20 10:00:00 午後,21.294,,,,,
206,11/28/20 11:00:00 午後,21.39,,,,,
207,11/29/20 12:00:00 午前,21.819,,,,,
208,11/29/20 01:00:00 午前,21.915,,,,,
209,11/29/20 02:00:00 午前,21.987,,,,,
210,11/29/20 03:00:00 午前,21.963,,,,,
211,11/29/20 04:00:00 午前,21.939,,,,,
212,11/29/20 05:00:00 午前,21.915,,,,,
213,11/29/20 06:00:00 午前,21.963,,,,,
214,11/29/20 07:00:00 午前,21.915,,,,,
215,11/29/20 08:00:00 午前,22.011,,,,,
216,11/29/20 09:00:00 午前,21.963,,,,,
217,11/29/20 10:00:00 午前,22.202,,,,,
218,11/29/20 11:00:00 午前,22.321,,,,,
219,11/29/20 12:00:00 午後,22.441,,,,,
220,11/29/20 01:00:00 午後,22.537,,,,,
221,11/29/20 02:00:00 午後,22.585,,,,,
222,11/29/20 03:00:00 午後,22.513,,,,,
223,11/29/20 04:00:00 午後,22.489,,,,,
224,11/29/20 05:00:00 午後,22.369,,,,,
225,11/29/20 06:00:00 午後,22.25,,,,,
226,11/29/20 07:00:00 午後,22.13,,,,,
227,11/29/20 08:00:00 午後,22.178,,,,,
228,11/29/20 09:00:00 午後,22.011,,,,,
229,11/29/20 10:00:00 午後,21.987,,,,,
230,11/29/20 11:00:00 午後,21.843,,,,,
231,11/30/20 12:00:00 午前,21.819,,,,,
232,11/30/20 01:00:00 午前,21.772,,,,,
233,11/30/20 02:00:00 午前,21.795,,,,,
234,11/30/20 03:00:00 午前,21.7,,,,,
235,11/30/20 04:00:00 午前,21.867,,,,,
