プロット タイトル: site01_spot005(-25)_2021,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054307, SEN S/N: 20054307)"
26059,01/03/21 09:00:00 午前,20.15
26060,01/03/21 10:00:00 午前,20.15
26061,01/03/21 11:00:00 午前,20.126
26062,01/03/21 12:00:00 午後,20.126
26063,01/03/21 01:00:00 午後,20.126
26064,01/03/21 02:00:00 午後,20.126
26065,01/03/21 03:00:00 午後,20.126
26066,01/03/21 04:00:00 午後,20.126
26067,01/03/21 05:00:00 午後,20.126
26068,01/03/21 06:00:00 午後,20.103
26069,01/03/21 07:00:00 午後,20.103
26070,01/03/21 08:00:00 午後,20.079
26071,01/03/21 09:00:00 午後,20.079
26072,01/03/21 10:00:00 午後,20.079
26073,01/03/21 11:00:00 午後,20.103
26074,01/04/21 12:00:00 午前,20.055
26075,01/04/21 01:00:00 午前,20.055
26076,01/04/21 02:00:00 午前,20.055
26077,01/04/21 03:00:00 午前,20.079
26078,01/04/21 04:00:00 午前,20.103
26079,01/04/21 05:00:00 午前,20.079
26080,01/04/21 06:00:00 午前,20.079
26081,01/04/21 07:00:00 午前,20.079
26082,01/04/21 08:00:00 午前,20.103
26083,01/04/21 09:00:00 午前,20.103
26084,01/04/21 10:00:00 午前,20.103
26085,01/04/21 11:00:00 午前,20.103
26086,01/04/21 12:00:00 午後,20.079
26087,01/04/21 01:00:00 午後,20.079
26088,01/04/21 02:00:00 午後,19.984
26089,01/04/21 03:00:00 午後,19.96
26090,01/04/21 04:00:00 午後,19.984
26091,01/04/21 05:00:00 午後,20.007
26092,01/04/21 06:00:00 午後,20.031
26093,01/04/21 07:00:00 午後,20.031
26094,01/04/21 08:00:00 午後,19.984
26095,01/04/21 09:00:00 午後,20.15
26096,01/04/21 10:00:00 午後,20.198
26097,01/04/21 11:00:00 午後,20.198
26098,01/05/21 12:00:00 午前,20.317
26099,01/05/21 01:00:00 午前,20.46
26100,01/05/21 02:00:00 午前,20.579
26101,01/05/21 03:00:00 午前,20.603
26102,01/05/21 04:00:00 午前,20.627
26103,01/05/21 05:00:00 午前,20.627
26104,01/05/21 06:00:00 午前,20.46
26105,01/05/21 07:00:00 午前,20.436
26106,01/05/21 08:00:00 午前,20.436
26107,01/05/21 09:00:00 午前,20.507
26108,01/05/21 10:00:00 午前,20.531
26109,01/05/21 11:00:00 午前,20.555
26110,01/05/21 12:00:00 午後,20.627
26111,01/05/21 01:00:00 午後,20.65
26112,01/05/21 02:00:00 午後,20.698
26113,01/05/21 03:00:00 午後,20.698
26114,01/05/21 04:00:00 午後,20.627
26115,01/05/21 05:00:00 午後,20.317
26116,01/05/21 06:00:00 午後,20.15
26117,01/05/21 07:00:00 午後,20.079
26118,01/05/21 08:00:00 午後,20.222
26119,01/05/21 09:00:00 午後,20.246
26120,01/05/21 10:00:00 午後,20.269
26121,01/05/21 11:00:00 午後,20.317
26122,01/06/21 12:00:00 午前,20.365
26123,01/06/21 01:00:00 午前,20.365
26124,01/06/21 02:00:00 午前,20.341
26125,01/06/21 03:00:00 午前,20.15
26126,01/06/21 04:00:00 午前,20.126
26127,01/06/21 05:00:00 午前,20.174
26128,01/06/21 06:00:00 午前,20.222
26129,01/06/21 07:00:00 午前,20.103
26130,01/06/21 08:00:00 午前,20.103
26131,01/06/21 09:00:00 午前,20.15
26132,01/06/21 10:00:00 午前,20.222
26133,01/06/21 11:00:00 午前,20.103
26134,01/06/21 12:00:00 午後,20.079
26135,01/06/21 01:00:00 午後,20.103
26136,01/06/21 02:00:00 午後,20.103
26137,01/06/21 03:00:00 午後,20.079
26138,01/06/21 04:00:00 午後,20.269
26139,01/06/21 05:00:00 午後,20.198
26140,01/06/21 06:00:00 午後,19.912
26141,01/06/21 07:00:00 午後,20.031
26142,01/06/21 08:00:00 午後,19.984
26143,01/06/21 09:00:00 午後,20.174
26144,01/06/21 10:00:00 午後,20.269
26145,01/06/21 11:00:00 午後,20.293
26146,01/07/21 12:00:00 午前,20.698
26147,01/07/21 01:00:00 午前,20.746
26148,01/07/21 02:00:00 午前,20.722
26149,01/07/21 03:00:00 午前,20.603
26150,01/07/21 04:00:00 午前,20.65
26151,01/07/21 05:00:00 午前,20.77
26152,01/07/21 06:00:00 午前,20.46
26153,01/07/21 07:00:00 午前,20.412
26154,01/07/21 08:00:00 午前,20.174
26155,01/07/21 09:00:00 午前,20.388
26156,01/07/21 10:00:00 午前,20.674
26157,01/07/21 11:00:00 午前,20.96
26158,01/07/21 12:00:00 午後,21.008
26159,01/07/21 01:00:00 午後,20.984
26160,01/07/21 02:00:00 午後,20.96
26161,01/07/21 03:00:00 午後,20.936
26162,01/07/21 04:00:00 午後,20.936
26163,01/07/21 05:00:00 午後,20.889
26164,01/07/21 06:00:00 午後,20.865
26165,01/07/21 07:00:00 午後,20.817
26166,01/07/21 08:00:00 午後,20.793
26167,01/07/21 09:00:00 午後,20.674
26168,01/07/21 10:00:00 午後,20.555
26169,01/07/21 11:00:00 午後,20.365
26170,01/08/21 12:00:00 午前,20.412
26171,01/08/21 01:00:00 午前,20.412
26172,01/08/21 02:00:00 午前,20.484
26173,01/08/21 03:00:00 午前,20.627
26174,01/08/21 04:00:00 午前,20.627
26175,01/08/21 05:00:00 午前,20.126
26176,01/08/21 06:00:00 午前,20.198
26177,01/08/21 07:00:00 午前,19.984
26178,01/08/21 08:00:00 午前,20.055
26179,01/08/21 09:00:00 午前,20.055
26180,01/08/21 10:00:00 午前,20.293
26181,01/08/21 11:00:00 午前,20.436
26182,01/08/21 12:00:00 午後,20.222
26183,01/08/21 01:00:00 午後,20.103
26184,01/08/21 02:00:00 午後,20.198
26185,01/08/21 03:00:00 午後,20.246
26186,01/08/21 04:00:00 午後,20.222
26187,01/08/21 05:00:00 午後,20.269
26188,01/08/21 06:00:00 午後,20.246
26189,01/08/21 07:00:00 午後,20.627
26190,01/08/21 08:00:00 午後,20.198
26191,01/08/21 09:00:00 午後,20.388
26192,01/08/21 10:00:00 午後,20.507
26193,01/08/21 11:00:00 午後,20.65
26194,01/09/21 12:00:00 午前,20.627
26195,01/09/21 01:00:00 午前,21.056
26196,01/09/21 02:00:00 午前,20.841
26197,01/09/21 03:00:00 午前,21.103
26198,01/09/21 04:00:00 午前,20.889
26199,01/09/21 05:00:00 午前,20.96
26200,01/09/21 06:00:00 午前,21.056
26201,01/09/21 07:00:00 午前,21.175
26202,01/09/21 08:00:00 午前,20.865
26203,01/09/21 09:00:00 午前,20.579
26204,01/09/21 10:00:00 午前,20.46
26205,01/09/21 11:00:00 午前,20.65
26206,01/09/21 12:00:00 午後,20.65
26207,01/09/21 01:00:00 午後,20.603
26208,01/09/21 02:00:00 午後,20.793
26209,01/09/21 03:00:00 午後,20.865
26210,01/09/21 04:00:00 午後,20.841
26211,01/09/21 05:00:00 午後,20.889
26212,01/09/21 06:00:00 午後,20.793
26213,01/09/21 07:00:00 午後,20.555
26214,01/09/21 08:00:00 午後,20.436
26215,01/09/21 09:00:00 午後,20.913
26216,01/09/21 10:00:00 午後,21.342
26217,01/09/21 11:00:00 午後,21.461
26218,01/10/21 12:00:00 午前,21.437
26219,01/10/21 01:00:00 午前,21.437
26220,01/10/21 02:00:00 午前,21.39
26221,01/10/21 03:00:00 午前,21.39
26222,01/10/21 04:00:00 午前,21.294
26223,01/10/21 05:00:00 午前,21.294
26224,01/10/21 06:00:00 午前,21.318
26225,01/10/21 07:00:00 午前,21.294
26226,01/10/21 08:00:00 午前,21.27
26227,01/10/21 09:00:00 午前,21.175
26228,01/10/21 10:00:00 午前,21.175
26229,01/10/21 11:00:00 午前,21.199
26230,01/10/21 12:00:00 午後,21.151
26231,01/10/21 01:00:00 午後,21.461
26232,01/10/21 02:00:00 午後,21.485
26233,01/10/21 03:00:00 午後,21.533
26234,01/10/21 04:00:00 午後,21.533
26235,01/10/21 05:00:00 午後,21.533
26236,01/10/21 06:00:00 午後,21.557
26237,01/10/21 07:00:00 午後,21.533
26238,01/10/21 08:00:00 午後,21.533
26239,01/10/21 09:00:00 午後,21.533
26240,01/10/21 10:00:00 午後,21.533
26241,01/10/21 11:00:00 午後,21.413
26242,01/11/21 12:00:00 午前,21.366
26243,01/11/21 01:00:00 午前,21.318
26244,01/11/21 02:00:00 午前,21.39
26245,01/11/21 03:00:00 午前,21.437
26246,01/11/21 04:00:00 午前,21.461
26247,01/11/21 05:00:00 午前,21.39
26248,01/11/21 06:00:00 午前,21.413
26249,01/11/21 07:00:00 午前,21.437
26250,01/11/21 08:00:00 午前,21.39
26251,01/11/21 09:00:00 午前,21.366
26252,01/11/21 10:00:00 午前,21.318
26253,01/11/21 11:00:00 午前,21.342
26254,01/11/21 12:00:00 午後,21.318
26255,01/11/21 01:00:00 午後,21.342
26256,01/11/21 02:00:00 午後,21.39
26257,01/11/21 03:00:00 午後,21.413
26258,01/11/21 04:00:00 午後,20.913
26259,01/11/21 05:00:00 午後,20.841
26260,01/11/21 06:00:00 午後,20.793
26261,01/11/21 07:00:00 午後,20.793
26262,01/11/21 08:00:00 午後,20.841
26263,01/11/21 09:00:00 午後,20.841
26264,01/11/21 10:00:00 午後,20.412
26265,01/11/21 11:00:00 午後,19.532
26266,01/12/21 12:00:00 午前,19.222
26267,01/12/21 01:00:00 午前,19.77
26268,01/12/21 02:00:00 午前,19.96
26269,01/12/21 03:00:00 午前,19.912
26270,01/12/21 04:00:00 午前,19.627
26271,01/12/21 05:00:00 午前,19.722
26272,01/12/21 06:00:00 午前,19.936
26273,01/12/21 07:00:00 午前,20.055
26274,01/12/21 08:00:00 午前,19.96
26275,01/12/21 09:00:00 午前,20.269
26276,01/12/21 10:00:00 午前,20.627
26277,01/12/21 11:00:00 午前,20.865
26278,01/12/21 12:00:00 午後,20.96
26279,01/12/21 01:00:00 午後,21.032
26280,01/12/21 02:00:00 午後,21.079
26281,01/12/21 03:00:00 午後,21.175
26282,01/12/21 04:00:00 午後,21.199
26283,01/12/21 05:00:00 午後,21.127
26284,01/12/21 06:00:00 午後,21.079
26285,01/12/21 07:00:00 午後,21.103
26286,01/12/21 08:00:00 午後,21.103
26287,01/12/21 09:00:00 午後,21.151
26288,01/12/21 10:00:00 午後,21.151
26289,01/12/21 11:00:00 午後,21.246
26290,01/13/21 12:00:00 午前,21.246
26291,01/13/21 01:00:00 午前,20.698
26292,01/13/21 02:00:00 午前,20.77
26293,01/13/21 03:00:00 午前,20.841
26294,01/13/21 04:00:00 午前,20.865
26295,01/13/21 05:00:00 午前,20.889
26296,01/13/21 06:00:00 午前,20.913
26297,01/13/21 07:00:00 午前,20.913
26298,01/13/21 08:00:00 午前,20.841
26299,01/13/21 09:00:00 午前,20.865
26300,01/13/21 10:00:00 午前,20.889
26301,01/13/21 11:00:00 午前,20.96
26302,01/13/21 12:00:00 午後,21.056
26303,01/13/21 01:00:00 午後,21.079
26304,01/13/21 02:00:00 午後,21.079
26305,01/13/21 03:00:00 午後,21.103
26306,01/13/21 04:00:00 午後,21.151
26307,01/13/21 05:00:00 午後,21.199
26308,01/13/21 06:00:00 午後,21.246
26309,01/13/21 07:00:00 午後,21.294
26310,01/13/21 08:00:00 午後,21.199
26311,01/13/21 09:00:00 午後,21.175
26312,01/13/21 10:00:00 午後,21.175
26313,01/13/21 11:00:00 午後,21.199
26314,01/14/21 12:00:00 午前,21.175
26315,01/14/21 01:00:00 午前,21.199
26316,01/14/21 02:00:00 午前,21.175
26317,01/14/21 03:00:00 午前,21.199
26318,01/14/21 04:00:00 午前,21.175
26319,01/14/21 05:00:00 午前,21.246
26320,01/14/21 06:00:00 午前,21.27
26321,01/14/21 07:00:00 午前,21.533
26322,01/14/21 08:00:00 午前,21.557
26323,01/14/21 09:00:00 午前,21.652
26324,01/14/21 10:00:00 午前,21.676
26325,01/14/21 11:00:00 午前,21.652
26326,01/14/21 12:00:00 午後,21.652
26327,01/14/21 01:00:00 午後,21.676
26328,01/14/21 02:00:00 午後,21.724
26329,01/14/21 03:00:00 午後,21.748
26330,01/14/21 04:00:00 午後,21.795
26331,01/14/21 05:00:00 午後,21.772
26332,01/14/21 06:00:00 午後,21.795
26333,01/14/21 07:00:00 午後,21.795
26334,01/14/21 08:00:00 午後,21.867
26335,01/14/21 09:00:00 午後,21.867
26336,01/14/21 10:00:00 午後,21.318
26337,01/14/21 11:00:00 午後,21.294
26338,01/15/21 12:00:00 午前,21.294
26339,01/15/21 01:00:00 午前,21.39
26340,01/15/21 02:00:00 午前,21.437
26341,01/15/21 03:00:00 午前,21.461
26342,01/15/21 04:00:00 午前,21.509
26343,01/15/21 05:00:00 午前,21.509
26344,01/15/21 06:00:00 午前,21.533
26345,01/15/21 07:00:00 午前,21.533
26346,01/15/21 08:00:00 午前,21.533
26347,01/15/21 09:00:00 午前,21.628
26348,01/15/21 10:00:00 午前,21.628
26349,01/15/21 11:00:00 午前,21.652
26350,01/15/21 12:00:00 午後,21.628
26351,01/15/21 01:00:00 午後,21.652
26352,01/15/21 02:00:00 午後,21.652
26353,01/15/21 03:00:00 午後,21.652
26354,01/15/21 04:00:00 午後,21.652
26355,01/15/21 05:00:00 午後,21.652
26356,01/15/21 06:00:00 午後,21.7
26357,01/15/21 07:00:00 午後,21.724
26358,01/15/21 08:00:00 午後,21.748
26359,01/15/21 09:00:00 午後,21.772
26360,01/15/21 10:00:00 午後,21.795
26361,01/15/21 11:00:00 午後,21.772
26362,01/16/21 12:00:00 午前,21.795
26363,01/16/21 01:00:00 午前,21.772
26364,01/16/21 02:00:00 午前,21.795
26365,01/16/21 03:00:00 午前,21.652
26366,01/16/21 04:00:00 午前,21.557
26367,01/16/21 05:00:00 午前,21.533
26368,01/16/21 06:00:00 午前,21.533
26369,01/16/21 07:00:00 午前,21.581
26370,01/16/21 08:00:00 午前,21.581
26371,01/16/21 09:00:00 午前,21.604
26372,01/16/21 10:00:00 午前,21.652
26373,01/16/21 11:00:00 午前,21.628
26374,01/16/21 12:00:00 午後,21.628
26375,01/16/21 01:00:00 午後,21.604
26376,01/16/21 02:00:00 午後,21.581
26377,01/16/21 03:00:00 午後,21.557
26378,01/16/21 04:00:00 午後,21.557
26379,01/16/21 05:00:00 午後,21.533
26380,01/16/21 06:00:00 午後,21.557
26381,01/16/21 07:00:00 午後,21.557
26382,01/16/21 08:00:00 午後,21.557
26383,01/16/21 09:00:00 午後,21.509
26384,01/16/21 10:00:00 午後,21.485
26385,01/16/21 11:00:00 午後,21.437
26386,01/17/21 12:00:00 午前,21.485
26387,01/17/21 01:00:00 午前,21.509
26388,01/17/21 02:00:00 午前,21.509
26389,01/17/21 03:00:00 午前,21.533
26390,01/17/21 04:00:00 午前,21.509
26391,01/17/21 05:00:00 午前,21.509
26392,01/17/21 06:00:00 午前,21.461
26393,01/17/21 07:00:00 午前,21.413
26394,01/17/21 08:00:00 午前,21.437
26395,01/17/21 09:00:00 午前,21.437
26396,01/17/21 10:00:00 午前,21.485
26397,01/17/21 11:00:00 午前,21.485
26398,01/17/21 12:00:00 午後,21.437
26399,01/17/21 01:00:00 午後,21.366
26400,01/17/21 02:00:00 午後,21.175
26401,01/17/21 03:00:00 午後,21.127
26402,01/17/21 04:00:00 午後,21.199
26403,01/17/21 05:00:00 午後,21.199
26404,01/17/21 06:00:00 午後,21.175
26405,01/17/21 07:00:00 午後,21.175
26406,01/17/21 08:00:00 午後,21.246
26407,01/17/21 09:00:00 午後,21.318
26408,01/17/21 10:00:00 午後,21.342
26409,01/17/21 11:00:00 午後,21.318
26410,01/18/21 12:00:00 午前,21.294
26411,01/18/21 01:00:00 午前,21.294
26412,01/18/21 02:00:00 午前,21.294
26413,01/18/21 03:00:00 午前,21.294
26414,01/18/21 04:00:00 午前,21.27
26415,01/18/21 05:00:00 午前,21.175
26416,01/18/21 06:00:00 午前,20.913
26417,01/18/21 07:00:00 午前,20.817
26418,01/18/21 08:00:00 午前,20.865
26419,01/18/21 09:00:00 午前,20.889
26420,01/18/21 10:00:00 午前,20.889
26421,01/18/21 11:00:00 午前,20.865
26422,01/18/21 12:00:00 午後,20.96
26423,01/18/21 01:00:00 午後,21.103
26424,01/18/21 02:00:00 午後,21.223
26425,01/18/21 03:00:00 午後,21.151
26426,01/18/21 04:00:00 午後,21.151
26427,01/18/21 05:00:00 午後,21.199
26428,01/18/21 06:00:00 午後,20.579
26429,01/18/21 07:00:00 午後,20.555
26430,01/18/21 08:00:00 午後,20.96
26431,01/18/21 09:00:00 午後,20.984
26432,01/18/21 10:00:00 午後,20.984
26433,01/18/21 11:00:00 午後,20.603
26434,01/19/21 12:00:00 午前,20.793
26435,01/19/21 01:00:00 午前,20.793
26436,01/19/21 02:00:00 午前,20.817
26437,01/19/21 03:00:00 午前,20.746
26438,01/19/21 04:00:00 午前,20.77
26439,01/19/21 05:00:00 午前,20.746
26440,01/19/21 06:00:00 午前,20.698
26441,01/19/21 07:00:00 午前,20.627
26442,01/19/21 08:00:00 午前,20.603
26443,01/19/21 09:00:00 午前,20.579
26444,01/19/21 10:00:00 午前,20.603
26445,01/19/21 11:00:00 午前,20.603
26446,01/19/21 12:00:00 午後,20.555
26447,01/19/21 01:00:00 午後,20.579
26448,01/19/21 02:00:00 午後,20.579
26449,01/19/21 03:00:00 午後,20.603
26450,01/19/21 04:00:00 午後,20.627
26451,01/19/21 05:00:00 午後,20.698
26452,01/19/21 06:00:00 午後,20.77
26453,01/19/21 07:00:00 午後,20.746
26454,01/19/21 08:00:00 午後,20.531
26455,01/19/21 09:00:00 午後,20.627
26456,01/19/21 10:00:00 午後,20.484
26457,01/19/21 11:00:00 午後,20.507
26458,01/20/21 12:00:00 午前,20.484
26459,01/20/21 01:00:00 午前,20.507
26460,01/20/21 02:00:00 午前,20.531
26461,01/20/21 03:00:00 午前,20.388
26462,01/20/21 04:00:00 午前,20.484
26463,01/20/21 05:00:00 午前,20.484
26464,01/20/21 06:00:00 午前,20.507
26465,01/20/21 07:00:00 午前,20.484
26466,01/20/21 08:00:00 午前,20.484
26467,01/20/21 09:00:00 午前,20.484
26468,01/20/21 10:00:00 午前,20.65
26469,01/20/21 11:00:00 午前,20.865
26470,01/20/21 12:00:00 午後,20.722
26471,01/20/21 01:00:00 午後,20.841
26472,01/20/21 02:00:00 午後,20.96
26473,01/20/21 03:00:00 午後,21.032
26474,01/20/21 04:00:00 午後,21.008
26475,01/20/21 05:00:00 午後,20.65
26476,01/20/21 06:00:00 午後,20.627
26477,01/20/21 07:00:00 午後,20.579
26478,01/20/21 08:00:00 午後,20.603
26479,01/20/21 09:00:00 午後,20.627
26480,01/20/21 10:00:00 午後,20.627
26481,01/20/21 11:00:00 午後,20.531
26482,01/21/21 12:00:00 午前,20.531
26483,01/21/21 01:00:00 午前,20.46
26484,01/21/21 02:00:00 午前,20.412
26485,01/21/21 03:00:00 午前,20.484
26486,01/21/21 04:00:00 午前,20.531
26487,01/21/21 05:00:00 午前,20.531
26488,01/21/21 06:00:00 午前,19.888
26489,01/21/21 07:00:00 午前,19.865
26490,01/21/21 08:00:00 午前,19.841
26491,01/21/21 09:00:00 午前,19.722
26492,01/21/21 10:00:00 午前,19.793
26493,01/21/21 11:00:00 午前,19.817
26494,01/21/21 12:00:00 午後,19.722
26495,01/21/21 01:00:00 午後,19.627
26496,01/21/21 02:00:00 午後,19.603
26497,01/21/21 03:00:00 午後,19.627
26498,01/21/21 04:00:00 午後,19.746
26499,01/21/21 05:00:00 午後,19.841
26500,01/21/21 06:00:00 午後,20.055
26501,01/21/21 07:00:00 午後,20.317
26502,01/21/21 08:00:00 午後,20.412
26503,01/21/21 09:00:00 午後,20.436
26504,01/21/21 10:00:00 午後,20.484
26505,01/21/21 11:00:00 午後,20.484
26506,01/22/21 12:00:00 午前,20.507
26507,01/22/21 01:00:00 午前,20.46
26508,01/22/21 02:00:00 午前,20.412
26509,01/22/21 03:00:00 午前,20.388
26510,01/22/21 04:00:00 午前,19.627
26511,01/22/21 05:00:00 午前,19.651
26512,01/22/21 06:00:00 午前,19.46
26513,01/22/21 07:00:00 午前,19.318
26514,01/22/21 08:00:00 午前,19.294
26515,01/22/21 09:00:00 午前,19.294
26516,01/22/21 10:00:00 午前,19.341
26517,01/22/21 11:00:00 午前,19.341
26518,01/22/21 12:00:00 午後,19.341
26519,01/22/21 01:00:00 午後,19.46
26520,01/22/21 02:00:00 午後,19.627
26521,01/22/21 03:00:00 午後,19.746
26522,01/22/21 04:00:00 午後,19.746
26523,01/22/21 05:00:00 午後,19.722
26524,01/22/21 06:00:00 午後,19.865
26525,01/22/21 07:00:00 午後,19.888
26526,01/22/21 08:00:00 午後,19.865
26527,01/22/21 09:00:00 午後,19.865
26528,01/22/21 10:00:00 午後,19.888
26529,01/22/21 11:00:00 午後,19.936
26530,01/23/21 12:00:00 午前,19.817
26531,01/23/21 01:00:00 午前,19.627
26532,01/23/21 02:00:00 午前,19.627
26533,01/23/21 03:00:00 午前,19.627
26534,01/23/21 04:00:00 午前,19.627
26535,01/23/21 05:00:00 午前,19.627
26536,01/23/21 06:00:00 午前,19.722
26537,01/23/21 07:00:00 午前,19.912
26538,01/23/21 08:00:00 午前,20.007
26539,01/23/21 09:00:00 午前,20.126
26540,01/23/21 10:00:00 午前,20.174
26541,01/23/21 11:00:00 午前,20.198
26542,01/23/21 12:00:00 午後,19.96
26543,01/23/21 01:00:00 午後,20.055
26544,01/23/21 02:00:00 午後,20.103
26545,01/23/21 03:00:00 午後,20.079
26546,01/23/21 04:00:00 午後,20.007
26547,01/23/21 05:00:00 午後,20.079
26548,01/23/21 06:00:00 午後,19.77
26549,01/23/21 07:00:00 午後,19.77
26550,01/23/21 08:00:00 午後,19.77
26551,01/23/21 09:00:00 午後,19.793
26552,01/23/21 10:00:00 午後,19.912
26553,01/23/21 11:00:00 午後,19.865
26554,01/24/21 12:00:00 午前,19.841
26555,01/24/21 01:00:00 午前,19.722
26556,01/24/21 02:00:00 午前,19.722
26557,01/24/21 03:00:00 午前,19.746
26558,01/24/21 04:00:00 午前,19.793
26559,01/24/21 05:00:00 午前,19.793
26560,01/24/21 06:00:00 午前,19.817
26561,01/24/21 07:00:00 午前,19.817
26562,01/24/21 08:00:00 午前,19.77
26563,01/24/21 09:00:00 午前,19.77
26564,01/24/21 10:00:00 午前,19.793
26565,01/24/21 11:00:00 午前,19.817
26566,01/24/21 12:00:00 午後,19.817
26567,01/24/21 01:00:00 午後,19.817
26568,01/24/21 02:00:00 午後,19.793
26569,01/24/21 03:00:00 午後,19.841
26570,01/24/21 04:00:00 午後,19.841
26571,01/24/21 05:00:00 午後,19.841
26572,01/24/21 06:00:00 午後,19.865
26573,01/24/21 07:00:00 午後,19.96
26574,01/24/21 08:00:00 午後,20.007
26575,01/24/21 09:00:00 午後,20.079
26576,01/24/21 10:00:00 午後,20.103
26577,01/24/21 11:00:00 午後,20.198
26578,01/25/21 12:00:00 午前,20.246
26579,01/25/21 01:00:00 午前,20.222
26580,01/25/21 02:00:00 午前,20.222
26581,01/25/21 03:00:00 午前,20.246
26582,01/25/21 04:00:00 午前,20.269
26583,01/25/21 05:00:00 午前,20.293
26584,01/25/21 06:00:00 午前,20.341
26585,01/25/21 07:00:00 午前,20.365
26586,01/25/21 08:00:00 午前,20.388
26587,01/25/21 09:00:00 午前,20.388
26588,01/25/21 10:00:00 午前,20.412
26589,01/25/21 11:00:00 午前,20.317
26590,01/25/21 12:00:00 午後,20.341
26591,01/25/21 01:00:00 午後,20.365
26592,01/25/21 02:00:00 午後,20.341
26593,01/25/21 03:00:00 午後,20.341
26594,01/25/21 04:00:00 午後,20.365
26595,01/25/21 05:00:00 午後,20.412
26596,01/25/21 06:00:00 午後,20.412
26597,01/25/21 07:00:00 午後,20.436
26598,01/25/21 08:00:00 午後,20.436
26599,01/25/21 09:00:00 午後,20.46
26600,01/25/21 10:00:00 午後,20.46
26601,01/25/21 11:00:00 午後,20.388
26602,01/26/21 12:00:00 午前,20.388
26603,01/26/21 01:00:00 午前,20.246
26604,01/26/21 02:00:00 午前,20.388
26605,01/26/21 03:00:00 午前,20.698
26606,01/26/21 04:00:00 午前,20.793
26607,01/26/21 05:00:00 午前,20.841
26608,01/26/21 06:00:00 午前,20.889
26609,01/26/21 07:00:00 午前,20.96
26610,01/26/21 08:00:00 午前,20.984
26611,01/26/21 09:00:00 午前,20.293
26612,01/26/21 10:00:00 午前,20.198
26613,01/26/21 11:00:00 午前,20.317
26614,01/26/21 12:00:00 午後,20.627
26615,01/26/21 01:00:00 午後,20.817
26616,01/26/21 02:00:00 午後,21.079
26617,01/26/21 03:00:00 午後,21.103
26618,01/26/21 04:00:00 午後,21.199
26619,01/26/21 05:00:00 午後,21.246
26620,01/26/21 06:00:00 午後,21.151
26621,01/26/21 07:00:00 午後,21.127
26622,01/26/21 08:00:00 午後,20.936
26623,01/26/21 09:00:00 午後,20.889
26624,01/26/21 10:00:00 午後,21.008
26625,01/26/21 11:00:00 午後,21.127
26626,01/27/21 12:00:00 午前,21.199
26627,01/27/21 01:00:00 午前,21.151
26628,01/27/21 02:00:00 午前,21.151
26629,01/27/21 03:00:00 午前,21.151
26630,01/27/21 04:00:00 午前,21.246
