プロット タイトル: site21_spot011_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291294, SEN S/N: 20291294, LBL: ℃)",カプラー取り外し (LGR S/N: 20291294),カプラー取り付け (LGR S/N: 20291294),ホスト接続 (LGR S/N: 20291294),停止済み (LGR S/N: 20291294),ファイルの終わり (LGR S/N: 20291294)
254,01/02/24 12:00:00 午前,17.415,,,,,
255,01/02/24 01:00:00 午前,17.296,,,,,
256,01/02/24 02:00:00 午前,17.51,,,,,
257,01/02/24 03:00:00 午前,17.32,,,,,
258,01/02/24 04:00:00 午前,17.201,,,,,
259,01/02/24 05:00:00 午前,16.987,,,,,
260,01/02/24 06:00:00 午前,17.011,,,,,
261,01/02/24 07:00:00 午前,17.153,,,,,
262,01/02/24 08:00:00 午前,17.058,,,,,
263,01/02/24 09:00:00 午前,17.201,,,,,
264,01/02/24 10:00:00 午前,17.106,,,,,
265,01/02/24 11:00:00 午前,17.201,,,,,
266,01/02/24 12:00:00 午後,17.677,,,,,
267,01/02/24 01:00:00 午後,17.582,,,,,
268,01/02/24 02:00:00 午後,17.582,,,,,
269,01/02/24 03:00:00 午後,17.629,,,,,
270,01/02/24 04:00:00 午後,17.605,,,,,
271,01/02/24 05:00:00 午後,17.582,,,,,
272,01/02/24 06:00:00 午後,17.558,,,,,
273,01/02/24 07:00:00 午後,17.486,,,,,
274,01/02/24 08:00:00 午後,17.439,,,,,
275,01/02/24 09:00:00 午後,17.391,,,,,
276,01/02/24 10:00:00 午後,17.344,,,,,
277,01/02/24 11:00:00 午後,17.201,,,,,
278,01/03/24 12:00:00 午前,17.106,,,,,
279,01/03/24 01:00:00 午前,17.177,,,,,
280,01/03/24 02:00:00 午前,16.987,,,,,
281,01/03/24 03:00:00 午前,16.963,,,,,
282,01/03/24 04:00:00 午前,16.987,,,,,
283,01/03/24 05:00:00 午前,16.915,,,,,
284,01/03/24 06:00:00 午前,16.82,,,,,
285,01/03/24 07:00:00 午前,16.844,,,,,
286,01/03/24 08:00:00 午前,16.844,,,,,
287,01/03/24 09:00:00 午前,16.987,,,,,
288,01/03/24 10:00:00 午前,17.058,,,,,
289,01/03/24 11:00:00 午前,17.177,,,,,
290,01/03/24 12:00:00 午後,17.225,,,,,
291,01/03/24 01:00:00 午後,17.249,,,,,
292,01/03/24 02:00:00 午後,17.296,,,,,
293,01/03/24 03:00:00 午後,17.272,,,,,
294,01/03/24 04:00:00 午後,17.201,,,,,
295,01/03/24 05:00:00 午後,17.13,,,,,
296,01/03/24 06:00:00 午後,17.011,,,,,
297,01/03/24 07:00:00 午後,17.011,,,,,
298,01/03/24 08:00:00 午後,17.058,,,,,
299,01/03/24 09:00:00 午後,16.915,,,,,
300,01/03/24 10:00:00 午後,17.13,,,,,
301,01/03/24 11:00:00 午後,17.011,,,,,
302,01/04/24 12:00:00 午前,16.963,,,,,
303,01/04/24 01:00:00 午前,16.796,,,,,
304,01/04/24 02:00:00 午前,16.796,,,,,
305,01/04/24 03:00:00 午前,16.844,,,,,
306,01/04/24 04:00:00 午前,16.892,,,,,
307,01/04/24 05:00:00 午前,16.701,,,,,
308,01/04/24 06:00:00 午前,16.677,,,,,
309,01/04/24 07:00:00 午前,16.63,,,,,
310,01/04/24 08:00:00 午前,16.439,,,,,
311,01/04/24 09:00:00 午前,16.582,,,,,
312,01/04/24 10:00:00 午前,16.82,,,,,
313,01/04/24 11:00:00 午前,16.868,,,,,
314,01/04/24 12:00:00 午後,16.939,,,,,
315,01/04/24 01:00:00 午後,16.892,,,,,
316,01/04/24 02:00:00 午後,16.844,,,,,
317,01/04/24 03:00:00 午後,16.987,,,,,
318,01/04/24 04:00:00 午後,17.13,,,,,
319,01/04/24 05:00:00 午後,17.082,,,,,
320,01/04/24 06:00:00 午後,16.915,,,,,
321,01/04/24 07:00:00 午後,17.058,,,,,
322,01/04/24 08:00:00 午後,16.963,,,,,
323,01/04/24 09:00:00 午後,16.868,,,,,
324,01/04/24 10:00:00 午後,16.963,,,,,
325,01/04/24 11:00:00 午後,16.939,,,,,
326,01/05/24 12:00:00 午前,16.796,,,,,
327,01/05/24 01:00:00 午前,16.773,,,,,
328,01/05/24 02:00:00 午前,16.725,,,,,
329,01/05/24 03:00:00 午前,16.677,,,,,
330,01/05/24 04:00:00 午前,16.701,,,,,
331,01/05/24 05:00:00 午前,16.654,,,,,
332,01/05/24 06:00:00 午前,16.606,,,,,
333,01/05/24 07:00:00 午前,16.725,,,,,
334,01/05/24 08:00:00 午前,16.558,,,,,
335,01/05/24 09:00:00 午前,16.582,,,,,
336,01/05/24 10:00:00 午前,16.725,,,,,
337,01/05/24 11:00:00 午前,16.844,,,,,
338,01/05/24 12:00:00 午後,17.153,,,,,
339,01/05/24 01:00:00 午後,17.058,,,,,
340,01/05/24 02:00:00 午後,17.106,,,,,
341,01/05/24 03:00:00 午後,17.177,,,,,
342,01/05/24 04:00:00 午後,17.153,,,,,
343,01/05/24 05:00:00 午後,17.034,,,,,
344,01/05/24 06:00:00 午後,16.844,,,,,
345,01/05/24 07:00:00 午後,16.82,,,,,
346,01/05/24 08:00:00 午後,16.796,,,,,
347,01/05/24 09:00:00 午後,16.844,,,,,
348,01/05/24 10:00:00 午後,16.82,,,,,
349,01/05/24 11:00:00 午後,16.868,,,,,
350,01/06/24 12:00:00 午前,16.773,,,,,
351,01/06/24 01:00:00 午前,16.701,,,,,
352,01/06/24 02:00:00 午前,16.582,,,,,
353,01/06/24 03:00:00 午前,16.654,,,,,
354,01/06/24 04:00:00 午前,16.654,,,,,
355,01/06/24 05:00:00 午前,16.773,,,,,
356,01/06/24 06:00:00 午前,16.773,,,,,
357,01/06/24 07:00:00 午前,16.844,,,,,
358,01/06/24 08:00:00 午前,16.844,,,,,
359,01/06/24 09:00:00 午前,16.844,,,,,
360,01/06/24 10:00:00 午前,16.963,,,,,
361,01/06/24 11:00:00 午前,17.034,,,,,
362,01/06/24 12:00:00 午後,17.177,,,,,
363,01/06/24 01:00:00 午後,17.249,,,,,
364,01/06/24 02:00:00 午後,17.249,,,,,
365,01/06/24 03:00:00 午後,17.272,,,,,
366,01/06/24 04:00:00 午後,17.272,,,,,
