プロット タイトル: site21_spot011_2022,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054296, SEN S/N: 20054296, LBL: ℃)"
213,01/26/22 09:00:00 午前,18.842
214,01/26/22 10:00:00 午前,19.246
215,01/26/22 11:00:00 午前,19.436
216,01/26/22 12:00:00 午後,19.484
217,01/26/22 01:00:00 午後,19.555
218,01/26/22 02:00:00 午後,19.579
219,01/26/22 03:00:00 午後,19.627
220,01/26/22 04:00:00 午後,19.532
221,01/26/22 05:00:00 午後,19.532
222,01/26/22 06:00:00 午後,19.341
223,01/26/22 07:00:00 午後,19.341
224,01/26/22 08:00:00 午後,19.222
225,01/26/22 09:00:00 午後,19.222
226,01/26/22 10:00:00 午後,19.127
227,01/26/22 11:00:00 午後,19.151
228,01/27/22 12:00:00 午前,19.199
229,01/27/22 01:00:00 午前,19.103
230,01/27/22 02:00:00 午前,19.103
231,01/27/22 03:00:00 午前,19.127
232,01/27/22 04:00:00 午前,19.056
233,01/27/22 05:00:00 午前,19.008
234,01/27/22 06:00:00 午前,18.985
235,01/27/22 07:00:00 午前,19.008
236,01/27/22 08:00:00 午前,18.961
237,01/27/22 09:00:00 午前,19.008
238,01/27/22 10:00:00 午前,18.985
239,01/27/22 11:00:00 午前,19.056
240,01/27/22 12:00:00 午後,19.175
241,01/27/22 01:00:00 午後,19.413
242,01/27/22 02:00:00 午後,19.436
243,01/27/22 03:00:00 午後,19.413
244,01/27/22 04:00:00 午後,19.341
245,01/27/22 05:00:00 午後,19.318
246,01/27/22 06:00:00 午後,19.294
247,01/27/22 07:00:00 午後,19.199
248,01/27/22 08:00:00 午後,18.985
249,01/27/22 09:00:00 午後,19.008
250,01/27/22 10:00:00 午後,18.937
251,01/27/22 11:00:00 午後,18.961
252,01/28/22 12:00:00 午前,18.889
253,01/28/22 01:00:00 午前,18.889
254,01/28/22 02:00:00 午前,18.913
255,01/28/22 03:00:00 午前,18.818
256,01/28/22 04:00:00 午前,18.723
257,01/28/22 05:00:00 午前,18.675
258,01/28/22 06:00:00 午前,18.675
259,01/28/22 07:00:00 午前,18.723
260,01/28/22 08:00:00 午前,18.699
261,01/28/22 09:00:00 午前,18.675
262,01/28/22 10:00:00 午前,18.747
263,01/28/22 11:00:00 午前,18.961
264,01/28/22 12:00:00 午後,19.103
265,01/28/22 01:00:00 午後,19.127
266,01/28/22 02:00:00 午後,19.222
267,01/28/22 03:00:00 午後,19.222
268,01/28/22 04:00:00 午後,19.127
269,01/28/22 05:00:00 午後,19.032
270,01/28/22 06:00:00 午後,19.008
271,01/28/22 07:00:00 午後,18.866
272,01/28/22 08:00:00 午後,18.771
273,01/28/22 09:00:00 午後,18.652
274,01/28/22 10:00:00 午後,18.604
275,01/28/22 11:00:00 午後,18.509
276,01/29/22 12:00:00 午前,18.509
277,01/29/22 01:00:00 午前,18.604
278,01/29/22 02:00:00 午前,18.604
279,01/29/22 03:00:00 午前,18.604
280,01/29/22 04:00:00 午前,18.628
281,01/29/22 05:00:00 午前,18.58
282,01/29/22 06:00:00 午前,18.485
283,01/29/22 07:00:00 午前,18.438
284,01/29/22 08:00:00 午前,18.509
285,01/29/22 09:00:00 午前,18.461
286,01/29/22 10:00:00 午前,18.509
287,01/29/22 11:00:00 午前,18.604
288,01/29/22 12:00:00 午後,18.723
289,01/29/22 01:00:00 午後,18.747
290,01/29/22 02:00:00 午後,18.771
291,01/29/22 03:00:00 午後,18.747
292,01/29/22 04:00:00 午後,18.723
293,01/29/22 05:00:00 午後,18.699
