プロット タイトル: site07_spot005_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20280582, SEN S/N: 20280582)"
1346,01/02/21 10:30:00 午前,23.4
1347,01/02/21 11:00:00 午前,23.424
1348,01/02/21 11:30:00 午前,23.472
1349,01/02/21 12:00:00 午後,23.497
1350,01/02/21 12:30:00 午後,23.569
1351,01/02/21 01:00:00 午後,23.593
1352,01/02/21 01:30:00 午後,23.641
1353,01/02/21 02:00:00 午後,23.665
1354,01/02/21 02:30:00 午後,23.689
1355,01/02/21 03:00:00 午後,23.665
1356,01/02/21 03:30:00 午後,23.617
1357,01/02/21 04:00:00 午後,23.617
1358,01/02/21 04:30:00 午後,23.593
1359,01/02/21 05:00:00 午後,23.569
1360,01/02/21 05:30:00 午後,23.521
1361,01/02/21 06:00:00 午後,23.448
1362,01/02/21 06:30:00 午後,23.472
1363,01/02/21 07:00:00 午後,23.472
1364,01/02/21 07:30:00 午後,23.4
1365,01/02/21 08:00:00 午後,23.4
1366,01/02/21 08:30:00 午後,23.376
1367,01/02/21 09:00:00 午後,23.376
1368,01/02/21 09:30:00 午後,23.376
1369,01/02/21 10:00:00 午後,23.352
1370,01/02/21 10:30:00 午後,23.328
1371,01/02/21 11:00:00 午後,23.256
1372,01/02/21 11:30:00 午後,23.256
1373,01/03/21 12:00:00 午前,23.256
1374,01/03/21 12:30:00 午前,23.16
1375,01/03/21 01:00:00 午前,23.16
1376,01/03/21 01:30:00 午前,23.04
1377,01/03/21 02:00:00 午前,22.944
1378,01/03/21 02:30:00 午前,22.968
1379,01/03/21 03:00:00 午前,23.16
1380,01/03/21 03:30:00 午前,23.352
1381,01/03/21 04:00:00 午前,23.376
1382,01/03/21 04:30:00 午前,23.376
1383,01/03/21 05:00:00 午前,23.4
1384,01/03/21 05:30:00 午前,23.376
1385,01/03/21 06:00:00 午前,23.4
1386,01/03/21 06:30:00 午前,23.328
1387,01/03/21 07:00:00 午前,23.28
1388,01/03/21 07:30:00 午前,23.304
1389,01/03/21 08:00:00 午前,23.352
1390,01/03/21 08:30:00 午前,23.328
1391,01/03/21 09:00:00 午前,23.28
1392,01/03/21 09:30:00 午前,22.992
1393,01/03/21 10:00:00 午前,22.968
1394,01/03/21 10:30:00 午前,23.064
1395,01/03/21 11:00:00 午前,23.232
1396,01/03/21 11:30:00 午前,23.4
1397,01/03/21 12:00:00 午後,23.376
1398,01/03/21 12:30:00 午後,23.376
1399,01/03/21 01:00:00 午後,23.4
1400,01/03/21 01:30:00 午後,23.4
1401,01/03/21 02:00:00 午後,23.4
1402,01/03/21 02:30:00 午後,23.352
1403,01/03/21 03:00:00 午後,23.376
1404,01/03/21 03:30:00 午後,23.448
1405,01/03/21 04:00:00 午後,23.521
1406,01/03/21 04:30:00 午後,23.593
1407,01/03/21 05:00:00 午後,23.593
1408,01/03/21 05:30:00 午後,23.593
1409,01/03/21 06:00:00 午後,23.569
1410,01/03/21 06:30:00 午後,23.545
1411,01/03/21 07:00:00 午後,23.472
1412,01/03/21 07:30:00 午後,23.521
1413,01/03/21 08:00:00 午後,23.472
1414,01/03/21 08:30:00 午後,23.424
1415,01/03/21 09:00:00 午後,23.4
1416,01/03/21 09:30:00 午後,23.376
1417,01/03/21 10:00:00 午後,23.376
1418,01/03/21 10:30:00 午後,23.352
1419,01/03/21 11:00:00 午後,23.352
1420,01/03/21 11:30:00 午後,23.328
1421,01/04/21 12:00:00 午前,23.28
1422,01/04/21 12:30:00 午前,23.256
1423,01/04/21 01:00:00 午前,23.232
1424,01/04/21 01:30:00 午前,23.208
1425,01/04/21 02:00:00 午前,23.184
1426,01/04/21 02:30:00 午前,23.136
1427,01/04/21 03:00:00 午前,23.088
1428,01/04/21 03:30:00 午前,23.112
1429,01/04/21 04:00:00 午前,23.16
1430,01/04/21 04:30:00 午前,23.376
1431,01/04/21 05:00:00 午前,23.497
1432,01/04/21 05:30:00 午前,23.497
1433,01/04/21 06:00:00 午前,23.352
1434,01/04/21 06:30:00 午前,23.208
1435,01/04/21 07:00:00 午前,23.448
1436,01/04/21 07:30:00 午前,23.521
1437,01/04/21 08:00:00 午前,23.545
1438,01/04/21 08:30:00 午前,23.617
1439,01/04/21 09:00:00 午前,23.641
1440,01/04/21 09:30:00 午前,23.545
1441,01/04/21 10:00:00 午前,23.545
1442,01/04/21 10:30:00 午前,23.545
1443,01/04/21 11:00:00 午前,23.545
1444,01/04/21 11:30:00 午前,23.569
1445,01/04/21 12:00:00 午後,23.545
1446,01/04/21 12:30:00 午後,23.545
1447,01/04/21 01:00:00 午後,23.593
1448,01/04/21 01:30:00 午後,23.545
1449,01/04/21 02:00:00 午後,23.545
1450,01/04/21 02:30:00 午後,23.545
1451,01/04/21 03:00:00 午後,23.497
1452,01/04/21 03:30:00 午後,23.617
1453,01/04/21 04:00:00 午後,23.689
1454,01/04/21 04:30:00 午後,23.785
1455,01/04/21 05:00:00 午後,23.833
1456,01/04/21 05:30:00 午後,23.833
1457,01/04/21 06:00:00 午後,23.809
1458,01/04/21 06:30:00 午後,23.785
1459,01/04/21 07:00:00 午後,23.761
1460,01/04/21 07:30:00 午後,23.665
1461,01/04/21 08:00:00 午後,23.713
1462,01/04/21 08:30:00 午後,23.689
1463,01/04/21 09:00:00 午後,23.665
1464,01/04/21 09:30:00 午後,23.641
1465,01/04/21 10:00:00 午後,23.617
1466,01/04/21 10:30:00 午後,23.593
1467,01/04/21 11:00:00 午後,23.593
1468,01/04/21 11:30:00 午後,23.569
1469,01/05/21 12:00:00 午前,23.569
1470,01/05/21 12:30:00 午前,23.545
1471,01/05/21 01:00:00 午前,23.472
1472,01/05/21 01:30:00 午前,23.472
1473,01/05/21 02:00:00 午前,23.472
1474,01/05/21 02:30:00 午前,23.376
1475,01/05/21 03:00:00 午前,23.352
1476,01/05/21 03:30:00 午前,23.304
1477,01/05/21 04:00:00 午前,23.328
1478,01/05/21 04:30:00 午前,23.376
1479,01/05/21 05:00:00 午前,23.545
1480,01/05/21 05:30:00 午前,23.593
1481,01/05/21 06:00:00 午前,23.593
1482,01/05/21 06:30:00 午前,23.545
1483,01/05/21 07:00:00 午前,23.545
1484,01/05/21 07:30:00 午前,23.545
1485,01/05/21 08:00:00 午前,23.545
1486,01/05/21 08:30:00 午前,23.545
1487,01/05/21 09:00:00 午前,23.521
1488,01/05/21 09:30:00 午前,23.448
1489,01/05/21 10:00:00 午前,23.448
1490,01/05/21 10:30:00 午前,23.472
1491,01/05/21 11:00:00 午前,23.497
1492,01/05/21 11:30:00 午前,23.497
1493,01/05/21 12:00:00 午後,23.448
1494,01/05/21 12:30:00 午後,23.472
1495,01/05/21 01:00:00 午後,23.472
1496,01/05/21 01:30:00 午後,23.497
1497,01/05/21 02:00:00 午後,23.497
1498,01/05/21 02:30:00 午後,23.4
1499,01/05/21 03:00:00 午後,23.352
1500,01/05/21 03:30:00 午後,23.545
1501,01/05/21 04:00:00 午後,23.665
1502,01/05/21 04:30:00 午後,23.713
1503,01/05/21 05:00:00 午後,23.713
1504,01/05/21 05:30:00 午後,23.689
1505,01/05/21 06:00:00 午後,23.665
1506,01/05/21 06:30:00 午後,23.665
1507,01/05/21 07:00:00 午後,23.617
1508,01/05/21 07:30:00 午後,23.545
1509,01/05/21 08:00:00 午後,23.521
1510,01/05/21 08:30:00 午後,23.424
1511,01/05/21 09:00:00 午後,23.352
1512,01/05/21 09:30:00 午後,23.472
1513,01/05/21 10:00:00 午後,23.424
1514,01/05/21 10:30:00 午後,23.4
1515,01/05/21 11:00:00 午後,23.352
1516,01/05/21 11:30:00 午後,23.328
1517,01/06/21 12:00:00 午前,23.304
1518,01/06/21 12:30:00 午前,23.256
1519,01/06/21 01:00:00 午前,23.28
1520,01/06/21 01:30:00 午前,23.28
1521,01/06/21 02:00:00 午前,23.208
1522,01/06/21 02:30:00 午前,23.28
1523,01/06/21 03:00:00 午前,23.232
1524,01/06/21 03:30:00 午前,23.136
1525,01/06/21 04:00:00 午前,23.088
1526,01/06/21 04:30:00 午前,23.088
1527,01/06/21 05:00:00 午前,23.112
1528,01/06/21 05:30:00 午前,23.184
1529,01/06/21 06:00:00 午前,23.16
1530,01/06/21 06:30:00 午前,23.304
1531,01/06/21 07:00:00 午前,23.352
1532,01/06/21 07:30:00 午前,23.352
1533,01/06/21 08:00:00 午前,23.328
1534,01/06/21 08:30:00 午前,23.112
1535,01/06/21 09:00:00 午前,23.256
1536,01/06/21 09:30:00 午前,23.184
1537,01/06/21 10:00:00 午前,23.304
1538,01/06/21 10:30:00 午前,23.352
1539,01/06/21 11:00:00 午前,23.376
1540,01/06/21 11:30:00 午前,23.4
1541,01/06/21 12:00:00 午後,23.352
1542,01/06/21 12:30:00 午後,23.352
1543,01/06/21 01:00:00 午後,23.376
1544,01/06/21 01:30:00 午後,23.4
1545,01/06/21 02:00:00 午後,23.376
1546,01/06/21 02:30:00 午後,23.328
1547,01/06/21 03:00:00 午後,23.28
1548,01/06/21 03:30:00 午後,23.304
1549,01/06/21 04:00:00 午後,23.256
1550,01/06/21 04:30:00 午後,23.208
1551,01/06/21 05:00:00 午後,23.184
1552,01/06/21 05:30:00 午後,23.184
1553,01/06/21 06:00:00 午後,23.256
1554,01/06/21 06:30:00 午後,23.328
1555,01/06/21 07:00:00 午後,23.328
1556,01/06/21 07:30:00 午後,23.352
1557,01/06/21 08:00:00 午後,23.304
1558,01/06/21 08:30:00 午後,23.232
1559,01/06/21 09:00:00 午後,23.136
1560,01/06/21 09:30:00 午後,23.088
1561,01/06/21 10:00:00 午後,23.208
1562,01/06/21 10:30:00 午後,23.136
1563,01/06/21 11:00:00 午後,23.232
1564,01/06/21 11:30:00 午後,23.232
1565,01/07/21 12:00:00 午前,23.232
1566,01/07/21 12:30:00 午前,23.208
1567,01/07/21 01:00:00 午前,23.184
