プロット タイトル: site07_spot008_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20291299, SEN S/N: 20291299)"
1111,12/28/20 01:00:00 午後,23.833
1112,12/28/20 01:30:00 午後,23.857
1113,12/28/20 02:00:00 午後,23.905
1114,12/28/20 02:30:00 午後,23.978
1115,12/28/20 03:00:00 午後,23.881
1116,12/28/20 03:30:00 午後,23.881
1117,12/28/20 04:00:00 午後,23.881
1118,12/28/20 04:30:00 午後,23.833
1119,12/28/20 05:00:00 午後,23.785
1120,12/28/20 05:30:00 午後,23.737
1121,12/28/20 06:00:00 午後,23.713
1122,12/28/20 06:30:00 午後,23.785
1123,12/28/20 07:00:00 午後,23.905
1124,12/28/20 07:30:00 午後,23.978
1125,12/28/20 08:00:00 午後,24.002
1126,12/28/20 08:30:00 午後,24.002
1127,12/28/20 09:00:00 午後,24.002
1128,12/28/20 09:30:00 午後,24.002
1129,12/28/20 10:00:00 午後,23.978
1130,12/28/20 10:30:00 午後,23.978
1131,12/28/20 11:00:00 午後,23.905
1132,12/28/20 11:30:00 午後,23.833
1133,12/29/20 12:00:00 午前,23.713
1134,12/29/20 12:30:00 午前,23.785
1135,12/29/20 01:00:00 午前,23.833
1136,12/29/20 01:30:00 午前,23.857
1137,12/29/20 02:00:00 午前,23.881
1138,12/29/20 02:30:00 午前,23.954
1139,12/29/20 03:00:00 午前,24.002
1140,12/29/20 03:30:00 午前,24.002
1141,12/29/20 04:00:00 午前,24.026
1142,12/29/20 04:30:00 午前,24.05
1143,12/29/20 05:00:00 午前,24.05
1144,12/29/20 05:30:00 午前,24.05
1145,12/29/20 06:00:00 午前,24.05
1146,12/29/20 06:30:00 午前,24.026
1147,12/29/20 07:00:00 午前,24.026
1148,12/29/20 07:30:00 午前,24.026
1149,12/29/20 08:00:00 午前,24.026
1150,12/29/20 08:30:00 午前,24.026
1151,12/29/20 09:00:00 午前,24.05
1152,12/29/20 09:30:00 午前,24.05
1153,12/29/20 10:00:00 午前,24.05
1154,12/29/20 10:30:00 午前,24.074
1155,12/29/20 11:00:00 午前,24.098
1156,12/29/20 11:30:00 午前,24.122
1157,12/29/20 12:00:00 午後,24.171
1158,12/29/20 12:30:00 午後,24.171
1159,12/29/20 01:00:00 午後,24.243
1160,12/29/20 01:30:00 午後,24.243
1161,12/29/20 02:00:00 午後,24.243
1162,12/29/20 02:30:00 午後,24.146
1163,12/29/20 03:00:00 午後,23.978
1164,12/29/20 03:30:00 午後,23.954
1165,12/29/20 04:00:00 午後,23.93
1166,12/29/20 04:30:00 午後,23.954
1167,12/29/20 05:00:00 午後,23.93
1168,12/29/20 05:30:00 午後,23.954
1169,12/29/20 06:00:00 午後,24.002
1170,12/29/20 06:30:00 午後,24.074
1171,12/29/20 07:00:00 午後,24.171
1172,12/29/20 07:30:00 午後,24.219
1173,12/29/20 08:00:00 午後,24.243
1174,12/29/20 08:30:00 午後,24.267
1175,12/29/20 09:00:00 午後,24.267
1176,12/29/20 09:30:00 午後,24.267
1177,12/29/20 10:00:00 午後,24.267
1178,12/29/20 10:30:00 午後,24.243
1179,12/29/20 11:00:00 午後,24.146
1180,12/29/20 11:30:00 午後,24.122
1181,12/30/20 12:00:00 午前,24.195
1182,12/30/20 12:30:00 午前,24.219
1183,12/30/20 01:00:00 午前,24.219
1184,12/30/20 01:30:00 午前,24.195
1185,12/30/20 02:00:00 午前,24.171
1186,12/30/20 02:30:00 午前,24.122
1187,12/30/20 03:00:00 午前,24.05
1188,12/30/20 03:30:00 午前,24.026
1189,12/30/20 04:00:00 午前,23.978
1190,12/30/20 04:30:00 午前,23.978
1191,12/30/20 05:00:00 午前,24.026
1192,12/30/20 05:30:00 午前,24.05
1193,12/30/20 06:00:00 午前,24.098
1194,12/30/20 06:30:00 午前,24.026
1195,12/30/20 07:00:00 午前,23.833
1196,12/30/20 07:30:00 午前,23.713
1197,12/30/20 08:00:00 午前,23.761
1198,12/30/20 08:30:00 午前,23.809
1199,12/30/20 09:00:00 午前,23.785
1200,12/30/20 09:30:00 午前,23.713
1201,12/30/20 10:00:00 午前,23.545
1202,12/30/20 10:30:00 午前,23.424
1203,12/30/20 11:00:00 午前,23.256
1204,12/30/20 11:30:00 午前,23.713
1205,12/30/20 12:00:00 午後,23.881
1206,12/30/20 12:30:00 午後,23.93
1207,12/30/20 01:00:00 午後,23.833
1208,12/30/20 01:30:00 午後,23.641
1209,12/30/20 02:00:00 午後,23.232
1210,12/30/20 02:30:00 午後,23.016
1211,12/30/20 03:00:00 午後,22.441
1212,12/30/20 03:30:00 午後,22.872
1213,12/30/20 04:00:00 午後,23.088
1214,12/30/20 04:30:00 午後,22.968
1215,12/30/20 05:00:00 午後,22.824
1216,12/30/20 05:30:00 午後,22.657
1217,12/30/20 06:00:00 午後,22.226
1218,12/30/20 06:30:00 午後,22.369
1219,12/30/20 07:00:00 午後,22.25
1220,12/30/20 07:30:00 午後,22.226
1221,12/30/20 08:00:00 午後,22.896
1222,12/30/20 08:30:00 午後,23.328
1223,12/30/20 09:00:00 午後,23.472
1224,12/30/20 09:30:00 午後,23.4
1225,12/30/20 10:00:00 午後,23.256
1226,12/30/20 10:30:00 午後,23.208
1227,12/30/20 11:00:00 午後,22.944
1228,12/30/20 11:30:00 午後,22.824
1229,12/31/20 12:00:00 午前,22.657
1230,12/31/20 12:30:00 午前,22.633
1231,12/31/20 01:00:00 午前,22.561
1232,12/31/20 01:30:00 午前,22.298
1233,12/31/20 02:00:00 午前,22.13
1234,12/31/20 02:30:00 午前,22.011
1235,12/31/20 03:00:00 午前,22.13
1236,12/31/20 03:30:00 午前,22.417
1237,12/31/20 04:00:00 午前,21.987
1238,12/31/20 04:30:00 午前,22.106
1239,12/31/20 05:00:00 午前,22.776
1240,12/31/20 05:30:00 午前,22.705
1241,12/31/20 06:00:00 午前,22.106
1242,12/31/20 06:30:00 午前,22.369
1243,12/31/20 07:00:00 午前,22.848
1244,12/31/20 07:30:00 午前,23.304
1245,12/31/20 08:00:00 午前,23.376
1246,12/31/20 08:30:00 午前,23.352
1247,12/31/20 09:00:00 午前,23.376
1248,12/31/20 09:30:00 午前,23.256
1249,12/31/20 10:00:00 午前,23.232
1250,12/31/20 10:30:00 午前,23.112
1251,12/31/20 11:00:00 午前,22.729
1252,12/31/20 11:30:00 午前,22.776
1253,12/31/20 12:00:00 午後,22.824
1254,12/31/20 12:30:00 午後,22.609
1255,12/31/20 01:00:00 午後,22.513
1256,12/31/20 01:30:00 午後,22.321
1257,12/31/20 02:00:00 午後,22.154
1258,12/31/20 02:30:00 午後,21.795
1259,12/31/20 03:00:00 午後,21.533
1260,12/31/20 03:30:00 午後,21.843
1261,12/31/20 04:00:00 午後,22.465
1262,12/31/20 04:30:00 午後,22.681
1263,12/31/20 05:00:00 午後,22.753
1264,12/31/20 05:30:00 午後,22.872
1265,12/31/20 06:00:00 午後,22.944
1266,12/31/20 06:30:00 午後,22.944
1267,12/31/20 07:00:00 午後,23.04
1268,12/31/20 07:30:00 午後,23.016
1269,12/31/20 08:00:00 午後,22.968
1270,12/31/20 08:30:00 午後,22.992
1271,12/31/20 09:00:00 午後,23.112
1272,12/31/20 09:30:00 午後,23.328
1273,12/31/20 10:00:00 午後,23.328
1274,12/31/20 10:30:00 午後,23.352
1275,12/31/20 11:00:00 午後,23.232
1276,12/31/20 11:30:00 午後,22.944
1277,01/01/21 12:00:00 午前,22.178
1278,01/01/21 12:30:00 午前,21.509
1279,01/01/21 01:00:00 午前,21.103
1280,01/01/21 01:30:00 午前,20.984
1281,01/01/21 02:00:00 午前,20.77
1282,01/01/21 02:30:00 午前,20.674
1283,01/01/21 03:00:00 午前,20.722
1284,01/01/21 03:30:00 午前,20.674
1285,01/01/21 04:00:00 午前,20.913
1286,01/01/21 04:30:00 午前,21.151
1287,01/01/21 05:00:00 午前,21.485
1288,01/01/21 05:30:00 午前,22.202
1289,01/01/21 06:00:00 午前,22.489
1290,01/01/21 06:30:00 午前,22.633
1291,01/01/21 07:00:00 午前,22.298
1292,01/01/21 07:30:00 午前,22.321
1293,01/01/21 08:00:00 午前,23.136
1294,01/01/21 08:30:00 午前,23.256
1295,01/01/21 09:00:00 午前,23.304
1296,01/01/21 09:30:00 午前,23.304
1297,01/01/21 10:00:00 午前,23.304
1298,01/01/21 10:30:00 午前,23.328
1299,01/01/21 11:00:00 午前,23.304
1300,01/01/21 11:30:00 午前,23.328
1301,01/01/21 12:00:00 午後,22.8
1302,01/01/21 12:30:00 午後,22.824
1303,01/01/21 01:00:00 午後,22.896
1304,01/01/21 01:30:00 午後,22.92
1305,01/01/21 02:00:00 午後,22.848
1306,01/01/21 02:30:00 午後,22.872
1307,01/01/21 03:00:00 午後,22.968
1308,01/01/21 03:30:00 午後,23.04
1309,01/01/21 04:00:00 午後,23.088
1310,01/01/21 04:30:00 午後,23.16
1311,01/01/21 05:00:00 午後,23.136
1312,01/01/21 05:30:00 午後,23.064
1313,01/01/21 06:00:00 午後,22.944
1314,01/01/21 06:30:00 午後,22.968
1315,01/01/21 07:00:00 午後,23.016
1316,01/01/21 07:30:00 午後,23.016
1317,01/01/21 08:00:00 午後,23.064
1318,01/01/21 08:30:00 午後,23.16
1319,01/01/21 09:00:00 午後,23.232
1320,01/01/21 09:30:00 午後,23.328
1321,01/01/21 10:00:00 午後,23.352
1322,01/01/21 10:30:00 午後,23.352
1323,01/01/21 11:00:00 午後,23.304
1324,01/01/21 11:30:00 午後,23.256
1325,01/02/21 12:00:00 午前,23.184
1326,01/02/21 12:30:00 午前,23.064
1327,01/02/21 01:00:00 午前,23.112
1328,01/02/21 01:30:00 午前,23.136
1329,01/02/21 02:00:00 午前,23.112
1330,01/02/21 02:30:00 午前,23.112
1331,01/02/21 03:00:00 午前,22.968
1332,01/02/21 03:30:00 午前,22.944
1333,01/02/21 04:00:00 午前,22.872
1334,01/02/21 04:30:00 午前,22.8
1335,01/02/21 05:00:00 午前,22.753
1336,01/02/21 05:30:00 午前,22.274
1337,01/02/21 06:00:00 午前,22.345
1338,01/02/21 06:30:00 午前,22.321
1339,01/02/21 07:00:00 午前,22.298
1340,01/02/21 07:30:00 午前,22.633
1341,01/02/21 08:00:00 午前,22.561
1342,01/02/21 08:30:00 午前,22.681
1343,01/02/21 09:00:00 午前,22.8
1344,01/02/21 09:30:00 午前,22.968
1345,01/02/21 10:00:00 午前,23.112
1346,01/02/21 10:30:00 午前,23.352
1347,01/02/21 11:00:00 午前,23.424
1348,01/02/21 11:30:00 午前,23.472
1349,01/02/21 12:00:00 午後,23.448
1350,01/02/21 12:30:00 午後,23.4
1351,01/02/21 01:00:00 午後,23.28
1352,01/02/21 01:30:00 午後,23.232
1353,01/02/21 02:00:00 午後,23.208
1354,01/02/21 02:30:00 午後,23.256
1355,01/02/21 03:00:00 午後,23.256
1356,01/02/21 03:30:00 午後,23.184
1357,01/02/21 04:00:00 午後,23.208
1358,01/02/21 04:30:00 午後,23.136
1359,01/02/21 05:00:00 午後,23.064
1360,01/02/21 05:30:00 午後,23.064
1361,01/02/21 06:00:00 午後,23.064
1362,01/02/21 06:30:00 午後,22.992
1363,01/02/21 07:00:00 午後,23.016
1364,01/02/21 07:30:00 午後,23.016
1365,01/02/21 08:00:00 午後,23.064
1366,01/02/21 08:30:00 午後,23.088
1367,01/02/21 09:00:00 午後,23.088
1368,01/02/21 09:30:00 午後,23.184
1369,01/02/21 10:00:00 午後,23.256
1370,01/02/21 10:30:00 午後,23.256
1371,01/02/21 11:00:00 午後,23.28
1372,01/02/21 11:30:00 午後,23.256
1373,01/03/21 12:00:00 午前,23.232
1374,01/03/21 12:30:00 午前,23.136
1375,01/03/21 01:00:00 午前,23.064
1376,01/03/21 01:30:00 午前,22.896
1377,01/03/21 02:00:00 午前,22.585
1378,01/03/21 02:30:00 午前,22.417
1379,01/03/21 03:00:00 午前,22.393
1380,01/03/21 03:30:00 午前,22.657
1381,01/03/21 04:00:00 午前,22.753
1382,01/03/21 04:30:00 午前,22.872
1383,01/03/21 05:00:00 午前,22.872
1384,01/03/21 05:30:00 午前,22.824
1385,01/03/21 06:00:00 午前,22.8
1386,01/03/21 06:30:00 午前,22.92
1387,01/03/21 07:00:00 午前,23.016
1388,01/03/21 07:30:00 午前,23.04
1389,01/03/21 08:00:00 午前,23.04
1390,01/03/21 08:30:00 午前,23.04
1391,01/03/21 09:00:00 午前,22.633
1392,01/03/21 09:30:00 午前,22.633
1393,01/03/21 10:00:00 午前,22.609
1394,01/03/21 10:30:00 午前,22.776
1395,01/03/21 11:00:00 午前,23.064
1396,01/03/21 11:30:00 午前,23.016
1397,01/03/21 12:00:00 午後,22.824
1398,01/03/21 12:30:00 午後,22.872
1399,01/03/21 01:00:00 午後,23.016
1400,01/03/21 01:30:00 午後,23.016
1401,01/03/21 02:00:00 午後,22.992
1402,01/03/21 02:30:00 午後,22.992
1403,01/03/21 03:00:00 午後,22.968
1404,01/03/21 03:30:00 午後,22.992
1405,01/03/21 04:00:00 午後,22.944
1406,01/03/21 04:30:00 午後,22.896
1407,01/03/21 05:00:00 午後,22.872
1408,01/03/21 05:30:00 午後,22.896
1409,01/03/21 06:00:00 午後,22.92
1410,01/03/21 06:30:00 午後,22.968
1411,01/03/21 07:00:00 午後,22.968
1412,01/03/21 07:30:00 午後,22.992
1413,01/03/21 08:00:00 午後,22.992
1414,01/03/21 08:30:00 午後,23.016
1415,01/03/21 09:00:00 午後,23.016
1416,01/03/21 09:30:00 午後,22.992
1417,01/03/21 10:00:00 午後,23.064
1418,01/03/21 10:30:00 午後,23.136
1419,01/03/21 11:00:00 午後,23.184
1420,01/03/21 11:30:00 午後,23.184
1421,01/04/21 12:00:00 午前,23.16
1422,01/04/21 12:30:00 午前,23.184
1423,01/04/21 01:00:00 午前,23.184
1424,01/04/21 01:30:00 午前,23.16
1425,01/04/21 02:00:00 午前,23.136
1426,01/04/21 02:30:00 午前,23.112
1427,01/04/21 03:00:00 午前,23.088
1428,01/04/21 03:30:00 午前,23.112
1429,01/04/21 04:00:00 午前,23.112
1430,01/04/21 04:30:00 午前,23.112
1431,01/04/21 05:00:00 午前,23.136
1432,01/04/21 05:30:00 午前,23.184
1433,01/04/21 06:00:00 午前,23.4
1434,01/04/21 06:30:00 午前,23.472
1435,01/04/21 07:00:00 午前,23.521
1436,01/04/21 07:30:00 午前,23.545
1437,01/04/21 08:00:00 午前,23.545
1438,01/04/21 08:30:00 午前,23.521
1439,01/04/21 09:00:00 午前,23.521
1440,01/04/21 09:30:00 午前,23.472
1441,01/04/21 10:00:00 午前,23.545
1442,01/04/21 10:30:00 午前,23.545
1443,01/04/21 11:00:00 午前,23.376
1444,01/04/21 11:30:00 午前,23.4
1445,01/04/21 12:00:00 午後,23.569
1446,01/04/21 12:30:00 午後,23.593
1447,01/04/21 01:00:00 午後,23.641
1448,01/04/21 01:30:00 午後,23.497
1449,01/04/21 02:00:00 午後,23.376
1450,01/04/21 02:30:00 午後,23.256
1451,01/04/21 03:00:00 午後,23.088
1452,01/04/21 03:30:00 午後,23.064
1453,01/04/21 04:00:00 午後,23.016
1454,01/04/21 04:30:00 午後,23.016
1455,01/04/21 05:00:00 午後,23.064
1456,01/04/21 05:30:00 午後,23.064
1457,01/04/21 06:00:00 午後,23.04
1458,01/04/21 06:30:00 午後,23.088
1459,01/04/21 07:00:00 午後,23.088
1460,01/04/21 07:30:00 午後,23.064
1461,01/04/21 08:00:00 午後,23.064
1462,01/04/21 08:30:00 午後,23.112
1463,01/04/21 09:00:00 午後,23.136
1464,01/04/21 09:30:00 午後,23.208
1465,01/04/21 10:00:00 午後,23.28
1466,01/04/21 10:30:00 午後,23.4
1467,01/04/21 11:00:00 午後,23.521
1468,01/04/21 11:30:00 午後,23.569
1469,01/05/21 12:00:00 午前,23.593
1470,01/05/21 12:30:00 午前,23.593
1471,01/05/21 01:00:00 午前,23.593
1472,01/05/21 01:30:00 午前,23.593
1473,01/05/21 02:00:00 午前,23.569
1474,01/05/21 02:30:00 午前,23.569
1475,01/05/21 03:00:00 午前,23.569
1476,01/05/21 03:30:00 午前,23.569
1477,01/05/21 04:00:00 午前,23.545
1478,01/05/21 04:30:00 午前,23.545
1479,01/05/21 05:00:00 午前,23.521
1480,01/05/21 05:30:00 午前,23.521
1481,01/05/21 06:00:00 午前,23.472
1482,01/05/21 06:30:00 午前,23.4
1483,01/05/21 07:00:00 午前,23.352
1484,01/05/21 07:30:00 午前,23.256
1485,01/05/21 08:00:00 午前,23.28
1486,01/05/21 08:30:00 午前,23.136
1487,01/05/21 09:00:00 午前,23.184
1488,01/05/21 09:30:00 午前,23.208
1489,01/05/21 10:00:00 午前,23.256
1490,01/05/21 10:30:00 午前,23.28
1491,01/05/21 11:00:00 午前,23.28
1492,01/05/21 11:30:00 午前,23.256
1493,01/05/21 12:00:00 午後,23.184
1494,01/05/21 12:30:00 午後,23.112
1495,01/05/21 01:00:00 午後,23.112
1496,01/05/21 01:30:00 午後,23.064
1497,01/05/21 02:00:00 午後,22.92
1498,01/05/21 02:30:00 午後,23.112
1499,01/05/21 03:00:00 午後,23.112
1500,01/05/21 03:30:00 午後,22.992
1501,01/05/21 04:00:00 午後,22.92
1502,01/05/21 04:30:00 午後,22.872
1503,01/05/21 05:00:00 午後,22.753
1504,01/05/21 05:30:00 午後,22.513
1505,01/05/21 06:00:00 午後,22.321
1506,01/05/21 06:30:00 午後,22.537
1507,01/05/21 07:00:00 午後,22.585
1508,01/05/21 07:30:00 午後,22.633
1509,01/05/21 08:00:00 午後,22.705
1510,01/05/21 08:30:00 午後,22.753
1511,01/05/21 09:00:00 午後,22.824
1512,01/05/21 09:30:00 午後,22.8
1513,01/05/21 10:00:00 午後,22.729
1514,01/05/21 10:30:00 午後,22.585
1515,01/05/21 11:00:00 午後,22.369
1516,01/05/21 11:30:00 午後,22.729
1517,01/06/21 12:00:00 午前,22.968
1518,01/06/21 12:30:00 午前,23.016
1519,01/06/21 01:00:00 午前,23.064
1520,01/06/21 01:30:00 午前,23.184
1521,01/06/21 02:00:00 午前,23.28
1522,01/06/21 02:30:00 午前,23.256
1523,01/06/21 03:00:00 午前,23.232
1524,01/06/21 03:30:00 午前,23.04
1525,01/06/21 04:00:00 午前,22.968
1526,01/06/21 04:30:00 午前,22.585
1527,01/06/21 05:00:00 午前,22.441
1528,01/06/21 05:30:00 午前,22.513
1529,01/06/21 06:00:00 午前,22.585
1530,01/06/21 06:30:00 午前,22.321
1531,01/06/21 07:00:00 午前,22.321
1532,01/06/21 07:30:00 午前,22.393
1533,01/06/21 08:00:00 午前,22.585
1534,01/06/21 08:30:00 午前,22.729
1535,01/06/21 09:00:00 午前,22.824
1536,01/06/21 09:30:00 午前,22.872
1537,01/06/21 10:00:00 午前,22.848
1538,01/06/21 10:30:00 午前,22.824
1539,01/06/21 11:00:00 午前,22.824
1540,01/06/21 11:30:00 午前,22.824
1541,01/06/21 12:00:00 午後,22.776
1542,01/06/21 12:30:00 午後,22.848
1543,01/06/21 01:00:00 午後,23.184
1544,01/06/21 01:30:00 午後,23.208
1545,01/06/21 02:00:00 午後,23.256
1546,01/06/21 02:30:00 午後,23.256
1547,01/06/21 03:00:00 午後,23.208
1548,01/06/21 03:30:00 午後,23.112
1549,01/06/21 04:00:00 午後,23.04
1550,01/06/21 04:30:00 午後,22.992
1551,01/06/21 05:00:00 午後,22.872
1552,01/06/21 05:30:00 午後,22.753
1553,01/06/21 06:00:00 午後,22.609
1554,01/06/21 06:30:00 午後,22.585
1555,01/06/21 07:00:00 午後,22.585
1556,01/06/21 07:30:00 午後,22.657
1557,01/06/21 08:00:00 午後,22.776
1558,01/06/21 08:30:00 午後,22.8
1559,01/06/21 09:00:00 午後,22.848
1560,01/06/21 09:30:00 午後,22.848
1561,01/06/21 10:00:00 午後,22.848
1562,01/06/21 10:30:00 午後,22.8
1563,01/06/21 11:00:00 午後,22.872
1564,01/06/21 11:30:00 午後,22.92
1565,01/07/21 12:00:00 午前,22.848
1566,01/07/21 12:30:00 午前,22.848
1567,01/07/21 01:00:00 午前,22.824
1568,01/07/21 01:30:00 午前,22.8
1569,01/07/21 02:00:00 午前,22.896
1570,01/07/21 02:30:00 午前,22.992
1571,01/07/21 03:00:00 午前,23.016
1572,01/07/21 03:30:00 午前,22.968
1573,01/07/21 04:00:00 午前,22.824
1574,01/07/21 04:30:00 午前,22.753
1575,01/07/21 05:00:00 午前,22.058
1576,01/07/21 05:30:00 午前,21.819
1577,01/07/21 06:00:00 午前,22.034
1578,01/07/21 06:30:00 午前,22.106
1579,01/07/21 07:00:00 午前,21.963
1580,01/07/21 07:30:00 午前,21.915
1581,01/07/21 08:00:00 午前,21.891
1582,01/07/21 08:30:00 午前,22.058
1583,01/07/21 09:00:00 午前,22.106
1584,01/07/21 09:30:00 午前,22.178
1585,01/07/21 10:00:00 午前,22.034
1586,01/07/21 10:30:00 午前,22.034
1587,01/07/21 11:00:00 午前,22.034
1588,01/07/21 11:30:00 午前,22.202
1589,01/07/21 12:00:00 午後,22.13
1590,01/07/21 12:30:00 午後,22.178
1591,01/07/21 01:00:00 午後,22.393
1592,01/07/21 01:30:00 午後,22.585
1593,01/07/21 02:00:00 午後,22.537
1594,01/07/21 02:30:00 午後,22.465
1595,01/07/21 03:00:00 午後,22.321
1596,01/07/21 03:30:00 午後,22.13
1597,01/07/21 04:00:00 午後,22.011
1598,01/07/21 04:30:00 午後,21.987
1599,01/07/21 05:00:00 午後,21.079
1600,01/07/21 05:30:00 午後,21.461
1601,01/07/21 06:00:00 午後,21.795
1602,01/07/21 06:30:00 午後,21.748
1603,01/07/21 07:00:00 午後,21.628
1604,01/07/21 07:30:00 午後,21.628
1605,01/07/21 08:00:00 午後,21.485
1606,01/07/21 08:30:00 午後,21.366
1607,01/07/21 09:00:00 午後,21.39
1608,01/07/21 09:30:00 午後,21.461
1609,01/07/21 10:00:00 午後,21.437
1610,01/07/21 10:30:00 午後,21.557
1611,01/07/21 11:00:00 午後,21.39
1612,01/07/21 11:30:00 午後,21.318
1613,01/08/21 12:00:00 午前,21.724
1614,01/08/21 12:30:00 午前,21.628
1615,01/08/21 01:00:00 午前,21.318
1616,01/08/21 01:30:00 午前,21.366
1617,01/08/21 02:00:00 午前,21.795
1618,01/08/21 02:30:00 午前,22.274
1619,01/08/21 03:00:00 午前,22.298
1620,01/08/21 03:30:00 午前,22.298
1621,01/08/21 04:00:00 午前,22.298
1622,01/08/21 04:30:00 午前,22.25
1623,01/08/21 05:00:00 午前,22.058
1624,01/08/21 05:30:00 午前,21.604
1625,01/08/21 06:00:00 午前,21.008
1626,01/08/21 06:30:00 午前,20.913
1627,01/08/21 07:00:00 午前,21.103
1628,01/08/21 07:30:00 午前,20.984
1629,01/08/21 08:00:00 午前,20.889
1630,01/08/21 08:30:00 午前,20.603
1631,01/08/21 09:00:00 午前,20.388
1632,01/08/21 09:30:00 午前,20.15
1633,01/08/21 10:00:00 午前,20.388
1634,01/08/21 10:30:00 午前,20.579
1635,01/08/21 11:00:00 午前,20.817
1636,01/08/21 11:30:00 午前,20.96
1637,01/08/21 12:00:00 午後,21.246
1638,01/08/21 12:30:00 午後,21.557
1639,01/08/21 01:00:00 午後,21.533
1640,01/08/21 01:30:00 午後,21.724
1641,01/08/21 02:00:00 午後,21.795
1642,01/08/21 02:30:00 午後,21.795
1643,01/08/21 03:00:00 午後,21.819
1644,01/08/21 03:30:00 午後,21.939
