プロット タイトル:site21_spot011_2020,,,,
番号,年/月/日,時間,午前/午後,水温データ
"163	",2020/1/26,8:00:00,"午前	",17.486
"164	",2020/1/26,9:00:00,"午前	",17.439
"165	",2020/1/26,10:00:00,"午前	",17.368
"166	",2020/1/26,11:00:00,"午前	",16.963
"167	",2020/1/26,12:00:00,"午後	",16.987
"168	",2020/1/26,1:00:00,"午後	",17.034
"169	",2020/1/26,2:00:00,"午後	",17.058
"170	",2020/1/26,3:00:00,"午後	",17.058
"171	",2020/1/26,4:00:00,"午後	",16.963
"172	",2020/1/26,5:00:00,"午後	",16.892
"173	",2020/1/26,6:00:00,"午後	",16.987
"174	",2020/1/26,7:00:00,"午後	",17.034
"175	",2020/1/26,8:00:00,"午後	",16.915
"176	",2020/1/26,9:00:00,"午後	",16.868
"177	",2020/1/26,10:00:00,"午後	",16.868
"178	",2020/1/26,11:00:00,"午後	",16.963
"179	",2020/1/27,12:00:00,"午前	",16.844
"180	",2020/1/27,1:00:00,"午前	",16.725
"181	",2020/1/27,2:00:00,"午前	",16.582
"182	",2020/1/27,3:00:00,"午前	",16.677
"183	",2020/1/27,4:00:00,"午前	",16.63
"184	",2020/1/27,5:00:00,"午前	",16.749
"185	",2020/1/27,6:00:00,"午前	",16.868
"186	",2020/1/27,7:00:00,"午前	",16.915
"187	",2020/1/27,8:00:00,"午前	",16.725
"188	",2020/1/27,9:00:00,"午前	",16.701
"189	",2020/1/27,10:00:00,"午前	",16.463
"190	",2020/1/27,11:00:00,"午前	",16.677
"191	",2020/1/27,12:00:00,"午後	",16.677
"192	",2020/1/27,1:00:00,"午後	",16.582
"193	",2020/1/27,2:00:00,"午後	",16.701
"194	",2020/1/27,3:00:00,"午後	",16.677
"195	",2020/1/27,4:00:00,"午後	",16.582
"196	",2020/1/27,5:00:00,"午後	",16.487
"197	",2020/1/27,6:00:00,"午後	",16.415
"198	",2020/1/27,7:00:00,"午後	",16.415
"199	",2020/1/27,8:00:00,"午後	",16.368
"200	",2020/1/27,9:00:00,"午後	",16.177
"201	",2020/1/27,10:00:00,"午後	",16.272
"202	",2020/1/27,11:00:00,"午後	",16.058
"203	",2020/1/28,12:00:00,"午前	",16.106
"204	",2020/1/28,1:00:00,"午前	",16.034
"205	",2020/1/28,2:00:00,"午前	",15.891
"206	",2020/1/28,3:00:00,"午前	",16.272
"207	",2020/1/28,4:00:00,"午前	",16.392
"208	",2020/1/28,5:00:00,"午前	",16.511
"209	",2020/1/28,6:00:00,"午前	",16.582
"210	",2020/1/28,7:00:00,"午前	",16.558
"211	",2020/1/28,8:00:00,"午前	",16.511
"212	",2020/1/28,9:00:00,"午前	",16.582
"213	",2020/1/28,10:00:00,"午前	",16.749
"214	",2020/1/28,11:00:00,"午前	",16.773
"215	",2020/1/28,12:00:00,"午後	",16.939
"216	",2020/1/28,1:00:00,"午後	",17.034
"217	",2020/1/28,2:00:00,"午後	",16.987
