プロット タイトル: site21_spot011_2023,,,,,,,,,
#,"日付 時間, GMT+09:00","温度, °F (LGR S/N: 20054297, SEN S/N: 20054297, LBL: ℃)",カプラー取り外し (LGR S/N: 20054297),カプラー取り付け (LGR S/N: 20054297),ホスト接続 (LGR S/N: 20054297),停止済み (LGR S/N: 20054297),ファイルの終わり (LGR S/N: 20054297),"温度, °C",
5065,07/30/23 11:00:00 午前,82.886,,,,,,28.27,
5066,07/30/23 12:00:00 午後,83.109,,,,,,28.39388889,
5067,07/30/23 01:00:00 午後,83.287,,,,,,28.49277778,
5068,07/30/23 02:00:00 午後,83.467,,,,,,28.59277778,
5069,07/30/23 03:00:00 午後,83.646,,,,,,28.69222222,
5070,07/30/23 04:00:00 午後,83.646,,,,,,28.69222222,
5071,07/30/23 05:00:00 午後,83.779,,,,,,28.76611111,
5072,07/30/23 06:00:00 午後,83.422,,,,,,28.56777778,
5073,07/30/23 07:00:00 午後,83.422,,,,,,28.56777778,
5074,07/30/23 08:00:00 午後,83.422,,,,,,28.56777778,
5075,07/30/23 09:00:00 午後,83.467,,,,,,28.59277778,
5076,07/30/23 10:00:00 午後,83.511,,,,,,28.61722222,
5077,07/30/23 11:00:00 午後,83.467,,,,,,28.59277778,
5078,07/31/23 12:00:00 午前,83.422,,,,,,28.56777778,
5079,07/31/23 01:00:00 午前,83.377,,,,,,28.54277778,
5080,07/31/23 02:00:00 午前,83.287,,,,,,28.49277778,
5081,07/31/23 03:00:00 午前,83.242,,,,,,28.46777778,
5082,07/31/23 04:00:00 午前,83.154,,,,,,28.41888889,
5083,07/31/23 05:00:00 午前,83.064,,,,,,28.36888889,
5084,07/31/23 06:00:00 午前,83.021,,,,,,28.345,
5085,07/31/23 07:00:00 午前,82.976,,,,,,28.32,
5086,07/31/23 08:00:00 午前,83.064,,,,,,28.36888889,
5087,07/31/23 09:00:00 午前,83.154,,,,,,28.41888889,
5088,07/31/23 10:00:00 午前,83.422,,,,,,28.56777778,
5089,07/31/23 11:00:00 午前,83.511,,,,,,28.61722222,
5090,07/31/23 12:00:00 午後,83.691,,,,,,28.71722222,
5091,07/31/23 01:00:00 午後,83.959,,,,,,28.86611111,
5092,07/31/23 02:00:00 午後,83.959,,,,,,28.86611111,
5093,07/31/23 03:00:00 午後,83.779,,,,,,28.76611111,
5094,07/31/23 04:00:00 午後,83.691,,,,,,28.71722222,
5095,07/31/23 05:00:00 午後,83.377,,,,,,28.54277778,
5096,07/31/23 06:00:00 午後,83.199,,,,,,28.44388889,
5097,07/31/23 07:00:00 午後,83.377,,,,,,28.54277778,
5098,07/31/23 08:00:00 午後,83.377,,,,,,28.54277778,
5099,07/31/23 09:00:00 午後,83.199,,,,,,28.44388889,
5100,07/31/23 10:00:00 午後,82.886,,,,,,28.27,
5101,07/31/23 11:00:00 午後,82.62,,,,,,28.12222222,
5102,08/01/23 12:00:00 午前,82.575,,,,,,28.09722222,
5103,08/01/23 01:00:00 午前,82.396,,,,,,27.99777778,
5104,08/01/23 02:00:00 午前,82.353,,,,,,27.97388889,
5105,08/01/23 03:00:00 午前,82.353,,,,,,27.97388889,
5106,08/01/23 04:00:00 午前,82.353,,,,,,27.97388889,
5107,08/01/23 05:00:00 午前,82.042,,,,,,27.80111111,
5108,08/01/23 06:00:00 午前,81.775,,,,,,27.65277778,
5109,08/01/23 07:00:00 午前,81.775,,,,,,27.65277778,
5110,08/01/23 08:00:00 午前,81.864,,,,,,27.70222222,
5111,08/01/23 09:00:00 午前,81.997,,,,,,27.77611111,
5112,08/01/23 10:00:00 午前,82.085,,,,,,27.825,
5113,08/01/23 11:00:00 午前,82.486,,,,,,28.04777778,
5114,08/01/23 12:00:00 午後,82.798,,,,,,28.22111111,
5115,08/01/23 01:00:00 午後,82.886,,,,,,28.27,
5116,08/01/23 02:00:00 午後,82.886,,,,,,28.27,
5117,08/01/23 03:00:00 午後,83.736,,,,,,28.74222222,
5118,08/01/23 04:00:00 午後,83.332,,,,,,28.51777778,
5119,08/01/23 05:00:00 午後,83.287,,,,,,28.49277778,
5120,08/01/23 06:00:00 午後,83.377,,,,,,28.54277778,
5121,08/01/23 07:00:00 午後,83.332,,,,,,28.51777778,
5122,08/01/23 08:00:00 午後,83.242,,,,,,28.46777778,
5123,08/01/23 09:00:00 午後,82.976,,,,,,28.32,
5124,08/01/23 10:00:00 午後,82.441,,,,,,28.02277778,
5125,08/01/23 11:00:00 午後,82.218,,,,,,27.89888889,
5126,08/02/23 12:00:00 午前,82.175,,,,,,27.875,
5127,08/02/23 01:00:00 午前,82.396,,,,,,27.99777778,
5128,08/02/23 02:00:00 午前,82.53,,,,,,28.07222222,
5129,08/02/23 03:00:00 午前,82.486,,,,,,28.04777778,
5130,08/02/23 04:00:00 午前,82.308,,,,,,27.94888889,
5131,08/02/23 05:00:00 午前,82.308,,,,,,27.94888889,
5132,08/02/23 06:00:00 午前,82.263,,,,,,27.92388889,
5133,08/02/23 07:00:00 午前,82.263,,,,,,27.92388889,
5134,08/02/23 08:00:00 午前,82.263,,,,,,27.92388889,
5135,08/02/23 09:00:00 午前,82.085,,,,,,27.825,
5136,08/02/23 10:00:00 午前,82.263,,,,,,27.92388889,
5137,08/02/23 11:00:00 午前,82.53,,,,,,28.07222222,
5138,08/02/23 12:00:00 午後,82.886,,,,,,28.27,
5139,08/02/23 01:00:00 午後,83.154,,,,,,28.41888889,
5140,08/02/23 02:00:00 午後,83.511,,,,,,28.61722222,
5141,08/02/23 03:00:00 午後,83.601,,,,,,28.66722222,
5142,08/02/23 04:00:00 午後,83.377,,,,,,28.54277778,
5143,08/02/23 05:00:00 午後,82.798,,,,,,28.22111111,
5144,08/02/23 06:00:00 午後,82.708,,,,,,28.17111111,
5145,08/02/23 07:00:00 午後,82.396,,,,,,27.99777778,
5146,08/02/23 08:00:00 午後,82.441,,,,,,28.02277778,
5147,08/02/23 09:00:00 午後,82.396,,,,,,27.99777778,
5148,08/02/23 10:00:00 午後,82.308,,,,,,27.94888889,
5149,08/02/23 11:00:00 午後,82.308,,,,,,27.94888889,
5150,08/03/23 12:00:00 午前,82.308,,,,,,27.94888889,
5151,08/03/23 01:00:00 午前,82.308,,,,,,27.94888889,
5152,08/03/23 02:00:00 午前,82.308,,,,,,27.94888889,
5153,08/03/23 03:00:00 午前,81.997,,,,,,27.77611111,
5154,08/03/23 04:00:00 午前,81.909,,,,,,27.72722222,
5155,08/03/23 05:00:00 午前,81.909,,,,,,27.72722222,
5156,08/03/23 06:00:00 午前,81.775,,,,,,27.65277778,
5157,08/03/23 07:00:00 午前,81.687,,,,,,27.60388889,
5158,08/03/23 08:00:00 午前,81.554,,,,,,27.53,
5159,08/03/23 09:00:00 午前,81.642,,,,,,27.57888889,
5160,08/03/23 10:00:00 午前,81.376,,,,,,27.43111111,
5161,08/03/23 11:00:00 午前,81.642,,,,,,27.57888889,
5162,08/03/23 12:00:00 午後,81.73,,,,,,27.62777778,
5163,08/03/23 01:00:00 午後,82.175,,,,,,27.875,
5164,08/03/23 02:00:00 午後,82.263,,,,,,27.92388889,
5165,08/03/23 03:00:00 午後,82.665,,,,,,28.14722222,
5166,08/03/23 04:00:00 午後,82.886,,,,,,28.27,
5167,08/03/23 05:00:00 午後,83.064,,,,,,28.36888889,
5168,08/03/23 06:00:00 午後,83.287,,,,,,28.49277778,
5169,08/03/23 07:00:00 午後,83.242,,,,,,28.46777778,
5170,08/03/23 08:00:00 午後,83.109,,,,,,28.39388889,
5171,08/03/23 09:00:00 午後,83.021,,,,,,28.345,
5172,08/03/23 10:00:00 午後,82.753,,,,,,28.19611111,
5173,08/03/23 11:00:00 午後,82.753,,,,,,28.19611111,
5174,08/04/23 12:00:00 午前,82.62,,,,,,28.12222222,
5175,08/04/23 01:00:00 午前,82.62,,,,,,28.12222222,
5176,08/04/23 02:00:00 午前,82.62,,,,,,28.12222222,
5177,08/04/23 03:00:00 午前,82.575,,,,,,28.09722222,
5178,08/04/23 04:00:00 午前,82.53,,,,,,28.07222222,
5179,08/04/23 05:00:00 午前,82.53,,,,,,28.07222222,
5180,08/04/23 06:00:00 午前,82.486,,,,,,28.04777778,
5181,08/04/23 07:00:00 午前,82.53,,,,,,28.07222222,
5182,08/04/23 08:00:00 午前,82.665,,,,,,28.14722222,
5183,08/04/23 09:00:00 午前,82.841,,,,,,28.245,
5184,08/04/23 10:00:00 午前,83.332,,,,,,28.51777778,
5185,08/04/23 11:00:00 午前,84.227,,,,,,29.015,
5186,08/04/23 12:00:00 午後,84.407,,,,,,29.115,
5187,08/04/23 01:00:00 午後,84.632,,,,,,29.24,
5188,08/04/23 02:00:00 午後,84.497,,,,,,29.165,
5189,08/04/23 03:00:00 午後,84.722,,,,,,29.29,
5190,08/04/23 04:00:00 午後,84.767,,,,,,29.315,
5191,08/04/23 05:00:00 午後,84.945,,,,,,29.41388889,
5192,08/04/23 06:00:00 午後,84.945,,,,,,29.41388889,
5193,08/04/23 07:00:00 午後,84.677,,,,,,29.265,
5194,08/04/23 08:00:00 午後,84.452,,,,,,29.14,
5195,08/04/23 09:00:00 午後,84.272,,,,,,29.04,
5196,08/04/23 10:00:00 午後,84.317,,,,,,29.065,
5197,08/04/23 11:00:00 午後,84.182,,,,,,28.99,
5198,08/05/23 12:00:00 午前,84.094,,,,,,28.94111111,
5199,08/05/23 01:00:00 午前,83.869,,,,,,28.81611111,
5200,08/05/23 02:00:00 午前,83.824,,,,,,28.79111111,
5201,08/05/23 03:00:00 午前,83.779,,,,,,28.76611111,
5202,08/05/23 04:00:00 午前,83.691,,,,,,28.71722222,
5203,08/05/23 05:00:00 午前,83.601,,,,,,28.66722222,
5204,08/05/23 06:00:00 午前,83.779,,,,,,28.76611111,
5205,08/05/23 07:00:00 午前,83.824,,,,,,28.79111111,
5206,08/05/23 08:00:00 午前,83.869,,,,,,28.81611111,
5207,08/05/23 09:00:00 午前,83.959,,,,,,28.86611111,
5208,08/05/23 10:00:00 午前,84.094,,,,,,28.94111111,
5209,08/05/23 11:00:00 午前,84.407,,,,,,29.115,
5210,08/05/23 12:00:00 午後,84.542,,,,,,29.19,
5211,08/05/23 01:00:00 午後,84.812,,,,,,29.34,
5212,08/05/23 02:00:00 午後,85.127,,,,,,29.515,
5213,08/05/23 03:00:00 午後,85.262,,,,,,29.59,
5214,08/05/23 04:00:00 午後,85.487,,,,,,29.715,
5215,08/05/23 05:00:00 午後,85.667,,,,,,29.815,
5216,08/05/23 06:00:00 午後,85.667,,,,,,29.815,
5217,08/05/23 07:00:00 午後,85.487,,,,,,29.715,
5218,08/05/23 08:00:00 午後,85.307,,,,,,29.615,
5219,08/05/23 09:00:00 午後,85.035,,,,,,29.46388889,
5220,08/05/23 10:00:00 午後,85.035,,,,,,29.46388889,
5221,08/05/23 11:00:00 午後,85.127,,,,,,29.515,
5222,08/06/23 12:00:00 午前,84.99,,,,,,29.43888889,
5223,08/06/23 01:00:00 午前,84.677,,,,,,29.265,
5224,08/06/23 02:00:00 午前,84.677,,,,,,29.265,
5225,08/06/23 03:00:00 午前,84.542,,,,,,29.19,
5226,08/06/23 04:00:00 午前,84.317,,,,,,29.065,
5227,08/06/23 05:00:00 午前,84.272,,,,,,29.04,
5228,08/06/23 06:00:00 午前,84.182,,,,,,28.99,
5229,08/06/23 07:00:00 午前,84.137,,,,,,28.965,
5230,08/06/23 08:00:00 午前,84.094,,,,,,28.94111111,
5231,08/06/23 09:00:00 午前,84.317,,,,,,29.065,
5232,08/06/23 10:00:00 午前,84.407,,,,,,29.115,
5233,08/06/23 11:00:00 午前,84.767,,,,,,29.315,
5234,08/06/23 12:00:00 午後,85.127,,,,,,29.515,
5235,08/06/23 01:00:00 午後,85.035,,,,,,29.46388889,
5236,08/06/23 02:00:00 午後,85.442,,,,,,29.69,
5237,08/06/23 03:00:00 午後,85.577,,,,,,29.765,
5238,08/06/23 04:00:00 午後,85.577,,,,,,29.765,
5239,08/06/23 05:00:00 午後,85.352,,,,,,29.64,
5240,08/06/23 06:00:00 午後,85.035,,,,,,29.46388889,
5241,08/06/23 07:00:00 午後,84.812,,,,,,29.34,
5242,08/06/23 08:00:00 午後,84.767,,,,,,29.315,
5243,08/06/23 09:00:00 午後,84.587,,,,,,29.215,
5244,08/06/23 10:00:00 午後,84.587,,,,,,29.215,
5245,08/06/23 11:00:00 午後,84.407,,,,,,29.115,
5246,08/07/23 12:00:00 午前,84.272,,,,,,29.04,
5247,08/07/23 01:00:00 午前,84.137,,,,,,28.965,
5248,08/07/23 02:00:00 午前,84.004,,,,,,28.89111111,
5249,08/07/23 03:00:00 午前,83.914,,,,,,28.84111111,
5250,08/07/23 04:00:00 午前,83.691,,,,,,28.71722222,
5251,08/07/23 05:00:00 午前,83.736,,,,,,28.74222222,
5252,08/07/23 06:00:00 午前,83.646,,,,,,28.69222222,
5253,08/07/23 07:00:00 午前,83.646,,,,,,28.69222222,
5254,08/07/23 08:00:00 午前,83.691,,,,,,28.71722222,
5255,08/07/23 09:00:00 午前,83.736,,,,,,28.74222222,
5256,08/07/23 10:00:00 午前,83.779,,,,,,28.76611111,
5257,08/07/23 11:00:00 午前,83.869,,,,,,28.81611111,
5258,08/07/23 12:00:00 午後,83.959,,,,,,28.86611111,
5259,08/07/23 01:00:00 午後,84.094,,,,,,28.94111111,
5260,08/07/23 02:00:00 午後,84.227,,,,,,29.015,
5261,08/07/23 03:00:00 午後,84.317,,,,,,29.065,
5262,08/07/23 04:00:00 午後,84.407,,,,,,29.115,
5263,08/07/23 05:00:00 午後,84.452,,,,,,29.14,
5264,08/07/23 06:00:00 午後,84.497,,,,,,29.165,
5265,08/07/23 07:00:00 午後,84.407,,,,,,29.115,
5266,08/07/23 08:00:00 午後,84.317,,,,,,29.065,
5267,08/07/23 09:00:00 午後,84.227,,,,,,29.015,
5268,08/07/23 10:00:00 午後,84.137,,,,,,28.965,
5269,08/07/23 11:00:00 午後,83.959,,,,,,28.86611111,
5270,08/08/23 12:00:00 午前,83.869,,,,,,28.81611111,
5271,08/08/23 01:00:00 午前,83.779,,,,,,28.76611111,
5272,08/08/23 02:00:00 午前,83.691,,,,,,28.71722222,
5273,08/08/23 03:00:00 午前,83.646,,,,,,28.69222222,
5274,08/08/23 04:00:00 午前,83.556,,,,,,28.64222222,
5275,08/08/23 05:00:00 午前,83.511,,,,,,28.61722222,
5276,08/08/23 06:00:00 午前,83.467,,,,,,28.59277778,
5277,08/08/23 07:00:00 午前,83.377,,,,,,28.54277778,
5278,08/08/23 08:00:00 午前,83.377,,,,,,28.54277778,
5279,08/08/23 09:00:00 午前,83.422,,,,,,28.56777778,
5280,08/08/23 10:00:00 午前,83.511,,,,,,28.61722222,
5281,08/08/23 11:00:00 午前,83.691,,,,,,28.71722222,
5282,08/08/23 12:00:00 午後,83.959,,,,,,28.86611111,
5283,08/08/23 01:00:00 午後,84.094,,,,,,28.94111111,
5284,08/08/23 02:00:00 午後,84.182,,,,,,28.99,
5285,08/08/23 03:00:00 午後,84.272,,,,,,29.04,
5286,08/08/23 04:00:00 午後,84.407,,,,,,29.115,
5287,08/08/23 05:00:00 午後,84.407,,,,,,29.115,
5288,08/08/23 06:00:00 午後,84.227,,,,,,29.015,
5289,08/08/23 07:00:00 午後,84.137,,,,,,28.965,
5290,08/08/23 08:00:00 午後,83.959,,,,,,28.86611111,
5291,08/08/23 09:00:00 午後,83.869,,,,,,28.81611111,
5292,08/08/23 10:00:00 午後,83.779,,,,,,28.76611111,
5293,08/08/23 11:00:00 午後,83.646,,,,,,28.69222222,
5294,08/09/23 12:00:00 午前,83.646,,,,,,28.69222222,
5295,08/09/23 01:00:00 午前,83.556,,,,,,28.64222222,
5296,08/09/23 02:00:00 午前,83.511,,,,,,28.61722222,
5297,08/09/23 03:00:00 午前,83.422,,,,,,28.56777778,
5298,08/09/23 04:00:00 午前,83.377,,,,,,28.54277778,
5299,08/09/23 05:00:00 午前,83.377,,,,,,28.54277778,
5300,08/09/23 06:00:00 午前,83.332,,,,,,28.51777778,
5301,08/09/23 07:00:00 午前,83.332,,,,,,28.51777778,
5302,08/09/23 08:00:00 午前,83.332,,,,,,28.51777778,
5303,08/09/23 09:00:00 午前,83.511,,,,,,28.61722222,
5304,08/09/23 10:00:00 午前,83.736,,,,,,28.74222222,
5305,08/09/23 11:00:00 午前,84.004,,,,,,28.89111111,
5306,08/09/23 12:00:00 午後,84.227,,,,,,29.015,
5307,08/09/23 01:00:00 午後,84.497,,,,,,29.165,
5308,08/09/23 02:00:00 午後,84.677,,,,,,29.265,
5309,08/09/23 03:00:00 午後,84.9,,,,,,29.38888889,
5310,08/09/23 04:00:00 午後,84.9,,,,,,29.38888889,
5311,08/09/23 05:00:00 午後,85.082,,,,,,29.49,
5312,08/09/23 06:00:00 午後,85.035,,,,,,29.46388889,
5313,08/09/23 07:00:00 午後,84.857,,,,,,29.365,
5314,08/09/23 08:00:00 午後,84.722,,,,,,29.29,
5315,08/09/23 09:00:00 午後,84.632,,,,,,29.24,
5316,08/09/23 10:00:00 午後,84.542,,,,,,29.19,
5317,08/09/23 11:00:00 午後,84.452,,,,,,29.14,
5318,08/10/23 12:00:00 午前,84.362,,,,,,29.09,
5319,08/10/23 01:00:00 午前,84.227,,,,,,29.015,
5320,08/10/23 02:00:00 午前,84.137,,,,,,28.965,
5321,08/10/23 03:00:00 午前,84.049,,,,,,28.91611111,
5322,08/10/23 04:00:00 午前,83.959,,,,,,28.86611111,
5323,08/10/23 05:00:00 午前,83.869,,,,,,28.81611111,
5324,08/10/23 06:00:00 午前,83.779,,,,,,28.76611111,
5325,08/10/23 07:00:00 午前,83.736,,,,,,28.74222222,
5326,08/10/23 08:00:00 午前,83.736,,,,,,28.74222222,
5327,08/10/23 09:00:00 午前,83.779,,,,,,28.76611111,
5328,08/10/23 10:00:00 午前,83.914,,,,,,28.84111111,
5329,08/10/23 11:00:00 午前,84.049,,,,,,28.91611111,
5330,08/10/23 12:00:00 午後,84.227,,,,,,29.015,
5331,08/10/23 01:00:00 午後,84.317,,,,,,29.065,
5332,08/10/23 02:00:00 午後,84.407,,,,,,29.115,
5333,08/10/23 03:00:00 午後,84.632,,,,,,29.24,
5334,08/10/23 04:00:00 午後,84.722,,,,,,29.29,
5335,08/10/23 05:00:00 午後,84.632,,,,,,29.24,
5336,08/10/23 06:00:00 午後,84.722,,,,,,29.29,
5337,08/10/23 07:00:00 午後,84.632,,,,,,29.24,
5338,08/10/23 08:00:00 午後,84.497,,,,,,29.165,
5339,08/10/23 09:00:00 午後,84.362,,,,,,29.09,
5340,08/10/23 10:00:00 午後,84.272,,,,,,29.04,
5341,08/10/23 11:00:00 午後,84.137,,,,,,28.965,
5342,08/11/23 12:00:00 午前,84.094,,,,,,28.94111111,
5343,08/11/23 01:00:00 午前,84.004,,,,,,28.89111111,
5344,08/11/23 02:00:00 午前,83.914,,,,,,28.84111111,
5345,08/11/23 03:00:00 午前,83.824,,,,,,28.79111111,
5346,08/11/23 04:00:00 午前,83.736,,,,,,28.74222222,
5347,08/11/23 05:00:00 午前,83.601,,,,,,28.66722222,
5348,08/11/23 06:00:00 午前,83.467,,,,,,28.59277778,
5349,08/11/23 07:00:00 午前,83.467,,,,,,28.59277778,
5350,08/11/23 08:00:00 午前,83.601,,,,,,28.66722222,
5351,08/11/23 09:00:00 午前,83.646,,,,,,28.69222222,
5352,08/11/23 10:00:00 午前,83.824,,,,,,28.79111111,
5353,08/11/23 11:00:00 午前,84.049,,,,,,28.91611111,
5354,08/11/23 12:00:00 午後,84.137,,,,,,28.965,
5355,08/11/23 01:00:00 午後,84.362,,,,,,29.09,
5356,08/11/23 02:00:00 午後,84.587,,,,,,29.215,
5357,08/11/23 03:00:00 午後,84.857,,,,,,29.365,
5358,08/11/23 04:00:00 午後,84.945,,,,,,29.41388889,
5359,08/11/23 05:00:00 午後,84.857,,,,,,29.365,
5360,08/11/23 06:00:00 午後,84.857,,,,,,29.365,
5361,08/11/23 07:00:00 午後,84.767,,,,,,29.315,
5362,08/11/23 08:00:00 午後,84.587,,,,,,29.215,
5363,08/11/23 09:00:00 午後,84.452,,,,,,29.14,
5364,08/11/23 10:00:00 午後,84.272,,,,,,29.04,
5365,08/11/23 11:00:00 午後,84.182,,,,,,28.99,
5366,08/12/23 12:00:00 午前,84.137,,,,,,28.965,
5367,08/12/23 01:00:00 午前,84.094,,,,,,28.94111111,
5368,08/12/23 02:00:00 午前,84.004,,,,,,28.89111111,
5369,08/12/23 03:00:00 午前,83.914,,,,,,28.84111111,
5370,08/12/23 04:00:00 午前,83.824,,,,,,28.79111111,
5371,08/12/23 05:00:00 午前,83.736,,,,,,28.74222222,
5372,08/12/23 06:00:00 午前,83.646,,,,,,28.69222222,
5373,08/12/23 07:00:00 午前,83.242,,,,,,28.46777778,
5374,08/12/23 08:00:00 午前,83.109,,,,,,28.39388889,
5375,08/12/23 09:00:00 午前,83.154,,,,,,28.41888889,
5376,08/12/23 10:00:00 午前,83.242,,,,,,28.46777778,
5377,08/12/23 11:00:00 午前,83.422,,,,,,28.56777778,
5378,08/12/23 12:00:00 午後,83.691,,,,,,28.71722222,
5379,08/12/23 01:00:00 午後,83.377,,,,,,28.54277778,
5380,08/12/23 02:00:00 午後,83.691,,,,,,28.71722222,
5381,08/12/23 03:00:00 午後,83.556,,,,,,28.64222222,
5382,08/12/23 04:00:00 午後,83.736,,,,,,28.74222222,
5383,08/12/23 05:00:00 午後,84.857,,,,,,29.365,
5384,08/12/23 06:00:00 午後,85.172,,,,,,29.54,
5385,08/12/23 07:00:00 午後,84.99,,,,,,29.43888889,
5386,08/12/23 08:00:00 午後,84.9,,,,,,29.38888889,
5387,08/12/23 09:00:00 午後,84.767,,,,,,29.315,
5388,08/12/23 10:00:00 午後,84.587,,,,,,29.215,
5389,08/12/23 11:00:00 午後,84.407,,,,,,29.115,
5390,08/13/23 12:00:00 午前,84.632,,,,,,29.24,
5391,08/13/23 01:00:00 午前,84.452,,,,,,29.14,
5392,08/13/23 02:00:00 午前,84.767,,,,,,29.315,
5393,08/13/23 03:00:00 午前,84.137,,,,,,28.965,
5394,08/13/23 04:00:00 午前,84.182,,,,,,28.99,
5395,08/13/23 05:00:00 午前,84.004,,,,,,28.89111111,
5396,08/13/23 06:00:00 午前,84.004,,,,,,28.89111111,
5397,08/13/23 07:00:00 午前,84.004,,,,,,28.89111111,
5398,08/13/23 08:00:00 午前,83.914,,,,,,28.84111111,
5399,08/13/23 09:00:00 午前,84.049,,,,,,28.91611111,
5400,08/13/23 10:00:00 午前,83.869,,,,,,28.81611111,
5401,08/13/23 11:00:00 午前,83.736,,,,,,28.74222222,
5402,08/13/23 12:00:00 午後,84.542,,,,,,29.19,
5403,08/13/23 01:00:00 午後,84.677,,,,,,29.265,
5404,08/13/23 02:00:00 午後,83.959,,,,,,28.86611111,
5405,08/13/23 03:00:00 午後,84.857,,,,,,29.365,
5406,08/13/23 04:00:00 午後,84.587,,,,,,29.215,
5407,08/13/23 05:00:00 午後,84.272,,,,,,29.04,
5408,08/13/23 06:00:00 午後,84.227,,,,,,29.015,
5409,08/13/23 07:00:00 午後,83.914,,,,,,28.84111111,
5410,08/13/23 08:00:00 午後,84.182,,,,,,28.99,
5411,08/13/23 09:00:00 午後,84.182,,,,,,28.99,
5412,08/13/23 10:00:00 午後,84.137,,,,,,28.965,
5413,08/13/23 11:00:00 午後,84.094,,,,,,28.94111111,
5414,08/14/23 12:00:00 午前,83.736,,,,,,28.74222222,
5415,08/14/23 01:00:00 午前,83.646,,,,,,28.69222222,
5416,08/14/23 02:00:00 午前,83.691,,,,,,28.71722222,
5417,08/14/23 03:00:00 午前,83.691,,,,,,28.71722222,
5418,08/14/23 04:00:00 午前,83.601,,,,,,28.66722222,
5419,08/14/23 05:00:00 午前,83.511,,,,,,28.61722222,
5420,08/14/23 06:00:00 午前,83.377,,,,,,28.54277778,
5421,08/14/23 07:00:00 午前,83.332,,,,,,28.51777778,
5422,08/14/23 08:00:00 午前,83.332,,,,,,28.51777778,
5423,08/14/23 09:00:00 午前,83.154,,,,,,28.41888889,
5424,08/14/23 10:00:00 午前,83.377,,,,,,28.54277778,
5425,08/14/23 11:00:00 午前,83.377,,,,,,28.54277778,
5426,08/14/23 12:00:00 午後,83.377,,,,,,28.54277778,
5427,08/14/23 01:00:00 午後,83.242,,,,,,28.46777778,
5428,08/14/23 02:00:00 午後,83.242,,,,,,28.46777778,
5429,08/14/23 03:00:00 午後,83.287,,,,,,28.49277778,
5430,08/14/23 04:00:00 午後,83.287,,,,,,28.49277778,
5431,08/14/23 05:00:00 午後,83.199,,,,,,28.44388889,
5432,08/14/23 06:00:00 午後,83.332,,,,,,28.51777778,
5433,08/14/23 07:00:00 午後,83.377,,,,,,28.54277778,
5434,08/14/23 08:00:00 午後,83.377,,,,,,28.54277778,
5435,08/14/23 09:00:00 午後,83.064,,,,,,28.36888889,
5436,08/14/23 10:00:00 午後,82.931,,,,,,28.295,
5437,08/14/23 11:00:00 午後,82.886,,,,,,28.27,
5438,08/15/23 12:00:00 午前,82.708,,,,,,28.17111111,
5439,08/15/23 01:00:00 午前,82.753,,,,,,28.19611111,
5440,08/15/23 02:00:00 午前,82.841,,,,,,28.245,
5441,08/15/23 03:00:00 午前,82.931,,,,,,28.295,
5442,08/15/23 04:00:00 午前,82.886,,,,,,28.27,
5443,08/15/23 05:00:00 午前,82.886,,,,,,28.27,
5444,08/15/23 06:00:00 午前,82.886,,,,,,28.27,
5445,08/15/23 07:00:00 午前,82.708,,,,,,28.17111111,
5446,08/15/23 08:00:00 午前,82.308,,,,,,27.94888889,
5447,08/15/23 09:00:00 午前,82.396,,,,,,27.99777778,
5448,08/15/23 10:00:00 午前,82.62,,,,,,28.12222222,
5449,08/15/23 11:00:00 午前,82.486,,,,,,28.04777778,
5450,08/15/23 12:00:00 午後,82.53,,,,,,28.07222222,
5451,08/15/23 01:00:00 午後,82.62,,,,,,28.12222222,
5452,08/15/23 02:00:00 午後,82.62,,,,,,28.12222222,
5453,08/15/23 03:00:00 午後,82.53,,,,,,28.07222222,
5454,08/15/23 04:00:00 午後,82.53,,,,,,28.07222222,
5455,08/15/23 05:00:00 午後,82.353,,,,,,27.97388889,
5456,08/15/23 06:00:00 午後,82.308,,,,,,27.94888889,
5457,08/15/23 07:00:00 午後,82.263,,,,,,27.92388889,
5458,08/15/23 08:00:00 午後,82.218,,,,,,27.89888889,
5459,08/15/23 09:00:00 午後,82.13,,,,,,27.85,
5460,08/15/23 10:00:00 午後,82.085,,,,,,27.825,
5461,08/15/23 11:00:00 午後,82.042,,,,,,27.80111111,
5462,08/16/23 12:00:00 午前,81.909,,,,,,27.72722222,
5463,08/16/23 01:00:00 午前,81.909,,,,,,27.72722222,
5464,08/16/23 02:00:00 午前,81.819,,,,,,27.67722222,
5465,08/16/23 03:00:00 午前,81.952,,,,,,27.75111111,
5466,08/16/23 04:00:00 午前,81.864,,,,,,27.70222222,
5467,08/16/23 05:00:00 午前,81.864,,,,,,27.70222222,
5468,08/16/23 06:00:00 午前,82.085,,,,,,27.825,
5469,08/16/23 07:00:00 午前,81.952,,,,,,27.75111111,
5470,08/16/23 08:00:00 午前,81.952,,,,,,27.75111111,
5471,08/16/23 09:00:00 午前,82.175,,,,,,27.875,
5472,08/16/23 10:00:00 午前,82.53,,,,,,28.07222222,
5473,08/16/23 11:00:00 午前,82.708,,,,,,28.17111111,
5474,08/16/23 12:00:00 午後,82.708,,,,,,28.17111111,
5475,08/16/23 01:00:00 午後,82.931,,,,,,28.295,
5476,08/16/23 02:00:00 午後,82.931,,,,,,28.295,
5477,08/16/23 03:00:00 午後,82.931,,,,,,28.295,
5478,08/16/23 04:00:00 午後,82.841,,,,,,28.245,
