プロット タイトル: site21_spot011_2023,,,,,,,,,
#,"日付 時間, GMT+09:00","温度, °F (LGR S/N: 20054297, SEN S/N: 20054297, LBL: ℃)",カプラー取り外し (LGR S/N: 20054297),カプラー取り付け (LGR S/N: 20054297),ホスト接続 (LGR S/N: 20054297),停止済み (LGR S/N: 20054297),ファイルの終わり (LGR S/N: 20054297),"温度, °C",
216,01/09/23 10:00:00 午前,64.632,,,,,,18.12888889,
217,01/09/23 11:00:00 午前,64.632,,,,,,18.12888889,
218,01/09/23 12:00:00 午後,64.546,,,,,,18.08111111,
219,01/09/23 01:00:00 午後,64.503,,,,,,18.05722222,
220,01/09/23 02:00:00 午後,64.632,,,,,,18.12888889,
221,01/09/23 03:00:00 午後,64.674,,,,,,18.15222222,
222,01/09/23 04:00:00 午後,64.589,,,,,,18.105,
223,01/09/23 05:00:00 午後,64.503,,,,,,18.05722222,
224,01/09/23 06:00:00 午後,64.503,,,,,,18.05722222,
225,01/09/23 07:00:00 午後,64.459,,,,,,18.03277778,
226,01/09/23 08:00:00 午後,64.503,,,,,,18.05722222,
227,01/09/23 09:00:00 午後,64.632,,,,,,18.12888889,
228,01/09/23 10:00:00 午後,64.632,,,,,,18.12888889,
229,01/09/23 11:00:00 午後,64.632,,,,,,18.12888889,
230,01/10/23 12:00:00 午前,64.503,,,,,,18.05722222,
231,01/10/23 01:00:00 午前,64.503,,,,,,18.05722222,
232,01/10/23 02:00:00 午前,64.546,,,,,,18.08111111,
233,01/10/23 03:00:00 午前,64.459,,,,,,18.03277778,
234,01/10/23 04:00:00 午前,64.418,,,,,,18.01,
235,01/10/23 05:00:00 午前,64.503,,,,,,18.05722222,
236,01/10/23 06:00:00 午前,64.589,,,,,,18.105,
237,01/10/23 07:00:00 午前,64.674,,,,,,18.15222222,
238,01/10/23 08:00:00 午前,64.674,,,,,,18.15222222,
239,01/10/23 09:00:00 午前,64.76,,,,,,18.2,
240,01/10/23 10:00:00 午前,64.674,,,,,,18.15222222,
241,01/10/23 11:00:00 午前,64.76,,,,,,18.2,
242,01/10/23 12:00:00 午後,64.845,,,,,,18.24722222,
243,01/10/23 01:00:00 午後,65.102,,,,,,18.39,
244,01/10/23 02:00:00 午後,65.273,,,,,,18.485,
245,01/10/23 03:00:00 午後,65.316,,,,,,18.50888889,
246,01/10/23 04:00:00 午後,65.316,,,,,,18.50888889,
247,01/10/23 05:00:00 午後,65.316,,,,,,18.50888889,
248,01/10/23 06:00:00 午後,65.188,,,,,,18.43777778,
249,01/10/23 07:00:00 午後,65.102,,,,,,18.39,
250,01/10/23 08:00:00 午後,64.931,,,,,,18.295,
251,01/10/23 09:00:00 午後,64.803,,,,,,18.22388889,
252,01/10/23 10:00:00 午後,64.589,,,,,,18.105,
253,01/10/23 11:00:00 午後,64.418,,,,,,18.01,
254,01/11/23 12:00:00 午前,64.074,,,,,,17.81888889,
255,01/11/23 01:00:00 午前,64.074,,,,,,17.81888889,
256,01/11/23 02:00:00 午前,63.903,,,,,,17.72388889,
257,01/11/23 03:00:00 午前,63.819,,,,,,17.67722222,
258,01/11/23 04:00:00 午前,64.033,,,,,,17.79611111,
259,01/11/23 05:00:00 午前,64.074,,,,,,17.81888889,
260,01/11/23 06:00:00 午前,63.946,,,,,,17.74777778,
261,01/11/23 07:00:00 午前,63.862,,,,,,17.70111111,
262,01/11/23 08:00:00 午前,63.862,,,,,,17.70111111,
263,01/11/23 09:00:00 午前,63.946,,,,,,17.74777778,
264,01/11/23 10:00:00 午前,63.732,,,,,,17.62888889,
265,01/11/23 11:00:00 午前,64.033,,,,,,17.79611111,
266,01/11/23 12:00:00 午後,64.074,,,,,,17.81888889,
267,01/11/23 01:00:00 午後,64.247,,,,,,17.915,
268,01/11/23 02:00:00 午後,64.247,,,,,,17.915,
269,01/11/23 03:00:00 午後,64.161,,,,,,17.86722222,
270,01/11/23 04:00:00 午後,64.074,,,,,,17.81888889,
271,01/11/23 05:00:00 午後,63.99,,,,,,17.77222222,
272,01/11/23 06:00:00 午後,63.903,,,,,,17.72388889,
273,01/11/23 07:00:00 午後,63.862,,,,,,17.70111111,
274,01/11/23 08:00:00 午後,63.862,,,,,,17.70111111,
275,01/11/23 09:00:00 午後,63.946,,,,,,17.74777778,
276,01/11/23 10:00:00 午後,64.074,,,,,,17.81888889,
277,01/11/23 11:00:00 午後,63.946,,,,,,17.74777778,
278,01/12/23 12:00:00 午前,65.273,,,,,,18.485,
279,01/12/23 01:00:00 午前,65.788,,,,,,18.77111111,
280,01/12/23 02:00:00 午前,65.701,,,,,,18.72277778,
281,01/12/23 03:00:00 午前,65.959,,,,,,18.86611111,
282,01/12/23 04:00:00 午前,66.043,,,,,,18.91277778,
283,01/12/23 05:00:00 午前,66.258,,,,,,19.03222222,
284,01/12/23 06:00:00 午前,66.214,,,,,,19.00777778,
285,01/12/23 07:00:00 午前,66.214,,,,,,19.00777778,
286,01/12/23 08:00:00 午前,66.258,,,,,,19.03222222,
287,01/12/23 09:00:00 午前,66.301,,,,,,19.05611111,
288,01/12/23 10:00:00 午前,66.344,,,,,,19.08,
289,01/12/23 11:00:00 午前,66.301,,,,,,19.05611111,
290,01/12/23 12:00:00 午後,66,,,,,,18.88888889,
291,01/12/23 01:00:00 午後,65.916,,,,,,18.84222222,
292,01/12/23 02:00:00 午後,65.959,,,,,,18.86611111,
293,01/12/23 03:00:00 午後,65.959,,,,,,18.86611111,
294,01/12/23 04:00:00 午後,65.829,,,,,,18.79388889,
295,01/12/23 05:00:00 午後,65.872,,,,,,18.81777778,
296,01/12/23 06:00:00 午後,65.916,,,,,,18.84222222,
297,01/12/23 07:00:00 午後,65.916,,,,,,18.84222222,
298,01/12/23 08:00:00 午後,65.959,,,,,,18.86611111,
299,01/12/23 09:00:00 午後,66.214,,,,,,19.00777778,
300,01/12/23 10:00:00 午後,66.214,,,,,,19.00777778,
301,01/12/23 11:00:00 午後,66.214,,,,,,19.00777778,
302,01/13/23 12:00:00 午前,66.214,,,,,,19.00777778,
303,01/13/23 01:00:00 午前,66.214,,,,,,19.00777778,
304,01/13/23 02:00:00 午前,66.214,,,,,,19.00777778,
305,01/13/23 03:00:00 午前,65.959,,,,,,18.86611111,
306,01/13/23 04:00:00 午前,65.959,,,,,,18.86611111,
307,01/13/23 05:00:00 午前,65.959,,,,,,18.86611111,
308,01/13/23 06:00:00 午前,66,,,,,,18.88888889,
309,01/13/23 07:00:00 午前,66.087,,,,,,18.93722222,
310,01/13/23 08:00:00 午前,66.087,,,,,,18.93722222,
311,01/13/23 09:00:00 午前,66.173,,,,,,18.985,
312,01/13/23 10:00:00 午前,66.258,,,,,,19.03222222,
313,01/13/23 11:00:00 午前,66.558,,,,,,19.19888889,
314,01/13/23 12:00:00 午後,66.643,,,,,,19.24611111,
315,01/13/23 01:00:00 午後,66.772,,,,,,19.31777778,
316,01/13/23 02:00:00 午後,66.772,,,,,,19.31777778,
317,01/13/23 03:00:00 午後,66.857,,,,,,19.365,
318,01/13/23 04:00:00 午後,66.985,,,,,,19.43611111,
319,01/13/23 05:00:00 午後,67.028,,,,,,19.46,
320,01/13/23 06:00:00 午後,67.071,,,,,,19.48388889,
321,01/13/23 07:00:00 午後,66.985,,,,,,19.43611111,
322,01/13/23 08:00:00 午後,66.857,,,,,,19.365,
323,01/13/23 09:00:00 午後,66.857,,,,,,19.365,
324,01/13/23 10:00:00 午後,66.9,,,,,,19.38888889,
325,01/13/23 11:00:00 午後,66.985,,,,,,19.43611111,
326,01/14/23 12:00:00 午前,66.985,,,,,,19.43611111,
327,01/14/23 01:00:00 午前,67.158,,,,,,19.53222222,
328,01/14/23 02:00:00 午前,67.285,,,,,,19.60277778,
329,01/14/23 03:00:00 午前,67.413,,,,,,19.67388889,
330,01/14/23 04:00:00 午前,67.456,,,,,,19.69777778,
331,01/14/23 05:00:00 午前,67.413,,,,,,19.67388889,
332,01/14/23 06:00:00 午前,67.329,,,,,,19.62722222,
333,01/14/23 07:00:00 午前,67.329,,,,,,19.62722222,
334,01/14/23 08:00:00 午前,67.413,,,,,,19.67388889,
335,01/14/23 09:00:00 午前,67.372,,,,,,19.65111111,
336,01/14/23 10:00:00 午前,67.242,,,,,,19.57888889,
337,01/14/23 11:00:00 午前,67.372,,,,,,19.65111111,
338,01/14/23 12:00:00 午後,67.329,,,,,,19.62722222,
339,01/14/23 01:00:00 午後,67.372,,,,,,19.65111111,
340,01/14/23 02:00:00 午後,67.329,,,,,,19.62722222,
341,01/14/23 03:00:00 午後,67.329,,,,,,19.62722222,
342,01/14/23 04:00:00 午後,67.285,,,,,,19.60277778,
343,01/14/23 05:00:00 午後,67.242,,,,,,19.57888889,
344,01/14/23 06:00:00 午後,67.242,,,,,,19.57888889,
345,01/14/23 07:00:00 午後,67.285,,,,,,19.60277778,
346,01/14/23 08:00:00 午後,67.329,,,,,,19.62722222,
347,01/14/23 09:00:00 午後,67.329,,,,,,19.62722222,
348,01/14/23 10:00:00 午後,67.329,,,,,,19.62722222,
349,01/14/23 11:00:00 午後,67.329,,,,,,19.62722222,
350,01/15/23 12:00:00 午前,67.242,,,,,,19.57888889,
351,01/15/23 01:00:00 午前,67.242,,,,,,19.57888889,
352,01/15/23 02:00:00 午前,67.158,,,,,,19.53222222,
353,01/15/23 03:00:00 午前,67.158,,,,,,19.53222222,
354,01/15/23 04:00:00 午前,67.071,,,,,,19.48388889,
355,01/15/23 05:00:00 午前,66.985,,,,,,19.43611111,
356,01/15/23 06:00:00 午前,66.985,,,,,,19.43611111,
357,01/15/23 07:00:00 午前,66.985,,,,,,19.43611111,
358,01/15/23 08:00:00 午前,66.9,,,,,,19.38888889,
359,01/15/23 09:00:00 午前,66.985,,,,,,19.43611111,
360,01/15/23 10:00:00 午前,66.943,,,,,,19.41277778,
361,01/15/23 11:00:00 午前,66.943,,,,,,19.41277778,
362,01/15/23 12:00:00 午後,67.028,,,,,,19.46,
363,01/15/23 01:00:00 午後,67.071,,,,,,19.48388889,
364,01/15/23 02:00:00 午後,67.071,,,,,,19.48388889,
365,01/15/23 03:00:00 午後,67.114,,,,,,19.50777778,
366,01/15/23 04:00:00 午後,67.114,,,,,,19.50777778,
367,01/15/23 05:00:00 午後,67.071,,,,,,19.48388889,
368,01/15/23 06:00:00 午後,67.071,,,,,,19.48388889,
369,01/15/23 07:00:00 午後,67.028,,,,,,19.46,
370,01/15/23 08:00:00 午後,66.943,,,,,,19.41277778,
371,01/15/23 09:00:00 午後,66.943,,,,,,19.41277778,
372,01/15/23 10:00:00 午後,66.9,,,,,,19.38888889,
373,01/15/23 11:00:00 午後,66.686,,,,,,19.27,
374,01/16/23 12:00:00 午前,66.515,,,,,,19.175,
375,01/16/23 01:00:00 午前,66.472,,,,,,19.15111111,
376,01/16/23 02:00:00 午前,66.686,,,,,,19.27,
377,01/16/23 03:00:00 午前,66.643,,,,,,19.24611111,
378,01/16/23 04:00:00 午前,66.772,,,,,,19.31777778,
379,01/16/23 05:00:00 午前,67.114,,,,,,19.50777778,
380,01/16/23 06:00:00 午前,67.158,,,,,,19.53222222,
381,01/16/23 07:00:00 午前,67.114,,,,,,19.50777778,
382,01/16/23 08:00:00 午前,67.158,,,,,,19.53222222,
383,01/16/23 09:00:00 午前,67.199,,,,,,19.555,
384,01/16/23 10:00:00 午前,66.6,,,,,,19.22222222,
385,01/16/23 11:00:00 午前,67.028,,,,,,19.46,
386,01/16/23 12:00:00 午後,67.071,,,,,,19.48388889,
387,01/16/23 01:00:00 午後,67.071,,,,,,19.48388889,
388,01/16/23 02:00:00 午後,66.772,,,,,,19.31777778,
389,01/16/23 03:00:00 午後,66.772,,,,,,19.31777778,
390,01/16/23 04:00:00 午後,66.729,,,,,,19.29388889,
391,01/16/23 05:00:00 午後,66.772,,,,,,19.31777778,
392,01/16/23 06:00:00 午後,66.6,,,,,,19.22222222,
393,01/16/23 07:00:00 午後,66,,,,,,18.88888889,
394,01/16/23 08:00:00 午後,66.214,,,,,,19.00777778,
395,01/16/23 09:00:00 午後,66.6,,,,,,19.22222222,
396,01/16/23 10:00:00 午後,66.344,,,,,,19.08,
397,01/16/23 11:00:00 午後,66.173,,,,,,18.985,
398,01/17/23 12:00:00 午前,66.087,,,,,,18.93722222,
399,01/17/23 01:00:00 午前,66,,,,,,18.88888889,
400,01/17/23 02:00:00 午前,65.829,,,,,,18.79388889,
401,01/17/23 03:00:00 午前,65.574,,,,,,18.65222222,
402,01/17/23 04:00:00 午前,65.403,,,,,,18.55722222,
403,01/17/23 05:00:00 午前,65.23,,,,,,18.46111111,
404,01/17/23 06:00:00 午前,65.017,,,,,,18.34277778,
405,01/17/23 07:00:00 午前,64.76,,,,,,18.2,
406,01/17/23 08:00:00 午前,64.589,,,,,,18.105,
407,01/17/23 09:00:00 午前,64.632,,,,,,18.12888889,
408,01/17/23 10:00:00 午前,64.632,,,,,,18.12888889,
409,01/17/23 11:00:00 午前,64.888,,,,,,18.27111111,
410,01/17/23 12:00:00 午後,65.059,,,,,,18.36611111,
411,01/17/23 01:00:00 午後,65.23,,,,,,18.46111111,
