プロット タイトル:site22_spot011_2023,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011400, SEN S/N: 21011400)"
270,01/17/23 03:00:00 午後,18.081
271,01/17/23 04:00:00 午後,18.105
272,01/17/23 05:00:00 午後,18.129
273,01/17/23 06:00:00 午後,18.081
274,01/17/23 07:00:00 午後,18.01
275,01/17/23 08:00:00 午後,17.891
276,01/17/23 09:00:00 午後,17.819
277,01/17/23 10:00:00 午後,17.748
278,01/17/23 11:00:00 午後,17.701
279,01/18/23 12:00:00 午前,17.701
280,01/18/23 01:00:00 午前,17.677
281,01/18/23 02:00:00 午前,17.629
282,01/18/23 03:00:00 午前,17.51
283,01/18/23 04:00:00 午前,17.51
284,01/18/23 05:00:00 午前,17.439
285,01/18/23 06:00:00 午前,17.534
286,01/18/23 07:00:00 午前,17.51
287,01/18/23 08:00:00 午前,17.486
288,01/18/23 09:00:00 午前,17.439
289,01/18/23 10:00:00 午前,17.486
290,01/18/23 11:00:00 午前,17.605
291,01/18/23 12:00:00 午後,17.701
292,01/18/23 01:00:00 午後,17.772
293,01/18/23 02:00:00 午後,17.796
294,01/18/23 03:00:00 午後,17.796
295,01/18/23 04:00:00 午後,17.796
296,01/18/23 05:00:00 午後,17.724
297,01/18/23 06:00:00 午後,17.558
298,01/18/23 07:00:00 午後,17.463
299,01/18/23 08:00:00 午後,17.344
300,01/18/23 09:00:00 午後,17.177
301,01/18/23 10:00:00 午後,17.058
302,01/18/23 11:00:00 午後,17.225
303,01/19/23 12:00:00 午前,17.391
304,01/19/23 01:00:00 午前,17.368
305,01/19/23 02:00:00 午前,17.249
306,01/19/23 03:00:00 午前,17.32
307,01/19/23 04:00:00 午前,17.32
308,01/19/23 05:00:00 午前,17.296
309,01/19/23 06:00:00 午前,17.272
310,01/19/23 07:00:00 午前,17.272
311,01/19/23 08:00:00 午前,17.272
312,01/19/23 09:00:00 午前,17.344
313,01/19/23 10:00:00 午前,17.415
314,01/19/23 11:00:00 午前,17.486
315,01/19/23 12:00:00 午後,17.653
316,01/19/23 01:00:00 午後,17.772
317,01/19/23 02:00:00 午後,17.843
318,01/19/23 03:00:00 午後,17.867
319,01/19/23 04:00:00 午後,17.819
320,01/19/23 05:00:00 午後,17.772
321,01/19/23 06:00:00 午後,17.653
322,01/19/23 07:00:00 午後,17.867
323,01/19/23 08:00:00 午後,17.915
324,01/19/23 09:00:00 午後,17.891
325,01/19/23 10:00:00 午後,17.819
326,01/19/23 11:00:00 午後,17.724
327,01/20/23 12:00:00 午前,17.701
328,01/20/23 01:00:00 午前,17.724
329,01/20/23 02:00:00 午前,17.582
330,01/20/23 03:00:00 午前,17.582
331,01/20/23 04:00:00 午前,17.629
332,01/20/23 05:00:00 午前,17.701
333,01/20/23 06:00:00 午前,17.582
334,01/20/23 07:00:00 午前,17.701
335,01/20/23 08:00:00 午前,17.653
336,01/20/23 09:00:00 午前,17.582
337,01/20/23 10:00:00 午前,17.701
338,01/20/23 11:00:00 午前,17.772
339,01/20/23 12:00:00 午後,17.843
340,01/20/23 01:00:00 午後,17.986
341,01/20/23 02:00:00 午後,18.057
342,01/20/23 03:00:00 午後,18.057
343,01/20/23 04:00:00 午後,18.033
344,01/20/23 05:00:00 午後,17.962
345,01/20/23 06:00:00 午後,17.843
346,01/20/23 07:00:00 午後,17.748
347,01/20/23 08:00:00 午後,17.582
348,01/20/23 09:00:00 午後,17.368
349,01/20/23 10:00:00 午後,17.249
350,01/20/23 11:00:00 午後,17.106
351,01/21/23 12:00:00 午前,17.011
352,01/21/23 01:00:00 午前,17.011
353,01/21/23 02:00:00 午前,17.153
354,01/21/23 03:00:00 午前,17.272
355,01/21/23 04:00:00 午前,17.201
356,01/21/23 05:00:00 午前,17.439
357,01/21/23 06:00:00 午前,17.296
358,01/21/23 07:00:00 午前,17.225
359,01/21/23 08:00:00 午前,17.296
360,01/21/23 09:00:00 午前,17.296
361,01/21/23 10:00:00 午前,17.296
362,01/21/23 11:00:00 午前,17.344
363,01/21/23 12:00:00 午後,17.439
364,01/21/23 01:00:00 午後,17.677
365,01/21/23 02:00:00 午後,17.819
366,01/21/23 03:00:00 午後,17.843
367,01/21/23 04:00:00 午後,17.819
368,01/21/23 05:00:00 午後,17.772
369,01/21/23 06:00:00 午後,17.701
370,01/21/23 07:00:00 午後,17.605
371,01/21/23 08:00:00 午後,17.486
372,01/21/23 09:00:00 午後,17.344
373,01/21/23 10:00:00 午後,17.13
374,01/21/23 11:00:00 午後,16.987
375,01/22/23 12:00:00 午前,16.796
376,01/22/23 01:00:00 午前,16.868
377,01/22/23 02:00:00 午前,16.939
378,01/22/23 03:00:00 午前,16.963
379,01/22/23 04:00:00 午前,16.915
380,01/22/23 05:00:00 午前,16.868
381,01/22/23 06:00:00 午前,16.844
382,01/22/23 07:00:00 午前,16.915
383,01/22/23 08:00:00 午前,16.987
384,01/22/23 09:00:00 午前,17.082
385,01/22/23 10:00:00 午前,17.082
386,01/22/23 11:00:00 午前,17.201
387,01/22/23 12:00:00 午後,17.391
388,01/22/23 01:00:00 午後,17.534
389,01/22/23 02:00:00 午後,17.605
390,01/22/23 03:00:00 午後,17.629
391,01/22/23 04:00:00 午後,17.677
392,01/22/23 05:00:00 午後,17.677
393,01/22/23 06:00:00 午後,17.677
394,01/22/23 07:00:00 午後,17.629
395,01/22/23 08:00:00 午後,17.534
396,01/22/23 09:00:00 午後,17.486
397,01/22/23 10:00:00 午後,17.415
398,01/22/23 11:00:00 午後,17.296
399,01/23/23 12:00:00 午前,17.225
400,01/23/23 01:00:00 午前,17.153
401,01/23/23 02:00:00 午前,17.13
402,01/23/23 03:00:00 午前,17.177
403,01/23/23 04:00:00 午前,17.249
404,01/23/23 05:00:00 午前,17.391
405,01/23/23 06:00:00 午前,17.391
406,01/23/23 07:00:00 午前,17.296
407,01/23/23 08:00:00 午前,17.272
408,01/23/23 09:00:00 午前,17.225
409,01/23/23 10:00:00 午前,17.106
410,01/23/23 11:00:00 午前,17.106
411,01/23/23 12:00:00 午後,17.106
412,01/23/23 01:00:00 午後,17.106
413,01/23/23 02:00:00 午後,17.058
414,01/23/23 03:00:00 午後,17.058
415,01/23/23 04:00:00 午後,17.011
416,01/23/23 05:00:00 午後,17.011
417,01/23/23 06:00:00 午後,17.13
418,01/23/23 07:00:00 午後,17.058
419,01/23/23 08:00:00 午後,16.987
420,01/23/23 09:00:00 午後,17.082
421,01/23/23 10:00:00 午後,17.011
422,01/23/23 11:00:00 午後,16.844
423,01/24/23 12:00:00 午前,16.796
424,01/24/23 01:00:00 午前,16.701
425,01/24/23 02:00:00 午前,16.582
426,01/24/23 03:00:00 午前,16.558
427,01/24/23 04:00:00 午前,16.725
428,01/24/23 05:00:00 午前,16.82
429,01/24/23 06:00:00 午前,16.892
430,01/24/23 07:00:00 午前,16.725
431,01/24/23 08:00:00 午前,16.892
432,01/24/23 09:00:00 午前,16.868
433,01/24/23 10:00:00 午前,16.844
434,01/24/23 11:00:00 午前,16.749
435,01/24/23 12:00:00 午後,16.654
436,01/24/23 01:00:00 午後,16.534
437,01/24/23 02:00:00 午後,16.392
438,01/24/23 03:00:00 午後,16.272
439,01/24/23 04:00:00 午後,16.296
440,01/24/23 05:00:00 午後,16.201
441,01/24/23 06:00:00 午後,15.915
442,01/24/23 07:00:00 午後,15.676
443,01/24/23 08:00:00 午後,15.342
444,01/24/23 09:00:00 午後,15.247
445,01/24/23 10:00:00 午後,15.247
446,01/24/23 11:00:00 午後,15.27
447,01/25/23 12:00:00 午前,15.223
448,01/25/23 01:00:00 午前,14.792
449,01/25/23 02:00:00 午前,14.984
450,01/25/23 03:00:00 午前,15.366
451,01/25/23 04:00:00 午前,15.223
452,01/25/23 05:00:00 午前,15.175
453,01/25/23 06:00:00 午前,15.461
454,01/25/23 07:00:00 午前,15.485
455,01/25/23 08:00:00 午前,15.485
456,01/25/23 09:00:00 午前,15.963
457,01/25/23 10:00:00 午前,16.034
