プロット タイトル: site21_spot013_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054305, SEN S/N: 20054305, LBL: ℃)",カプラー取り外し (LGR S/N: 20054305),カプラー取り付け (LGR S/N: 20054305),ホスト接続 (LGR S/N: 20054305),停止済み (LGR S/N: 20054305),ファイルの終わり (LGR S/N: 20054305)
79,12/13/22 04:00:00 午後,20.365,,,,,
80,12/13/22 05:00:00 午後,20.317,,,,,
81,12/13/22 06:00:00 午後,20.246,,,,,
82,12/13/22 07:00:00 午後,20.198,,,,,
83,12/13/22 08:00:00 午後,20.174,,,,,
84,12/13/22 09:00:00 午後,20.007,,,,,
85,12/13/22 10:00:00 午後,20.103,,,,,
86,12/13/22 11:00:00 午後,19.841,,,,,
87,12/14/22 12:00:00 午前,19.817,,,,,
88,12/14/22 01:00:00 午前,19.841,,,,,
89,12/14/22 02:00:00 午前,19.888,,,,,
90,12/14/22 03:00:00 午前,19.936,,,,,
91,12/14/22 04:00:00 午前,19.698,,,,,
92,12/14/22 05:00:00 午前,19.746,,,,,
93,12/14/22 06:00:00 午前,19.912,,,,,
94,12/14/22 07:00:00 午前,19.674,,,,,
95,12/14/22 08:00:00 午前,19.674,,,,,
96,12/14/22 09:00:00 午前,20.412,,,,,
97,12/14/22 10:00:00 午前,20.484,,,,,
98,12/14/22 11:00:00 午前,20.507,,,,,
99,12/14/22 12:00:00 午後,20.246,,,,,
100,12/14/22 01:00:00 午後,20.246,,,,,
101,12/14/22 02:00:00 午後,20.293,,,,,
102,12/14/22 03:00:00 午後,20.246,,,,,
103,12/14/22 04:00:00 午後,20.103,,,,,
104,12/14/22 05:00:00 午後,19.865,,,,,
105,12/14/22 06:00:00 午後,20.055,,,,,
106,12/14/22 07:00:00 午後,19.984,,,,,
107,12/14/22 08:00:00 午後,19.888,,,,,
108,12/14/22 09:00:00 午後,19.722,,,,,
109,12/14/22 10:00:00 午後,19.46,,,,,
110,12/14/22 11:00:00 午後,19.436,,,,,
111,12/15/22 12:00:00 午前,19.436,,,,,
112,12/15/22 01:00:00 午前,19.46,,,,,
113,12/15/22 02:00:00 午前,19.341,,,,,
114,12/15/22 03:00:00 午前,19.341,,,,,
115,12/15/22 04:00:00 午前,19.27,,,,,
116,12/15/22 05:00:00 午前,19.27,,,,,
117,12/15/22 06:00:00 午前,19.27,,,,,
118,12/15/22 07:00:00 午前,19.294,,,,,
119,12/15/22 08:00:00 午前,19.413,,,,,
120,12/15/22 09:00:00 午前,19.793,,,,,
121,12/15/22 10:00:00 午前,19.841,,,,,
122,12/15/22 11:00:00 午前,20.007,,,,,
123,12/15/22 12:00:00 午後,20.079,,,,,
124,12/15/22 01:00:00 午後,19.817,,,,,
125,12/15/22 02:00:00 午後,19.746,,,,,
126,12/15/22 03:00:00 午後,19.674,,,,,
127,12/15/22 04:00:00 午後,19.651,,,,,
128,12/15/22 05:00:00 午後,19.651,,,,,
129,12/15/22 06:00:00 午後,19.674,,,,,
130,12/15/22 07:00:00 午後,19.579,,,,,
131,12/15/22 08:00:00 午後,19.508,,,,,
132,12/15/22 09:00:00 午後,19.436,,,,,
133,12/15/22 10:00:00 午後,19.389,,,,,
134,12/15/22 11:00:00 午後,19.555,,,,,
135,12/16/22 12:00:00 午前,19.722,,,,,
136,12/16/22 01:00:00 午前,19.389,,,,,
137,12/16/22 02:00:00 午前,19.175,,,,,
138,12/16/22 03:00:00 午前,19.199,,,,,
139,12/16/22 04:00:00 午前,19.294,,,,,
140,12/16/22 05:00:00 午前,19.365,,,,,
141,12/16/22 06:00:00 午前,19.246,,,,,
142,12/16/22 07:00:00 午前,19.222,,,,,
143,12/16/22 08:00:00 午前,19.27,,,,,
144,12/16/22 09:00:00 午前,19.413,,,,,
145,12/16/22 10:00:00 午前,19.651,,,,,
146,12/16/22 11:00:00 午前,19.793,,,,,
147,12/16/22 12:00:00 午後,19.817,,,,,
148,12/16/22 01:00:00 午後,19.841,,,,,
149,12/16/22 02:00:00 午後,19.77,,,,,
150,12/16/22 03:00:00 午後,19.698,,,,,
151,12/16/22 04:00:00 午後,19.674,,,,,
152,12/16/22 05:00:00 午後,19.579,,,,,
153,12/16/22 06:00:00 午後,19.532,,,,,
154,12/16/22 07:00:00 午後,19.413,,,,,
155,12/16/22 08:00:00 午後,19.341,,,,,
156,12/16/22 09:00:00 午後,19.341,,,,,
157,12/16/22 10:00:00 午後,19.246,,,,,
158,12/16/22 11:00:00 午後,19.603,,,,,
159,12/17/22 12:00:00 午前,19.555,,,,,
160,12/17/22 01:00:00 午前,19.46,,,,,
161,12/17/22 02:00:00 午前,19.341,,,,,
162,12/17/22 03:00:00 午前,19.199,,,,,
163,12/17/22 04:00:00 午前,19.27,,,,,
164,12/17/22 05:00:00 午前,19.246,,,,,
165,12/17/22 06:00:00 午前,19.246,,,,,
166,12/17/22 07:00:00 午前,19.222,,,,,
167,12/17/22 08:00:00 午前,19.318,,,,,
168,12/17/22 09:00:00 午前,19.365,,,,,
169,12/17/22 10:00:00 午前,19.436,,,,,
170,12/17/22 11:00:00 午前,19.674,,,,,
171,12/17/22 12:00:00 午後,19.627,,,,,
172,12/17/22 01:00:00 午後,19.698,,,,,
173,12/17/22 02:00:00 午後,19.294,,,,,
174,12/17/22 03:00:00 午後,19.246,,,,,
175,12/17/22 04:00:00 午後,19.246,,,,,
176,12/17/22 05:00:00 午後,19.27,,,,,
177,12/17/22 06:00:00 午後,19.389,,,,,
178,12/17/22 07:00:00 午後,19.389,,,,,
179,12/17/22 08:00:00 午後,19.389,,,,,
180,12/17/22 09:00:00 午後,19.341,,,,,
181,12/17/22 10:00:00 午後,19.318,,,,,
182,12/17/22 11:00:00 午後,19.341,,,,,
183,12/18/22 12:00:00 午前,19.579,,,,,
184,12/18/22 01:00:00 午前,19.603,,,,,
185,12/18/22 02:00:00 午前,19.579,,,,,
186,12/18/22 03:00:00 午前,19.365,,,,,
187,12/18/22 04:00:00 午前,19.27,,,,,
188,12/18/22 05:00:00 午前,19.175,,,,,
189,12/18/22 06:00:00 午前,18.937,,,,,
190,12/18/22 07:00:00 午前,18.985,,,,,
191,12/18/22 08:00:00 午前,18.866,,,,,
192,12/18/22 09:00:00 午前,18.818,,,,,
193,12/18/22 10:00:00 午前,19.056,,,,,
194,12/18/22 11:00:00 午前,18.723,,,,,
195,12/18/22 12:00:00 午後,18.675,,,,,
196,12/18/22 01:00:00 午後,18.628,,,,,
197,12/18/22 02:00:00 午後,18.509,,,,,
198,12/18/22 03:00:00 午後,18.557,,,,,
199,12/18/22 04:00:00 午後,18.652,,,,,
200,12/18/22 05:00:00 午後,18.675,,,,,
201,12/18/22 06:00:00 午後,18.509,,,,,
202,12/18/22 07:00:00 午後,18.509,,,,,
203,12/18/22 08:00:00 午後,18.485,,,,,
204,12/18/22 09:00:00 午後,18.414,,,,,
205,12/18/22 10:00:00 午後,18.366,,,,,
206,12/18/22 11:00:00 午後,18.176,,,,,
207,12/19/22 12:00:00 午前,18.129,,,,,
208,12/19/22 01:00:00 午前,18.295,,,,,
209,12/19/22 02:00:00 午前,18.414,,,,,
210,12/19/22 03:00:00 午前,18.58,,,,,
211,12/19/22 04:00:00 午前,18.675,,,,,
212,12/19/22 05:00:00 午前,18.675,,,,,
213,12/19/22 06:00:00 午前,18.771,,,,,
214,12/19/22 07:00:00 午前,18.557,,,,,
215,12/19/22 08:00:00 午前,18.771,,,,,
216,12/19/22 09:00:00 午前,18.652,,,,,
217,12/19/22 10:00:00 午前,18.438,,,,,
218,12/19/22 11:00:00 午前,18.557,,,,,
219,12/19/22 12:00:00 午後,18.913,,,,,
220,12/19/22 01:00:00 午後,19.103,,,,,
221,12/19/22 02:00:00 午後,19.27,,,,,
222,12/19/22 03:00:00 午後,19.294,,,,,
223,12/19/22 04:00:00 午後,19.222,,,,,
224,12/19/22 05:00:00 午後,18.937,,,,,
225,12/19/22 06:00:00 午後,18.675,,,,,
226,12/19/22 07:00:00 午後,18.58,,,,,
227,12/19/22 08:00:00 午後,18.533,,,,,
228,12/19/22 09:00:00 午後,18.818,,,,,
229,12/19/22 10:00:00 午後,18.818,,,,,
230,12/19/22 11:00:00 午後,18.699,,,,,
231,12/20/22 12:00:00 午前,18.438,,,,,
232,12/20/22 01:00:00 午前,18.461,,,,,
233,12/20/22 02:00:00 午前,18.39,,,,,
234,12/20/22 03:00:00 午前,18.295,,,,,
235,12/20/22 04:00:00 午前,18.414,,,,,
236,12/20/22 05:00:00 午前,18.224,,,,,
237,12/20/22 06:00:00 午前,18.224,,,,,
238,12/20/22 07:00:00 午前,18.247,,,,,
239,12/20/22 08:00:00 午前,18.152,,,,,
240,12/20/22 09:00:00 午前,18.247,,,,,
241,12/20/22 10:00:00 午前,18.461,,,,,
242,12/20/22 11:00:00 午前,18.628,,,,,
243,12/20/22 12:00:00 午後,18.699,,,,,
244,12/20/22 01:00:00 午後,18.699,,,,,
245,12/20/22 02:00:00 午後,18.818,,,,,
246,12/20/22 03:00:00 午後,18.961,,,,,
247,12/20/22 04:00:00 午後,19.246,,,,,
248,12/20/22 05:00:00 午後,19.008,,,,,
249,12/20/22 06:00:00 午後,19.127,,,,,
250,12/20/22 07:00:00 午後,18.866,,,,,
251,12/20/22 08:00:00 午後,18.913,,,,,
252,12/20/22 09:00:00 午後,18.866,,,,,
253,12/20/22 10:00:00 午後,18.699,,,,,
254,12/20/22 11:00:00 午後,18.58,,,,,
255,12/21/22 12:00:00 午前,18.58,,,,,
256,12/21/22 01:00:00 午前,18.533,,,,,
257,12/21/22 02:00:00 午前,18.485,,,,,
258,12/21/22 03:00:00 午前,18.509,,,,,
259,12/21/22 04:00:00 午前,18.509,,,,,
260,12/21/22 05:00:00 午前,18.533,,,,,
261,12/21/22 06:00:00 午前,18.485,,,,,
262,12/21/22 07:00:00 午前,18.557,,,,,
263,12/21/22 08:00:00 午前,18.461,,,,,
264,12/21/22 09:00:00 午前,18.485,,,,,
265,12/21/22 10:00:00 午前,18.509,,,,,
266,12/21/22 11:00:00 午前,18.533,,,,,
267,12/21/22 12:00:00 午後,18.628,,,,,
268,12/21/22 01:00:00 午後,18.794,,,,,
269,12/21/22 02:00:00 午後,18.866,,,,,
270,12/21/22 03:00:00 午後,18.889,,,,,
271,12/21/22 04:00:00 午後,18.913,,,,,
272,12/21/22 05:00:00 午後,18.961,,,,,
273,12/21/22 06:00:00 午後,19.008,,,,,
274,12/21/22 07:00:00 午後,18.913,,,,,
275,12/21/22 08:00:00 午後,18.937,,,,,
276,12/21/22 09:00:00 午後,19.008,,,,,
277,12/21/22 10:00:00 午後,19.032,,,,,
278,12/21/22 11:00:00 午後,18.937,,,,,
279,12/22/22 12:00:00 午前,18.889,,,,,
280,12/22/22 01:00:00 午前,18.723,,,,,
281,12/22/22 02:00:00 午前,18.628,,,,,
282,12/22/22 03:00:00 午前,18.913,,,,,
283,12/22/22 04:00:00 午前,18.747,,,,,
284,12/22/22 05:00:00 午前,18.985,,,,,
285,12/22/22 06:00:00 午前,18.866,,,,,
286,12/22/22 07:00:00 午前,18.509,,,,,
287,12/22/22 08:00:00 午前,18.485,,,,,
288,12/22/22 09:00:00 午前,18.652,,,,,
289,12/22/22 10:00:00 午前,18.604,,,,,
290,12/22/22 11:00:00 午前,18.509,,,,,
291,12/22/22 12:00:00 午後,18.533,,,,,
292,12/22/22 01:00:00 午後,18.628,,,,,
293,12/22/22 02:00:00 午後,18.675,,,,,
294,12/22/22 03:00:00 午後,18.961,,,,,
295,12/22/22 04:00:00 午後,19.008,,,,,
296,12/22/22 05:00:00 午後,18.913,,,,,
297,12/22/22 06:00:00 午後,18.889,,,,,
298,12/22/22 07:00:00 午後,18.866,,,,,
299,12/22/22 08:00:00 午後,18.247,,,,,
300,12/22/22 09:00:00 午後,18.2,,,,,
301,12/22/22 10:00:00 午後,18.176,,,,,
302,12/22/22 11:00:00 午後,18.2,,,,,
303,12/23/22 12:00:00 午前,18.129,,,,,
304,12/23/22 01:00:00 午前,18.105,,,,,
305,12/23/22 02:00:00 午前,17.962,,,,,
306,12/23/22 03:00:00 午前,18.01,,,,,
307,12/23/22 04:00:00 午前,18.295,,,,,
308,12/23/22 05:00:00 午前,18.39,,,,,
309,12/23/22 06:00:00 午前,18.438,,,,,
310,12/23/22 07:00:00 午前,18.414,,,,,
311,12/23/22 08:00:00 午前,18.057,,,,,
312,12/23/22 09:00:00 午前,18.295,,,,,
313,12/23/22 10:00:00 午前,18.343,,,,,
314,12/23/22 11:00:00 午前,18.343,,,,,
315,12/23/22 12:00:00 午後,18.105,,,,,
316,12/23/22 01:00:00 午後,18.081,,,,,
317,12/23/22 02:00:00 午後,18.081,,,,,
318,12/23/22 03:00:00 午後,17.986,,,,,
319,12/23/22 04:00:00 午後,17.986,,,,,
320,12/23/22 05:00:00 午後,17.938,,,,,
321,12/23/22 06:00:00 午後,17.915,,,,,
322,12/23/22 07:00:00 午後,17.962,,,,,
323,12/23/22 08:00:00 午後,17.915,,,,,
324,12/23/22 09:00:00 午後,17.796,,,,,
325,12/23/22 10:00:00 午後,17.748,,,,,
326,12/23/22 11:00:00 午後,17.629,,,,,
327,12/24/22 12:00:00 午前,17.558,,,,,
328,12/24/22 01:00:00 午前,17.486,,,,,
329,12/24/22 02:00:00 午前,17.439,,,,,
330,12/24/22 03:00:00 午前,17.486,,,,,
331,12/24/22 04:00:00 午前,17.677,,,,,
332,12/24/22 05:00:00 午前,17.415,,,,,
333,12/24/22 06:00:00 午前,17.344,,,,,
334,12/24/22 07:00:00 午前,17.938,,,,,
335,12/24/22 08:00:00 午前,18.033,,,,,
336,12/24/22 09:00:00 午前,17.843,,,,,
337,12/24/22 10:00:00 午前,17.605,,,,,
338,12/24/22 11:00:00 午前,17.486,,,,,
339,12/24/22 12:00:00 午後,17.415,,,,,
340,12/24/22 01:00:00 午後,17.534,,,,,
341,12/24/22 02:00:00 午後,17.582,,,,,
342,12/24/22 03:00:00 午後,17.605,,,,,
343,12/24/22 04:00:00 午後,17.724,,,,,
344,12/24/22 05:00:00 午後,17.724,,,,,
345,12/24/22 06:00:00 午後,17.558,,,,,
346,12/24/22 07:00:00 午後,17.605,,,,,
347,12/24/22 08:00:00 午後,17.582,,,,,
348,12/24/22 09:00:00 午後,17.296,,,,,
349,12/24/22 10:00:00 午後,17.391,,,,,
350,12/24/22 11:00:00 午後,17.368,,,,,
351,12/25/22 12:00:00 午前,17.486,,,,,
352,12/25/22 01:00:00 午前,17.605,,,,,
353,12/25/22 02:00:00 午前,17.439,,,,,
354,12/25/22 03:00:00 午前,17.463,,,,,
355,12/25/22 04:00:00 午前,17.582,,,,,
356,12/25/22 05:00:00 午前,17.486,,,,,
357,12/25/22 06:00:00 午前,17.582,,,,,
358,12/25/22 07:00:00 午前,17.677,,,,,
359,12/25/22 08:00:00 午前,17.653,,,,,
360,12/25/22 09:00:00 午前,17.653,,,,,
361,12/25/22 10:00:00 午前,17.748,,,,,
362,12/25/22 11:00:00 午前,17.915,,,,,
363,12/25/22 12:00:00 午後,18.057,,,,,
364,12/25/22 01:00:00 午後,17.724,,,,,
365,12/25/22 02:00:00 午後,18.319,,,,,
366,12/25/22 03:00:00 午後,18.58,,,,,
367,12/25/22 04:00:00 午後,18.652,,,,,
368,12/25/22 05:00:00 午後,18.295,,,,,
369,12/25/22 06:00:00 午後,18.247,,,,,
370,12/25/22 07:00:00 午後,18.224,,,,,
371,12/25/22 08:00:00 午後,18.485,,,,,
372,12/25/22 09:00:00 午後,18.438,,,,,
373,12/25/22 10:00:00 午後,18.319,,,,,
374,12/25/22 11:00:00 午後,17.962,,,,,
375,12/26/22 12:00:00 午前,17.938,,,,,
376,12/26/22 01:00:00 午前,17.867,,,,,
377,12/26/22 02:00:00 午前,17.891,,,,,
378,12/26/22 03:00:00 午前,17.915,,,,,
379,12/26/22 04:00:00 午前,17.819,,,,,
380,12/26/22 05:00:00 午前,17.677,,,,,
381,12/26/22 06:00:00 午前,17.629,,,,,
382,12/26/22 07:00:00 午前,17.605,,,,,
383,12/26/22 08:00:00 午前,17.724,,,,,
384,12/26/22 09:00:00 午前,17.748,,,,,
385,12/26/22 10:00:00 午前,17.582,,,,,
386,12/26/22 11:00:00 午前,18.081,,,,,
387,12/26/22 12:00:00 午後,18.176,,,,,
388,12/26/22 01:00:00 午後,18.176,,,,,
389,12/26/22 02:00:00 午後,18.057,,,,,
390,12/26/22 03:00:00 午後,18.033,,,,,
391,12/26/22 04:00:00 午後,17.986,,,,,
392,12/26/22 05:00:00 午後,18.081,,,,,
393,12/26/22 06:00:00 午後,18.105,,,,,
394,12/26/22 07:00:00 午後,18.057,,,,,
395,12/26/22 08:00:00 午後,17.891,,,,,
396,12/26/22 09:00:00 午後,17.986,,,,,
397,12/26/22 10:00:00 午後,18.366,,,,,
398,12/26/22 11:00:00 午後,17.867,,,,,
399,12/27/22 12:00:00 午前,17.891,,,,,
400,12/27/22 01:00:00 午前,17.962,,,,,
401,12/27/22 02:00:00 午前,18.01,,,,,
402,12/27/22 03:00:00 午前,18.01,,,,,
403,12/27/22 04:00:00 午前,17.938,,,,,
404,12/27/22 05:00:00 午前,17.867,,,,,
405,12/27/22 06:00:00 午前,17.843,,,,,
406,12/27/22 07:00:00 午前,17.796,,,,,
407,12/27/22 08:00:00 午前,17.819,,,,,
408,12/27/22 09:00:00 午前,17.796,,,,,
409,12/27/22 10:00:00 午前,17.772,,,,,
410,12/27/22 11:00:00 午前,17.748,,,,,
411,12/27/22 12:00:00 午後,17.819,,,,,
412,12/27/22 01:00:00 午後,18.081,,,,,
413,12/27/22 02:00:00 午後,18.438,,,,,
414,12/27/22 03:00:00 午後,18.414,,,,,
415,12/27/22 04:00:00 午後,18.414,,,,,
416,12/27/22 05:00:00 午後,18.39,,,,,
417,12/27/22 06:00:00 午後,18.509,,,,,
418,12/27/22 07:00:00 午後,18.343,,,,,
419,12/27/22 08:00:00 午後,18.295,,,,,
420,12/27/22 09:00:00 午後,18.366,,,,,
421,12/27/22 10:00:00 午後,18.2,,,,,
422,12/27/22 11:00:00 午後,18.105,,,,,
423,12/28/22 12:00:00 午前,18.105,,,,,
424,12/28/22 01:00:00 午前,18.105,,,,,
425,12/28/22 02:00:00 午前,18.01,,,,,
426,12/28/22 03:00:00 午前,17.986,,,,,
427,12/28/22 04:00:00 午前,18.01,,,,,
428,12/28/22 05:00:00 午前,17.915,,,,,
429,12/28/22 06:00:00 午前,17.867,,,,,
430,12/28/22 07:00:00 午前,17.772,,,,,
431,12/28/22 08:00:00 午前,17.915,,,,,
432,12/28/22 09:00:00 午前,18.033,,,,,
433,12/28/22 10:00:00 午前,18.105,,,,,
434,12/28/22 11:00:00 午前,18.271,,,,,
435,12/28/22 12:00:00 午後,18.343,,,,,
436,12/28/22 01:00:00 午後,18.414,,,,,
437,12/28/22 02:00:00 午後,18.509,,,,,
438,12/28/22 03:00:00 午後,18.557,,,,,
439,12/28/22 04:00:00 午後,18.533,,,,,
440,12/28/22 05:00:00 午後,18.438,,,,,
441,12/28/22 06:00:00 午後,18.343,,,,,
442,12/28/22 07:00:00 午後,18.39,,,,,
443,12/28/22 08:00:00 午後,18.343,,,,,
444,12/28/22 09:00:00 午後,18.319,,,,,
445,12/28/22 10:00:00 午後,18.224,,,,,
446,12/28/22 11:00:00 午後,18.2,,,,,
447,12/29/22 12:00:00 午前,18.224,,,,,
448,12/29/22 01:00:00 午前,18.176,,,,,
449,12/29/22 02:00:00 午前,18.152,,,,,
450,12/29/22 03:00:00 午前,18.105,,,,,
451,12/29/22 04:00:00 午前,18.081,,,,,
452,12/29/22 05:00:00 午前,18.01,,,,,
453,12/29/22 06:00:00 午前,17.915,,,,,
454,12/29/22 07:00:00 午前,17.819,,,,,
455,12/29/22 08:00:00 午前,17.772,,,,,
456,12/29/22 09:00:00 午前,17.748,,,,,
457,12/29/22 10:00:00 午前,17.819,,,,,
458,12/29/22 11:00:00 午前,18.01,,,,,
459,12/29/22 12:00:00 午後,18.152,,,,,
460,12/29/22 01:00:00 午後,18.129,,,,,
461,12/29/22 02:00:00 午後,18.247,,,,,
462,12/29/22 03:00:00 午後,18.295,,,,,
463,12/29/22 04:00:00 午後,18.105,,,,,
464,12/29/22 05:00:00 午後,18.081,,,,,
465,12/29/22 06:00:00 午後,18.01,,,,,
466,12/29/22 07:00:00 午後,17.915,,,,,
467,12/29/22 08:00:00 午後,17.915,,,,,
468,12/29/22 09:00:00 午後,17.796,,,,,
469,12/29/22 10:00:00 午後,17.772,,,,,
470,12/29/22 11:00:00 午後,17.724,,,,,
471,12/30/22 12:00:00 午前,17.629,,,,,
472,12/30/22 01:00:00 午前,17.605,,,,,
473,12/30/22 02:00:00 午前,17.51,,,,,
474,12/30/22 03:00:00 午前,17.391,,,,,
475,12/30/22 04:00:00 午前,17.272,,,,,
476,12/30/22 05:00:00 午前,17.201,,,,,
477,12/30/22 06:00:00 午前,17.249,,,,,
478,12/30/22 07:00:00 午前,17.32,,,,,
479,12/30/22 08:00:00 午前,17.415,,,,,
480,12/30/22 09:00:00 午前,17.486,,,,,
481,12/30/22 10:00:00 午前,17.629,,,,,
482,12/30/22 11:00:00 午前,17.748,,,,,
483,12/30/22 12:00:00 午後,17.819,,,,,
484,12/30/22 01:00:00 午後,17.819,,,,,
485,12/30/22 02:00:00 午後,17.819,,,,,
486,12/30/22 03:00:00 午後,17.867,,,,,
487,12/30/22 04:00:00 午後,17.938,,,,,
488,12/30/22 05:00:00 午後,17.962,,,,,
489,12/30/22 06:00:00 午後,17.938,,,,,
490,12/30/22 07:00:00 午後,17.938,,,,,
491,12/30/22 08:00:00 午後,17.843,,,,,
492,12/30/22 09:00:00 午後,17.867,,,,,
493,12/30/22 10:00:00 午後,17.772,,,,,
494,12/30/22 11:00:00 午後,17.772,,,,,
495,12/31/22 12:00:00 午前,17.748,,,,,
496,12/31/22 01:00:00 午前,17.772,,,,,
497,12/31/22 02:00:00 午前,17.819,,,,,
498,12/31/22 03:00:00 午前,17.796,,,,,
499,12/31/22 04:00:00 午前,17.772,,,,,
500,12/31/22 05:00:00 午前,17.748,,,,,
501,12/31/22 06:00:00 午前,17.724,,,,,
502,12/31/22 07:00:00 午前,17.772,,,,,
503,12/31/22 08:00:00 午前,17.796,,,,,
504,12/31/22 09:00:00 午前,17.843,,,,,
505,12/31/22 10:00:00 午前,17.891,,,,,
506,12/31/22 11:00:00 午前,17.986,,,,,
507,12/31/22 12:00:00 午後,18.081,,,,,
508,12/31/22 01:00:00 午後,18.295,,,,,
509,12/31/22 02:00:00 午後,18.39,,,,,
510,12/31/22 03:00:00 午後,18.438,,,,,
511,12/31/22 04:00:00 午後,18.247,,,,,
512,12/31/22 05:00:00 午後,18.247,,,,,
513,12/31/22 06:00:00 午後,18.176,,,,,
514,12/31/22 07:00:00 午後,18.057,,,,,
515,12/31/22 08:00:00 午後,18.01,,,,,
516,12/31/22 09:00:00 午後,18.01,,,,,
517,12/31/22 10:00:00 午後,17.986,,,,,
518,12/31/22 11:00:00 午後,17.986,,,,,
519,01/01/23 12:00:00 午前,18.01,,,,,
520,01/01/23 01:00:00 午前,18.01,,,,,
521,01/01/23 02:00:00 午前,17.986,,,,,
522,01/01/23 03:00:00 午前,17.962,,,,,
523,01/01/23 04:00:00 午前,17.962,,,,,
524,01/01/23 05:00:00 午前,17.629,,,,,
