プロット タイトル: site05_spot014_2020,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20523064, SEN S/N: 20523064)",カプラー取り外し (LGR S/N: 20523064),カプラー取り付け (LGR S/N: 20523064),ホスト接続 (LGR S/N: 20523064),ファイルの終わり (LGR S/N: 20523064)
68,09/27/19 09:30:00 午前,26.28,,,,
69,09/27/19 10:00:00 午前,26.304,,,,
70,09/27/19 10:30:00 午前,26.353,,,,
71,09/27/19 11:00:00 午前,26.402,,,,
72,09/27/19 11:30:00 午前,26.231,,,,
73,09/27/19 12:00:00 午後,26.28,,,,
74,09/27/19 12:30:00 午後,26.524,,,,
75,09/27/19 01:00:00 午後,26.598,,,,
76,09/27/19 01:30:00 午後,26.573,,,,
77,09/27/19 02:00:00 午後,26.378,,,,
78,09/27/19 02:30:00 午後,26.426,,,,
79,09/27/19 03:00:00 午後,26.402,,,,
80,09/27/19 03:30:00 午後,26.353,,,,
81,09/27/19 04:00:00 午後,26.402,,,,
82,09/27/19 04:30:00 午後,26.451,,,,
83,09/27/19 05:00:00 午後,26.549,,,,
84,09/27/19 05:30:00 午後,26.524,,,,
85,09/27/19 06:00:00 午後,26.524,,,,
86,09/27/19 06:30:00 午後,26.5,,,,
87,09/27/19 07:00:00 午後,26.475,,,,
88,09/27/19 07:30:00 午後,26.451,,,,
89,09/27/19 08:00:00 午後,26.5,,,,
90,09/27/19 08:30:00 午後,26.475,,,,
91,09/27/19 09:00:00 午後,26.475,,,,
92,09/27/19 09:30:00 午後,26.5,,,,
93,09/27/19 10:00:00 午後,26.5,,,,
94,09/27/19 10:30:00 午後,26.549,,,,
95,09/27/19 11:00:00 午後,26.549,,,,
96,09/27/19 11:30:00 午後,26.549,,,,
97,09/28/19 12:00:00 午前,26.598,,,,
98,09/28/19 12:30:00 午前,26.622,,,,
99,09/28/19 01:00:00 午前,26.5,,,,
100,09/28/19 01:30:00 午前,26.573,,,,
101,09/28/19 02:00:00 午前,26.549,,,,
102,09/28/19 02:30:00 午前,26.573,,,,
103,09/28/19 03:00:00 午前,26.573,,,,
104,09/28/19 03:30:00 午前,26.524,,,,
105,09/28/19 04:00:00 午前,26.524,,,,
106,09/28/19 04:30:00 午前,26.549,,,,
107,09/28/19 05:00:00 午前,26.549,,,,
108,09/28/19 05:30:00 午前,26.5,,,,
109,09/28/19 06:00:00 午前,26.451,,,,
110,09/28/19 06:30:00 午前,26.402,,,,
111,09/28/19 07:00:00 午前,26.402,,,,
112,09/28/19 07:30:00 午前,26.426,,,,
113,09/28/19 08:00:00 午前,26.475,,,,
114,09/28/19 08:30:00 午前,26.5,,,,
115,09/28/19 09:00:00 午前,26.475,,,,
116,09/28/19 09:30:00 午前,26.5,,,,
117,09/28/19 10:00:00 午前,26.524,,,,
118,09/28/19 10:30:00 午前,26.573,,,,
119,09/28/19 11:00:00 午前,26.451,,,,
120,09/28/19 11:30:00 午前,26.5,,,,
121,09/28/19 12:00:00 午後,26.524,,,,
122,09/28/19 12:30:00 午後,26.402,,,,
123,09/28/19 01:00:00 午後,26.353,,,,
124,09/28/19 01:30:00 午後,26.426,,,,
125,09/28/19 02:00:00 午後,26.524,,,,
126,09/28/19 02:30:00 午後,26.5,,,,
127,09/28/19 03:00:00 午後,26.5,,,,
128,09/28/19 03:30:00 午後,26.5,,,,
129,09/28/19 04:00:00 午後,26.475,,,,
130,09/28/19 04:30:00 午後,26.451,,,,
131,09/28/19 05:00:00 午後,26.378,,,,
132,09/28/19 05:30:00 午後,26.402,,,,
133,09/28/19 06:00:00 午後,26.329,,,,
134,09/28/19 06:30:00 午後,26.426,,,,
135,09/28/19 07:00:00 午後,26.5,,,,
136,09/28/19 07:30:00 午後,26.451,,,,
137,09/28/19 08:00:00 午後,26.475,,,,
138,09/28/19 08:30:00 午後,26.475,,,,
139,09/28/19 09:00:00 午後,26.646,,,,
140,09/28/19 09:30:00 午後,26.646,,,,
141,09/28/19 10:00:00 午後,26.622,,,,
142,09/28/19 10:30:00 午後,26.646,,,,
143,09/28/19 11:00:00 午後,26.573,,,,
144,09/28/19 11:30:00 午後,26.353,,,,
145,09/29/19 12:00:00 午前,26.378,,,,
146,09/29/19 12:30:00 午前,26.524,,,,
147,09/29/19 01:00:00 午前,26.549,,,,
148,09/29/19 01:30:00 午前,26.598,,,,
149,09/29/19 02:00:00 午前,26.622,,,,
150,09/29/19 02:30:00 午前,26.622,,,,
151,09/29/19 03:00:00 午前,26.646,,,,
152,09/29/19 03:30:00 午前,26.573,,,,
153,09/29/19 04:00:00 午前,26.402,,,,
154,09/29/19 04:30:00 午前,26.329,,,,
155,09/29/19 05:00:00 午前,26.158,,,,
156,09/29/19 05:30:00 午前,26.231,,,,
157,09/29/19 06:00:00 午前,26.304,,,,
158,09/29/19 06:30:00 午前,26.353,,,,
159,09/29/19 07:00:00 午前,26.426,,,,
160,09/29/19 07:30:00 午前,26.475,,,,
161,09/29/19 08:00:00 午前,26.5,,,,
162,09/29/19 08:30:00 午前,26.5,,,,
163,09/29/19 09:00:00 午前,26.524,,,,
164,09/29/19 09:30:00 午前,26.549,,,,
165,09/29/19 10:00:00 午前,26.573,,,,
166,09/29/19 10:30:00 午前,26.622,,,,
167,09/29/19 11:00:00 午前,26.671,,,,
168,09/29/19 11:30:00 午前,26.646,,,,
169,09/29/19 12:00:00 午後,26.5,,,,
170,09/29/19 12:30:00 午後,26.5,,,,
171,09/29/19 01:00:00 午後,26.646,,,,
172,09/29/19 01:30:00 午後,26.695,,,,
173,09/29/19 02:00:00 午後,26.744,,,,
174,09/29/19 02:30:00 午後,26.769,,,,
175,09/29/19 03:00:00 午後,26.695,,,,
176,09/29/19 03:30:00 午後,26.622,,,,
177,09/29/19 04:00:00 午後,26.426,,,,
178,09/29/19 04:30:00 午後,26.451,,,,
179,09/29/19 05:00:00 午後,26.231,,,,
180,09/29/19 05:30:00 午後,26.256,,,,
181,09/29/19 06:00:00 午後,26.28,,,,
182,09/29/19 06:30:00 午後,26.158,,,,
183,09/29/19 07:00:00 午後,26.158,,,,
184,09/29/19 07:30:00 午後,26.158,,,,
185,09/29/19 08:00:00 午後,26.304,,,,
186,09/29/19 08:30:00 午後,26.426,,,,
187,09/29/19 09:00:00 午後,26.5,,,,
188,09/29/19 09:30:00 午後,26.573,,,,
189,09/29/19 10:00:00 午後,26.891,,,,
190,09/29/19 10:30:00 午後,26.622,,,,
191,09/29/19 11:00:00 午後,26.329,,,,
192,09/29/19 11:30:00 午後,26.158,,,,
193,09/30/19 12:00:00 午前,26.256,,,,
194,09/30/19 12:30:00 午前,26.573,,,,
195,09/30/19 01:00:00 午前,26.573,,,,
196,09/30/19 01:30:00 午前,26.622,,,,
197,09/30/19 02:00:00 午前,26.769,,,,
198,09/30/19 02:30:00 午前,26.744,,,,
199,09/30/19 03:00:00 午前,26.744,,,,
200,09/30/19 03:30:00 午前,26.72,,,,
201,09/30/19 04:00:00 午前,26.671,,,,
202,09/30/19 04:30:00 午前,26.671,,,,
203,09/30/19 05:00:00 午前,26.573,,,,
204,09/30/19 05:30:00 午前,26.5,,,,
205,09/30/19 06:00:00 午前,26.134,,,,
206,09/30/19 06:30:00 午前,26.426,,,,
207,09/30/19 07:00:00 午前,26.5,,,,
208,09/30/19 07:30:00 午前,26.524,,,,
209,09/30/19 08:00:00 午前,26.451,,,,
210,09/30/19 08:30:00 午前,26.475,,,,
211,09/30/19 09:00:00 午前,26.475,,,,
212,09/30/19 09:30:00 午前,26.524,,,,
213,09/30/19 10:00:00 午前,26.646,,,,
214,09/30/19 10:30:00 午前,26.72,,,,
215,09/30/19 11:00:00 午前,26.598,,,,
216,09/30/19 11:30:00 午前,26.72,,,,
217,09/30/19 12:00:00 午後,26.671,,,,
218,09/30/19 12:30:00 午後,26.695,,,,
219,09/30/19 01:00:00 午後,26.744,,,,
220,09/30/19 01:30:00 午後,26.793,,,,
221,09/30/19 02:00:00 午後,26.842,,,,
222,09/30/19 02:30:00 午後,26.842,,,,
223,09/30/19 03:00:00 午後,26.744,,,,
224,09/30/19 03:30:00 午後,26.671,,,,
225,09/30/19 04:00:00 午後,26.598,,,,
226,09/30/19 04:30:00 午後,26.426,,,,
227,09/30/19 05:00:00 午後,26.28,,,,
228,09/30/19 05:30:00 午後,26.353,,,,
229,09/30/19 06:00:00 午後,26.182,,,,
230,09/30/19 06:30:00 午後,26.182,,,,
231,09/30/19 07:00:00 午後,26.182,,,,
232,09/30/19 07:30:00 午後,26.158,,,,
233,09/30/19 08:00:00 午後,26.28,,,,
234,09/30/19 08:30:00 午後,26.329,,,,
235,09/30/19 09:00:00 午後,26.524,,,,
236,09/30/19 09:30:00 午後,26.671,,,,
237,09/30/19 10:00:00 午後,27.112,,,,
238,09/30/19 10:30:00 午後,27.112,,,,
239,09/30/19 11:00:00 午後,27.136,,,,
240,09/30/19 11:30:00 午後,26.598,,,,
241,10/01/19 12:00:00 午前,26.842,,,,
242,10/01/19 12:30:00 午前,26.622,,,,
243,10/01/19 01:00:00 午前,26.72,,,,
244,10/01/19 01:30:00 午前,26.72,,,,
245,10/01/19 02:00:00 午前,26.646,,,,
246,10/01/19 02:30:00 午前,26.646,,,,
247,10/01/19 03:00:00 午前,26.72,,,,
248,10/01/19 03:30:00 午前,26.695,,,,
249,10/01/19 04:00:00 午前,26.646,,,,
250,10/01/19 04:30:00 午前,26.622,,,,
251,10/01/19 05:00:00 午前,26.622,,,,
252,10/01/19 05:30:00 午前,26.622,,,,
253,10/01/19 06:00:00 午前,26.598,,,,
254,10/01/19 06:30:00 午前,26.744,,,,
255,10/01/19 07:00:00 午前,26.622,,,,
256,10/01/19 07:30:00 午前,26.598,,,,
257,10/01/19 08:00:00 午前,26.573,,,,
258,10/01/19 08:30:00 午前,26.622,,,,
259,10/01/19 09:00:00 午前,26.695,,,,
260,10/01/19 09:30:00 午前,26.744,,,,
261,10/01/19 10:00:00 午前,26.744,,,,
262,10/01/19 10:30:00 午前,26.867,,,,
263,10/01/19 11:00:00 午前,26.916,,,,
264,10/01/19 11:30:00 午前,26.769,,,,
265,10/01/19 12:00:00 午後,26.94,,,,
266,10/01/19 12:30:00 午後,26.842,,,,
267,10/01/19 01:00:00 午後,26.842,,,,
268,10/01/19 01:30:00 午後,26.867,,,,
269,10/01/19 02:00:00 午後,26.671,,,,
270,10/01/19 02:30:00 午後,26.818,,,,
271,10/01/19 03:00:00 午後,26.891,,,,
272,10/01/19 03:30:00 午後,26.94,,,,
273,10/01/19 04:00:00 午後,26.965,,,,
274,10/01/19 04:30:00 午後,26.94,,,,
275,10/01/19 05:00:00 午後,26.94,,,,
276,10/01/19 05:30:00 午後,26.891,,,,
277,10/01/19 06:00:00 午後,26.867,,,,
278,10/01/19 06:30:00 午後,27.087,,,,
279,10/01/19 07:00:00 午後,27.235,,,,
280,10/01/19 07:30:00 午後,27.358,,,,
281,10/01/19 08:00:00 午後,27.284,,,,
282,10/01/19 08:30:00 午後,27.186,,,,
283,10/01/19 09:00:00 午後,27.382,,,,
284,10/01/19 09:30:00 午後,27.579,,,,
285,10/01/19 10:00:00 午後,27.677,,,,
286,10/01/19 10:30:00 午後,27.505,,,,
287,10/01/19 11:00:00 午後,27.382,,,,
288,10/01/19 11:30:00 午後,27.407,,,,
289,10/02/19 12:00:00 午前,27.014,,,,
290,10/02/19 12:30:00 午前,26.989,,,,
291,10/02/19 01:00:00 午前,26.965,,,,
292,10/02/19 01:30:00 午前,26.94,,,,
293,10/02/19 02:00:00 午前,26.867,,,,
294,10/02/19 02:30:00 午前,26.769,,,,
295,10/02/19 03:00:00 午前,26.744,,,,
296,10/02/19 03:30:00 午前,26.744,,,,
297,10/02/19 04:00:00 午前,26.793,,,,
298,10/02/19 04:30:00 午前,26.818,,,,
299,10/02/19 05:00:00 午前,26.842,,,,
300,10/02/19 05:30:00 午前,26.867,,,,
301,10/02/19 06:00:00 午前,26.891,,,,
302,10/02/19 06:30:00 午前,26.891,,,,
303,10/02/19 07:00:00 午前,26.891,,,,
304,10/02/19 07:30:00 午前,26.916,,,,
305,10/02/19 08:00:00 午前,26.94,,,,
306,10/02/19 08:30:00 午前,26.965,,,,
307,10/02/19 09:00:00 午前,26.989,,,,
308,10/02/19 09:30:00 午前,27.087,,,,
309,10/02/19 10:00:00 午前,27.136,,,,
310,10/02/19 10:30:00 午前,27.21,,,,
311,10/02/19 11:00:00 午前,27.284,,,,
312,10/02/19 11:30:00 午前,27.358,,,,
313,10/02/19 12:00:00 午後,27.407,,,,
314,10/02/19 12:30:00 午後,27.53,,,,
315,10/02/19 01:00:00 午後,27.456,,,,
316,10/02/19 01:30:00 午後,27.579,,,,
317,10/02/19 02:00:00 午後,27.284,,,,
318,10/02/19 02:30:00 午後,27.038,,,,
319,10/02/19 03:00:00 午後,27.112,,,,
320,10/02/19 03:30:00 午後,27.087,,,,
321,10/02/19 04:00:00 午後,27.186,,,,
322,10/02/19 04:30:00 午後,27.161,,,,
323,10/02/19 05:00:00 午後,27.136,,,,
324,10/02/19 05:30:00 午後,27.087,,,,
325,10/02/19 06:00:00 午後,26.867,,,,
326,10/02/19 06:30:00 午後,26.818,,,,
327,10/02/19 07:00:00 午後,26.842,,,,
328,10/02/19 07:30:00 午後,26.769,,,,
329,10/02/19 08:00:00 午後,26.769,,,,
330,10/02/19 08:30:00 午後,26.769,,,,
331,10/02/19 09:00:00 午後,26.695,,,,
332,10/02/19 09:30:00 午後,26.891,,,,
333,10/02/19 10:00:00 午後,26.965,,,,
334,10/02/19 10:30:00 午後,26.965,,,,
335,10/02/19 11:00:00 午後,26.891,,,,
336,10/02/19 11:30:00 午後,27.284,,,,
337,10/03/19 12:00:00 午前,27.333,,,,
338,10/03/19 12:30:00 午前,26.94,,,,
339,10/03/19 01:00:00 午前,26.842,,,,
340,10/03/19 01:30:00 午前,26.867,,,,
341,10/03/19 02:00:00 午前,26.867,,,,
342,10/03/19 02:30:00 午前,26.916,,,,
343,10/03/19 03:00:00 午前,26.94,,,,
344,10/03/19 03:30:00 午前,26.965,,,,
345,10/03/19 04:00:00 午前,26.965,,,,
346,10/03/19 04:30:00 午前,26.965,,,,
347,10/03/19 05:00:00 午前,26.965,,,,
348,10/03/19 05:30:00 午前,26.965,,,,
349,10/03/19 06:00:00 午前,26.94,,,,
350,10/03/19 06:30:00 午前,26.94,,,,
351,10/03/19 07:00:00 午前,26.916,,,,
352,10/03/19 07:30:00 午前,26.867,,,,
353,10/03/19 08:00:00 午前,26.867,,,,
354,10/03/19 08:30:00 午前,26.891,,,,
355,10/03/19 09:00:00 午前,26.891,,,,
356,10/03/19 09:30:00 午前,27.063,,,,
357,10/03/19 10:00:00 午前,26.965,,,,
358,10/03/19 10:30:00 午前,26.94,,,,
359,10/03/19 11:00:00 午前,26.965,,,,
360,10/03/19 11:30:00 午前,27.063,,,,
361,10/03/19 12:00:00 午後,27.063,,,,
362,10/03/19 12:30:00 午後,27.063,,,,
363,10/03/19 01:00:00 午後,27.087,,,,
364,10/03/19 01:30:00 午後,27.112,,,,
365,10/03/19 02:00:00 午後,27.063,,,,
366,10/03/19 02:30:00 午後,27.038,,,,
367,10/03/19 03:00:00 午後,27.333,,,,
368,10/03/19 03:30:00 午後,27.358,,,,
369,10/03/19 04:00:00 午後,27.505,,,,
370,10/03/19 04:30:00 午後,27.579,,,,
371,10/03/19 05:00:00 午後,27.579,,,,
372,10/03/19 05:30:00 午後,27.653,,,,
373,10/03/19 06:00:00 午後,27.407,,,,
374,10/03/19 06:30:00 午後,27.259,,,,
375,10/03/19 07:00:00 午後,27.186,,,,
376,10/03/19 07:30:00 午後,27.112,,,,
377,10/03/19 08:00:00 午後,27.038,,,,
378,10/03/19 08:30:00 午後,27.21,,,,
379,10/03/19 09:00:00 午後,27.136,,,,
380,10/03/19 09:30:00 午後,27.259,,,,
381,10/03/19 10:00:00 午後,27.112,,,,
382,10/03/19 10:30:00 午後,27.161,,,,
383,10/03/19 11:00:00 午後,27.186,,,,
384,10/03/19 11:30:00 午後,27.186,,,,
385,10/04/19 12:00:00 午前,27.161,,,,
386,10/04/19 12:30:00 午前,27.161,,,,
387,10/04/19 01:00:00 午前,27.112,,,,
388,10/04/19 01:30:00 午前,27.063,,,,
389,10/04/19 02:00:00 午前,27.014,,,,
390,10/04/19 02:30:00 午前,27.112,,,,
391,10/04/19 03:00:00 午前,27.161,,,,
392,10/04/19 03:30:00 午前,27.014,,,,
393,10/04/19 04:00:00 午前,27.014,,,,
394,10/04/19 04:30:00 午前,27.087,,,,
395,10/04/19 05:00:00 午前,27.087,,,,
396,10/04/19 05:30:00 午前,27.112,,,,
397,10/04/19 06:00:00 午前,27.038,,,,
398,10/04/19 06:30:00 午前,26.965,,,,
399,10/04/19 07:00:00 午前,26.94,,,,
400,10/04/19 07:30:00 午前,26.891,,,,
401,10/04/19 08:00:00 午前,26.891,,,,
402,10/04/19 08:30:00 午前,26.916,,,,
403,10/04/19 09:00:00 午前,26.916,,,,
404,10/04/19 09:30:00 午前,26.916,,,,
405,10/04/19 10:00:00 午前,26.965,,,,
406,10/04/19 10:30:00 午前,27.014,,,,
407,10/04/19 11:00:00 午前,27.038,,,,
408,10/04/19 11:30:00 午前,27.136,,,,
409,10/04/19 12:00:00 午後,27.161,,,,
410,10/04/19 12:30:00 午後,27.161,,,,
411,10/04/19 01:00:00 午後,27.186,,,,
412,10/04/19 01:30:00 午後,27.186,,,,
413,10/04/19 02:00:00 午後,27.235,,,,
414,10/04/19 02:30:00 午後,27.235,,,,
415,10/04/19 03:00:00 午後,27.186,,,,
416,10/04/19 03:30:00 午後,27.136,,,,
417,10/04/19 04:00:00 午後,27.259,,,,
418,10/04/19 04:30:00 午後,27.308,,,,
419,10/04/19 05:00:00 午後,27.308,,,,
420,10/04/19 05:30:00 午後,27.284,,,,
421,10/04/19 06:00:00 午後,27.284,,,,
422,10/04/19 06:30:00 午後,27.259,,,,
423,10/04/19 07:00:00 午後,27.259,,,,
424,10/04/19 07:30:00 午後,27.259,,,,
425,10/04/19 08:00:00 午後,27.259,,,,
426,10/04/19 08:30:00 午後,27.235,,,,
427,10/04/19 09:00:00 午後,27.235,,,,
428,10/04/19 09:30:00 午後,27.235,,,,
429,10/04/19 10:00:00 午後,27.235,,,,
430,10/04/19 10:30:00 午後,27.235,,,,
431,10/04/19 11:00:00 午後,27.186,,,,
432,10/04/19 11:30:00 午後,27.186,,,,
433,10/05/19 12:00:00 午前,27.186,,,,
434,10/05/19 12:30:00 午前,27.186,,,,
435,10/05/19 01:00:00 午前,27.186,,,,
436,10/05/19 01:30:00 午前,27.186,,,,
437,10/05/19 02:00:00 午前,27.112,,,,
438,10/05/19 02:30:00 午前,27.038,,,,
439,10/05/19 03:00:00 午前,26.989,,,,
440,10/05/19 03:30:00 午前,27.063,,,,
441,10/05/19 04:00:00 午前,27.112,,,,
442,10/05/19 04:30:00 午前,26.94,,,,
443,10/05/19 05:00:00 午前,27.112,,,,
444,10/05/19 05:30:00 午前,27.112,,,,
445,10/05/19 06:00:00 午前,27.136,,,,
446,10/05/19 06:30:00 午前,27.112,,,,
447,10/05/19 07:00:00 午前,27.112,,,,
448,10/05/19 07:30:00 午前,27.087,,,,
449,10/05/19 08:00:00 午前,27.087,,,,
450,10/05/19 08:30:00 午前,27.087,,,,
451,10/05/19 09:00:00 午前,27.112,,,,
452,10/05/19 09:30:00 午前,27.112,,,,
453,10/05/19 10:00:00 午前,27.136,,,,
454,10/05/19 10:30:00 午前,27.161,,,,
455,10/05/19 11:00:00 午前,27.161,,,,
456,10/05/19 11:30:00 午前,27.186,,,,
457,10/05/19 12:00:00 午後,27.21,,,,
458,10/05/19 12:30:00 午後,27.259,,,,
459,10/05/19 01:00:00 午後,27.308,,,,
460,10/05/19 01:30:00 午後,27.333,,,,
461,10/05/19 02:00:00 午後,27.358,,,,
462,10/05/19 02:30:00 午後,27.358,,,,
463,10/05/19 03:00:00 午後,27.333,,,,
464,10/05/19 03:30:00 午後,27.333,,,,
465,10/05/19 04:00:00 午後,27.308,,,,
466,10/05/19 04:30:00 午後,27.259,,,,
467,10/05/19 05:00:00 午後,27.161,,,,
468,10/05/19 05:30:00 午後,27.21,,,,
469,10/05/19 06:00:00 午後,27.235,,,,
470,10/05/19 06:30:00 午後,27.21,,,,
471,10/05/19 07:00:00 午後,27.186,,,,
472,10/05/19 07:30:00 午後,27.186,,,,
473,10/05/19 08:00:00 午後,27.136,,,,
474,10/05/19 08:30:00 午後,27.038,,,,
475,10/05/19 09:00:00 午後,26.94,,,,
476,10/05/19 09:30:00 午後,26.891,,,,
477,10/05/19 10:00:00 午後,26.891,,,,
478,10/05/19 10:30:00 午後,26.916,,,,
479,10/05/19 11:00:00 午後,26.916,,,,
480,10/05/19 11:30:00 午後,26.842,,,,
481,10/06/19 12:00:00 午前,26.867,,,,
482,10/06/19 12:30:00 午前,26.867,,,,
483,10/06/19 01:00:00 午前,26.818,,,,
484,10/06/19 01:30:00 午前,26.842,,,,
485,10/06/19 02:00:00 午前,26.891,,,,
486,10/06/19 02:30:00 午前,26.94,,,,
487,10/06/19 03:00:00 午前,26.94,,,,
488,10/06/19 03:30:00 午前,26.842,,,,
489,10/06/19 04:00:00 午前,26.867,,,,
490,10/06/19 04:30:00 午前,26.867,,,,
491,10/06/19 05:00:00 午前,26.818,,,,
492,10/06/19 05:30:00 午前,26.769,,,,
493,10/06/19 06:00:00 午前,26.769,,,,
494,10/06/19 06:30:00 午前,26.769,,,,
495,10/06/19 07:00:00 午前,26.769,,,,
496,10/06/19 07:30:00 午前,26.842,,,,
497,10/06/19 08:00:00 午前,26.867,,,,
498,10/06/19 08:30:00 午前,26.891,,,,
499,10/06/19 09:00:00 午前,26.94,,,,
500,10/06/19 09:30:00 午前,26.965,,,,
501,10/06/19 10:00:00 午前,26.965,,,,
502,10/06/19 10:30:00 午前,26.94,,,,
503,10/06/19 11:00:00 午前,26.94,,,,
504,10/06/19 11:30:00 午前,26.965,,,,
505,10/06/19 12:00:00 午後,27.038,,,,
506,10/06/19 12:30:00 午後,27.087,,,,
507,10/06/19 01:00:00 午後,27.087,,,,
508,10/06/19 01:30:00 午後,27.136,,,,
509,10/06/19 02:00:00 午後,27.161,,,,
510,10/06/19 02:30:00 午後,27.333,,,,
511,10/06/19 03:00:00 午後,27.308,,,,
512,10/06/19 03:30:00 午後,27.161,,,,
513,10/06/19 04:00:00 午後,27.112,,,,
514,10/06/19 04:30:00 午後,27.063,,,,
515,10/06/19 05:00:00 午後,27.284,,,,
516,10/06/19 05:30:00 午後,27.333,,,,
517,10/06/19 06:00:00 午後,27.259,,,,
518,10/06/19 06:30:00 午後,27.21,,,,
519,10/06/19 07:00:00 午後,27.21,,,,
520,10/06/19 07:30:00 午後,27.21,,,,
521,10/06/19 08:00:00 午後,27.21,,,,
522,10/06/19 08:30:00 午後,27.21,,,,
523,10/06/19 09:00:00 午後,27.235,,,,
524,10/06/19 09:30:00 午後,27.235,,,,
525,10/06/19 10:00:00 午後,27.21,,,,
526,10/06/19 10:30:00 午後,27.186,,,,
527,10/06/19 11:00:00 午後,27.186,,,,
528,10/06/19 11:30:00 午後,27.161,,,,
529,10/07/19 12:00:00 午前,27.161,,,,
530,10/07/19 12:30:00 午前,27.161,,,,
531,10/07/19 01:00:00 午前,27.136,,,,
532,10/07/19 01:30:00 午前,27.136,,,,
533,10/07/19 02:00:00 午前,27.136,,,,
534,10/07/19 02:30:00 午前,27.136,,,,
535,10/07/19 03:00:00 午前,27.136,,,,
536,10/07/19 03:30:00 午前,27.136,,,,
537,10/07/19 04:00:00 午前,27.136,,,,
538,10/07/19 04:30:00 午前,27.136,,,,
539,10/07/19 05:00:00 午前,27.136,,,,
540,10/07/19 05:30:00 午前,27.136,,,,
541,10/07/19 06:00:00 午前,27.136,,,,
542,10/07/19 06:30:00 午前,27.136,,,,
543,10/07/19 07:00:00 午前,27.112,,,,
544,10/07/19 07:30:00 午前,27.112,,,,
545,10/07/19 08:00:00 午前,27.136,,,,
546,10/07/19 08:30:00 午前,27.136,,,,
547,10/07/19 09:00:00 午前,27.136,,,,
